,Correlation,Adj. P-val,Name,Interacting Cell Type Pathway 1,Interacting Cell Type Pathway 2
0,-0.3518522645257624,5.094993978117641e-16,send CCL receive TENASCIN,"MSPCAdipo, Osteo, Fibroblasts, Osteoblasts, MSPCOsteo","Neutrophils, Monocytes"
5,-0.3468248986252981,1.3994303556007023e-15,receive ANGPTL send CD34,"MSPCAdipo, MEP, Osteoblasts, MSPCOsteo, ECSinusoidal",ECSinusoidal
7,-0.33335900563361426,1.9184471145731172e-14,send CCL receive PTN,"Schwanncells, Osteo, Osteoblasts","Neutrophils, Monocytes"
8,-0.3262093916635024,7.317414575073888e-14,send CCL receive IL7,MSPCAdipo,"Neutrophils, Monocytes"
11,-0.3260659972890558,7.513856025927971e-14,send CD34 receive TENASCIN,"MSPCAdipo, Osteo, Fibroblasts, Osteoblasts, MSPCOsteo",ECSinusoidal
6,-0.3260418743898424,7.547406910015988e-14,send PARs receive TENASCIN,"MSPCAdipo, Osteo, Fibroblasts, Osteoblasts, MSPCOsteo","Mk prog, EryMk prog, Ery prog, MEP, HSC, Myofibroblasts, ECArteriolar, ECSinusoidal"
3,-0.31803871684697266,3.2379795651754504e-13,receive ANGPTL receive SELL,"EoBaso prog, Mono prog, CLP, NK cells, B cell, Neutro prog, Dendritic cells, MEP, GranMono prog, small preB, Neutrophils, CMP, large preB, LMPPs, T cells, Monocytes","MSPCAdipo, MEP, CLP, Osteoblasts, MSPCOsteo, ECSinusoidal"
14,-0.3009762544836765,6.263695557702844e-12,receive KIT receive TENASCIN,"MSPCAdipo, Osteo, Fibroblasts, Osteoblasts, MSPCOsteo, Pericytes","MSPCAdipo, Osteo, Fibroblasts, ECArteriar, ECArteriolar, Osteoblasts, MSPCOsteo"
10,-0.30089409396502137,6.3507572410549774e-12,receive SELL receive TENASCIN,"EoBaso prog, Mono prog, CLP, NK cells, B cell, Neutro prog, Dendritic cells, small preB, GranMono prog, Neutrophils, CMP, large preB, LMPPs, T cells, Monocytes","MSPCAdipo, Osteo, Fibroblasts, Osteoblasts, MSPCOsteo"
12,-0.30077887110524165,6.474848223725442e-12,receive ANGPTL send PARs,"MSPCAdipo, MEP, Osteoblasts, MSPCOsteo, ECSinusoidal","Mk prog, EryMk prog, Ery prog, MEP, HSC, Myofibroblasts, ECArteriolar, ECSinusoidal"
15,-0.29433925092667534,1.8837129403599945e-11,receive COLLAGEN receive KIT,"MSPCAdipo, Osteo, Fibroblasts, Schwanncells, ECArteriar, Myofibroblasts, ECArteriolar, Osteoblasts, Smoothmuscle, MSPCOsteo, ECSinusoidal, Pericytes","MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, ECArteriar, Myofibroblasts, ECArteriolar, Osteoblasts, MSPCOsteo, ECSinusoidal, Pericytes"
4,-0.2919284898064927,2.7904334668046265e-11,send CD34 send GALECTIN,"Osteo, Neutrophils, LMPPs, EoBaso prog, NK cells, Neutro prog, EryMk prog, Dendritic cells, GranMono prog, MEP, MPP, lin, CLP, Monocytes, Mono prog, B cell, small preB, Fibroblasts, Ery prog, GMP, CMP, Osteoblasts, T cells",ECSinusoidal
18,-0.2830353377840407,1.1518438450650822e-10,receive ANGPTL receive KIT,"MSPCAdipo, MEP, Osteoblasts, MSPCOsteo, ECSinusoidal, Pericytes","MSPCAdipo, ECArteriar, ECArteriolar, Osteoblasts, MSPCOsteo, ECSinusoidal, Pericytes"
16,-0.2688936602796206,9.918131887085627e-10,send PARs receive THBS,"Chondrocytes, Osteo, Fibroblasts, Neutrophils, Osteoblasts, Smoothmuscle, MSPCOsteo","Mk prog, EryMk prog, Ery prog, MEP, HSC, Myofibroblasts, ECArteriolar, ECSinusoidal"
