,Correlation,Adj. P-val,Name,Interacting Cell Type Pathway 1,Interacting Cell Type Pathway 2
7,0.13793699755851874,0.001991696469494463,send CCL send NCAM,Neutrophils,"MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, Schwanncells, Myofibroblasts, Osteoblasts, Smoothmuscle, MSPCOsteo"
3,0.13811605563799328,0.001964682958757945,receive CCL receive SELE,"B cell, Neutrophils",ECSinusoidal
22,0.1382032822762789,0.0019516453888715926,send CD34 receive CSF,"MSPCAdipo, Smoothmuscle, MSPCOsteo, Pericytes",ECSinusoidal
9,0.1382678532410872,0.0019420451728801168,send CCL receive COLLAGEN,"MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, Schwanncells, ECArteriar, Myofibroblasts, ECArteriolar, Osteoblasts, Smoothmuscle, MSPCOsteo, ECSinusoidal, Pericytes",Neutrophils
28,0.13843426169869055,0.0019175029797036816,send APP send NCAM,"B cell, Dendritic cells, CLP","MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, Schwanncells, Myofibroblasts, Osteoblasts, Smoothmuscle, MSPCOsteo"
14,0.13852865860665617,0.0019037077144372664,send CD45 send JAM,"Osteoblasts, B cell, Osteo","Osteoblasts, Osteo, ECSinusoidal"
15,0.13852865860665617,0.0019037077144372664,receive CD22 send JAM,B cell,"Osteoblasts, Osteo"
33,0.13865997081958778,0.0018846687119494039,receive APP receive ncWNT,Osteoblasts,MSPCOsteo
36,0.13876289347458406,0.00186986799126047,receive PTN send VEGF,Schwanncells,ECSinusoidal
2,0.13914814336147902,0.0018154074423510343,receive APP send BST2,"Schwanncells, Myofibroblasts",Monocytes
45,0.13937693069132653,0.001783756840112406,receive HSPG receive JAM,"Osteo, Fibroblasts, ECArteriolar, Osteoblasts, MSPCOsteo, ECSinusoidal","ECArteriolar, Chondrocytes, ECArteriar"
46,0.13938059145611706,0.001783254543259606,send MHC-I send PSAP,NK cells,Schwanncells
4,0.13965897262028049,0.0017454351579079032,send ANGPT receive CD34,"HSC, CLP","ECArteriolar, ECArteriar, ECSinusoidal"
6,0.13988005083773056,0.0017159260198563694,send COLLAGEN receive TWEAK,"MSPCAdipo, Osteo, MSPCOsteo, Pericytes","Osteoblasts, small preB, CLP"
70,0.14081555799794887,0.0015960510790446983,send GRN receive IFN-II,NK cells,Schwanncells
73,0.14096815424609332,0.0015772430770213302,send ICAM send SELPLG,small preB,"EoBaso prog, Ery prog, CMP, MEP"
55,0.14106339138140092,0.0015656081118596754,send GALECTIN receive PTN,"Osteoblasts, Osteo","T cells, NK cells, Dendritic cells, Monocytes"
74,0.14106682612441118,0.0015651899707329134,send ESAM send PSAP,"Schwanncells, Smoothmuscle","Schwanncells, ECArteriar, ECArteriolar, ECSinusoidal, Pericytes"
