"","MIF","GALECTIN","SELPLG","SELL","CD52","PARs","COLLAGEN","ICAM","APP","MHC-I","THBS","LAMININ","TGFb","SEMA4","ITGAL-ITGB2","VCAM","FN1","MHC-II","SPP1","CCL","MK","ANGPTL","PTN","VISFATIN","CD34","CD45","GRN","PECAM1","TNF","TENASCIN","IL2","CXCL","ADIPONECTIN","CD22","FLT3","PSAP","BST2","VEGF","JAM","IL16","NOTCH","CLEC","LIGHT","ANNEXIN","THY1","LT","COMPLEMENT","BAFF","ESAM","FGF","KIT","NCAM","CD39","ANGPT","IL7","EPHA","CSF","IGF","PDGF","IL1","CD200","OSM","NRXN","CD86","GAS","EPHB","WNT","CD96","CD23","LCK","LAIR1","TWEAK","ALCAM","CD6","VWF","SN","BSP","CEACAM","SELE","ICOS","CDH5","GDF","CADM","LIFR","PROS","IL4","NKG2D","IL10","IFN-II","SEMA3","SEMA7","HSPG","TRAIL","RANKL","PERIOSTIN","MPZ","SEMA6","CDH","AGRN","NRG","ENHO","CD80","GH","GP1BA","CALCR","VISTA","VTN","IL6","L1CAM","HGF","GDNF","SEMATOSTATIN","MAG","IL12","ncWNT","CD226","PVR","CLDN","XCR","PD-L1","SEMA5","DMP1","HH","CD1D2","NODAL","BTLA","SLURP","ACTIVIN","CHEMERIN","BMP","MELANOCORTIN","CD137","PDL2","CD46","PTH","AGT","FASLG","CNTN","CDH1","EGF","IL17","CHAD","CX3C","CD30","CSF3","OX40","CSPG4","APELIN","GALANIN","NGL","BRADYKININ","RELN","NPR2","EDA","EDN","VEGI","NGF","PTPRM","NPFF","OCLN"
"Chondrocytes",0,0,0,0,0,0,0,0,0,0,0.342690910948313,0,0,0,0,0,0.0271969757655942,0,0.0046235116034298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriar",0,0,0,0,0,0,0,0.0065916224153493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriolar",0,0.00449094772441484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Sinusoidal",0,0,0,0,0,0,0,0.0218122683681924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblasts",0,0,0,0,0,0,0,0,0,0,0.410760162112136,0,0,0,0,0,0.0307352757965722,0,0.00829774571871366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111669437337068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Adipo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294982794626095,0,0.173198835999854,0,0,0,0,0,0,0,0,0,0,0,0.10950029501624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293509148253703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Osteo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00565925631345721,0,0.03604275189393,0,0.0605753943524566,0,0,0,0,0,0,0,0,0,0,0,0.0183948518640066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133820118216005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblasts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteo",0,0,0,0,0,0,0,0,0,0,0.37899191420106,0,0,0,0,0,0.0273243857328085,0,0.0255887058073724,0,0.0545052578705127,0,0.0597513338547488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113681564731506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteoblasts",0,0,0,0,0,0.00372631768952974,0,0,0,0,0.1304425819226,0,0,0,0,0,0.02123977882268,0,0.0296690540002974,0,0,0,0.0284483510031696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
