"","SELL","SELPLG","GALECTIN","PARs","ICAM","MIF","CD52","CCL","LAMININ","ITGAL-ITGB2","COLLAGEN","THBS","VISFATIN","GRN","VCAM","CD34","TGFb","MHC-I","SPP1","ANGPTL","TNF","FN1","SEMA4","PTN","MK","APP","LIGHT","COMPLEMENT","NCAM","PECAM1","CXCL","ADIPONECTIN","BAFF","VEGF","NOTCH","CLEC","CSF","PSAP","ANNEXIN","ANGPT","KIT","JAM","CD45","MHC-II","THY1","BST2","NRG","FGF","FLT3","CD200","HGF","NRXN","TENASCIN","PDGF","OSM","IL2","IL4","IL6","SELE","TWEAK","NKG2D","ESAM","EPHA","LAIR1","SN","CD39","AGRN","VWF","WNT","IGF","ALCAM","CD6","CD96","BSP","IFN-II","IL16","LIFR","CD22","VISTA","EPHB","GDF","CEACAM","RESISTIN","PROS","GP1BA","IL1","PERIOSTIN","LT","TRAIL","MPZ","ICOS","CDH5","SEMA3","GAS","HSPG","CDH","NODAL","VTN","SEMA6","SEMA7","CD23","IL12","MAG","MELANOCORTIN","CD86","L1CAM","ncWNT","LCK","CADM","CD30","ACTIVIN","BTLA","ENHO","CD46","HH","DMP1","CD80","IL10","CLDN","BMP","IL17","CD226","PVR","IL7","CDH1","MADCAM","SEMATOSTATIN","SLURP","CX3C","APELIN","GH","PTH","CHAD","AGT","CD1D2","GALANIN","SEMA5","CNTN","OX40","RANKL","XCR","CALCR","CD137","NGL","NPR2","PD-L1","NPFF","VEGI","EDN","EDA","CSPG4","PDL2","PTPRM","OXT","TAC","NPY","OCLN"
"Chondrocytes",0,0,0,0,0,0,0,0,0.0103285080945116,0,0.914736151512555,0.231701391618113,0,0,0,0,0,0,0,0.0365260743016845,0,0.168634009409432,0,0.0599028785893085,0,0,0,0,0.0272238528462891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266492478062647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106375517195682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145743829171982,0,0,0,0,0.0132861089003508,0,0,0,0,0,0,0,0,0,0,0,0.00384535188662923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriar",0,0,0,0,0,0,0,0,0.03020668852511,0,0,0.216251803140237,0,0,0,0,0,0,0,0.0177413564821535,0,0,0,0.0059416056442246,0,0,0,0,0,0,0,0,0,0.0376172782676263,0,0,0,0,0,0,0,0.0686016695204212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriolar",0,0,0,0,0,0,0,0,0.0267260319619514,0,0,0.136879176913403,0,0,0,0,0,0,0,0.022937389984521,0,0,0,0.00597346594900081,0,0,0,0,0,0,0,0,0,0.0672889317403102,0,0,0,0,0,0,0,0.0411571539672499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214059161099321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377668818394708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Sinusoidal",0,0,0,0.0047547594012351,0,0,0,0,0,0,0,0.209120445228534,0,0,0,0,0,0,0,0.0227014110668035,0,0,0,0.0161989496280238,0,0,0,0,0,0,0,0,0,0.0790651745584993,0,0,0,0,0,0,0,0.021353302823232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178051153336116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042622767425359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblasts",0,0,0,0,0,0.0234287488095789,0,0,0.0269434608063611,0,0.857777607437303,0.23750934395085,0,0,0,0,0,0,0.0454014502649209,0.0332311932662746,0,0.179050850437284,0,0.0431741023728323,0,0,0,0,0.0181433812288934,0,0.00390972246213536,0,0,0,0,0,0,0,0,0,0,0.0119686238562937,0,0,0,0,0,0,0,0,0,0,0.0226257644838148,0.00503301426611205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00993940447975897,0,0,0,0,0,0.012144597525131,0,0,0,0,0.0161927992544312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Adipo",0,0,0,0,0,0,0,0,0.0157379778487069,0,0.644135830623467,0.224654238486732,0,0,0,0,0,0,0,0.0472068279508773,0,0.134800664482295,0,0.0423799030325265,0,0,0,0,0.0161445782073425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143633889204173,0.0392959876963377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176923586824102,0,0,0.104411059800718,0,0.0202129603304946,0.09795494563703,0,0,0,0,0,0,0,0,0,0,0.00363399146853188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Osteo",0,0,0,0,0,0,0,0,0.00974265923295812,0,0.564570279154536,0.196199600305579,0,0,0,0,0,0,0.147352948072109,0.0463720965993596,0,0.173736529802276,0,0.0598369272757282,0,0,0,0,0.0933714351816184,0,0,0,0,0,0,0,0,0,0,0,0,0.0296150659855385,0,0,0,0,0,0,0,0,0,0,0.0169043167592778,0.0312021518161466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786729424247369,0,0,0,0,0,0,0,0,0,0,0,0,0.0209336316223523,0,0,0.0175770941122298,0,0,0.0946861468409888,0,0.0125346251231235,0.107484243564334,0,0,0,0,0,0,0,0,0,0,0,0,0.100338745842589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblasts",0,0,0,0.00600732902053313,0,0.0267668188142427,0,0,0.0556534413905974,0,0.670690611536764,0.170354581309118,0,0,0,0,0,0,0,0.0198759402016014,0,0.141261229081933,0,0.048278977638161,0,0,0,0,0.116218964480265,0,0.00447952655220406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217213669580762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706632738339022,0.00814289025874435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteo",0,0,0,0,0,0,0,0,0.0243669838953015,0,1.21966887430323,0.260933608487306,0,0,0,0,0,0,0.185525462376576,0.0510626165427845,0,0.247606482851559,0,0.060020640750246,0,0,0,0,0.0750169772092542,0,0,0,0,0,0,0,0,0,0,0,0,0.0383082744054321,0,0,0,0,0,0,0,0,0,0,0.0243026742526676,0.0142246918359805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039917745097786,0,0,0,0,0.0760527918360954,0,0,0,0,0,0,0,0,0,0.00335311308071033,0,0,0.0201943017744031,0,0,0.0160091772562869,0,0,0,0,0.0145151139316967,0,0,0,0,0,0,0,0,0,0,0,0.00323528739817599,0,0,0,0,0,0,0,0,0,0,0,0,0.00195548492291202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104915544958716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteoblasts",0,0,0,0,0,0,0,0,0.0194857811407495,0,1.08622883033964,0.16824247649484,0,0,0,0,0.0095366925241097,0,0.126753697984973,0.0397757166802335,0,0.142480575263208,0.00241216179624029,0.0603578574315895,0,0,0,0,0.0982313037906683,0,0,0,0,0,0,0,0,0,0,0,0,0.067193948459397,0,0,0,0,0,0,0,0,0,0,0.0101571505106808,0.0118804404897191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309484167741196,0,0,0,0,0,0,0,0,0,0,0,0,0.00793328936676583,0,0,0.0356971195051566,0,0,0,0,0.0134915633729259,0.133556743094664,0,0,0,0,0,0,0,0,0,0,0,0,0.156530530711671,0,0,0,0,0,0,0,0,0,0,0.0016265580355074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
