"","SELL","SELPLG","GALECTIN","PARs","ICAM","MIF","CD52","CCL","LAMININ","ITGAL-ITGB2","COLLAGEN","THBS","VISFATIN","GRN","VCAM","CD34","TGFb","MHC-I","SPP1","ANGPTL","TNF","FN1","SEMA4","PTN","MK","APP","LIGHT","COMPLEMENT","NCAM","PECAM1","CXCL","ADIPONECTIN","BAFF","VEGF","NOTCH","CLEC","CSF","PSAP","ANNEXIN","ANGPT","KIT","JAM","CD45","MHC-II","THY1","BST2","NRG","FGF","FLT3","CD200","HGF","NRXN","TENASCIN","PDGF","OSM","IL2","IL4","IL6","SELE","TWEAK","NKG2D","ESAM","EPHA","LAIR1","SN","CD39","AGRN","VWF","WNT","IGF","ALCAM","CD6","CD96","BSP","IFN-II","IL16","LIFR","CD22","VISTA","EPHB","GDF","CEACAM","RESISTIN","PROS","GP1BA","IL1","PERIOSTIN","LT","TRAIL","MPZ","ICOS","CDH5","SEMA3","GAS","HSPG","CDH","NODAL","VTN","SEMA6","SEMA7","CD23","IL12","MAG","MELANOCORTIN","CD86","L1CAM","ncWNT","LCK","CADM","CD30","ACTIVIN","BTLA","ENHO","CD46","HH","DMP1","CD80","IL10","CLDN","BMP","IL17","CD226","PVR","IL7","CDH1","MADCAM","SEMATOSTATIN","SLURP","CX3C","APELIN","GH","PTH","CHAD","AGT","CD1D2","GALANIN","SEMA5","CNTN","OX40","RANKL","XCR","CALCR","CD137","NGL","NPR2","PD-L1","NPFF","VEGI","EDN","EDA","CSPG4","PDL2","PTPRM","OXT","TAC","NPY","OCLN"
"Chondrocytes",0,0,0,0,0,0.042771974988624,0,0,0,0,1.69120711165959,0.62682867318982,0,0,0,0,0,0,0.00717336832420416,0,0,0.222643096043671,0,0,0,0,0,0,0.00604635725902471,0,0.00756396138174382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010173384383979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195382379248706,0.0219665403587015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriar",0,0,0,0,0,0.0110493937976261,0,0,0,0,0.378862109456514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372409836108008,0,0,0,0,0,0,0,0,0,0,0.0204497609388777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747615089982969,0.00900451360055038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriolar",0,0,0.00760619684217423,0,0,0.00922014246643609,0,0,0,0,0.376212821323886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329141115243225,0,0,0,0.00730072204470662,0,0,0,0,0,0,0.0120803878793166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211118602682976,0,0,0,0,0,0.00721203417038297,0,0,0,0.0252053446657695,0.0230487699373964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Sinusoidal",0,0,0,0,0,0.0101750943404124,0,0,0,0,0.161183991668777,0,0,0,0,0,0,0,0,0.2377595143732,0,0,0,0,0,0,0,0,0,0,0.00915095142935755,0,0,0,0,0,0,0,0,0,0,0.0062705614251161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151849239906623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027092731251283,0,0,0,0,0,0,0,0,0,0.0214085574075779,0.0218031513021739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblasts",0,0,0,0,0,0.02653750609448,0,0,0.0136490499562829,0,1.16372668783021,0.750323148696123,0,0,0,0,0,0,0.0128477798666593,0,0,0.247396731255218,0,0,0,0,0,0,0,0,0.00696828128084451,0,0,0,0,0,0,0,0,0,0,0.0034938781012719,0,0,0,0,0,0,0,0,0,0,0.116620536022143,0.00158375979922834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277274278237539,0.00732856281816309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Adipo",0,0,0,0,0,0.0104759840022695,0,0,0.0300639750861523,0,0.702048515086269,0,0,0,0,0,0,0,0.0451443333992971,0.203350004603262,0,0,0,0,0.340690966770357,0,0,0,0,0,0.0700257960908223,0.145393139293001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261108002027421,0,0,0,0,0.14318791879098,0,0,0,0,0,0,0.00939711300808011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259511087680909,0,0,0,0,0,0,0,0,0,0.136367096403037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Osteo",0,0,0,0,0,0.0270885728285114,0,0,0.0109400260655622,0,0.931898941961832,0.0369517699197801,0,0,0,0,0,0,0.0549634414185125,0.161288624844875,0,0.0518201889472644,0,0,0.115616384298737,0,0,0,0.0271196045060912,0,0.0557665362502634,0.0261525045668816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061423122475599,0,0,0,0,0.201836588377692,0.00181463888928003,0,0,0,0,0,0.00590453968817463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240906232393862,0,0,0,0,0,0,0,0,0,0.0857326802699407,0.00582913267060824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00858822967487312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblasts",0,0,0,0,0,0.012320193870498,0,0,0,0,0.0648845382577172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329486048441619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteo",0,0,0,0,0,0.0290998739802172,0,0,0.0127971224534219,0,1.2137670588279,0.691277656919803,0,0,0,0,0,0,0.0392449540536767,0,0,0.223548657887057,0,0.0917406804198754,0.103861908216205,0,0,0,0.0077939300595042,0,0.00869058376498825,0,0,0,0,0,0,0,0,0,0,0.00264888874764319,0,0,0,0,0,0,0,0,0,0,0.0803498959367582,0.00321672721247157,0,0,0,0,0,0.0061441387363711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157586116105669,0,0,0,0,0,0,0,0,0,0.0679420956238855,0.0182027221599067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteoblasts",0,0,0,0,0,0.0234287488095789,0,0,0.0269434608063611,0,0.857777607437303,0.23750934395085,0,0,0,0,0,0,0.0454014502649209,0.0332311932662746,0,0.179050850437284,0,0.0431741023728323,0,0,0,0,0.0181433812288934,0,0.00390972246213536,0,0,0,0,0,0,0,0,0,0,0.0119686238562937,0,0,0,0,0,0,0,0,0,0,0.0226257644838148,0.00503301426611205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00993940447975897,0,0,0,0,0,0.012144597525131,0,0,0,0,0.0161927992544312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pericytes",0,0,0,0,0,0.0112572663975038,0,0,0.0312629486186166,0,0.993860313322913,0,0,0,0,0,0,0,0,0,0,0.0399785115195411,0,0,0,0,0,0,0,0,0.0269703938116324,0,0,0,0.00966472590225052,0,0,0,0,0,0,0.00475964542815256,0,0,0,0,0,0,0,0,0,0,0,0.00630949595127559,0,0,0,0,0,0.00808824223035022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schwann-cells",0,0,0,0,0,0.0348435866979835,0,0,0,0,0.0294945639103547,0,0,0,0,0,0,0,0,0,0,0,0,0.272811644426603,0,0,0,0,0.0392067813239036,0,0,0,0,0,0,0,0,0,0,0,0,0.0171486142190233,0,0,0,0,0,0.00601742943174631,0,0,0,0,0,0.0134091411608991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150169689793719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smooth-muscle",0,0,0,0,0,0.0339949885691655,0,0,0.0163680099925501,0,0.0508614000766513,0.0775234228754547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00892370309323586,0,0,0,0,0,0,0.00614613093764081,0,0,0,0,0,0,0,0,0,0,0,0.0119579819865281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSC",0,0,0.00489857103392967,0,0,0.042732163952186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
