"","MIF","PARs","GALECTIN","SELPLG","ICAM","APP","SELL","JAM","LAMININ","CD34","ITGAL-ITGB2","COLLAGEN","TGFb","PTN","CD52","MHC-I","VISFATIN","THBS","VCAM","ESAM","GRN","SPP1","ANGPTL","VWF","CCL","FN1","ANNEXIN","SEMA4","MK","COMPLEMENT","BAFF","ANGPT","NCAM","LIGHT","TNF","NOTCH","CXCL","NRXN","THY1","VEGF","BST2","ADIPONECTIN","SEMA7","FGF","IL2","PECAM1","IL4","FLT3","TENASCIN","KIT","CD45","PSAP","MHC-II","CD200","IGF","PDGF","TWEAK","NRG","IL12","CD39","GP1BA","WNT","EPHA","CSF","IL1","LAIR1","ACTIVIN","MPZ","CLEC","HGF","EPHB","BSP","AGRN","CD96","TRAIL","BMP","OSM","CD22","PROS","GDF","LIFR","NODAL","IL6","GAS","SELE","ENHO","CD23","SEMA6","PERIOSTIN","LT","IL16","SN","ALCAM","CD6","ncWNT","NKG2D","CDH","RESISTIN","OCLN","SEMA3","VISTA","CEACAM","IFN-II","L1CAM","CX3C","VTN","CD86","CADM","HH","DMP1","ICOS","CDH5","LCK","MELANOCORTIN","HSPG","CD46","PD-L1","IL7","CHAD","OX40","CD80","MAG","IL10","CALCR","PDL2","CD70","CD1D2","RANKL","SLURP","AGT","SEMA5","CSPG4","BTLA","CD137","EDA","APELIN","CD226","PVR","SEMATOSTATIN","CLDN","CD30","CSF3","NT","XCR","NPR2","CDH1","GALANIN","CNTN","PTH","IL17","RELN","CHEMERIN","EDN","FASLG","TAC","VEGI","NGL","NPFF","NGF","PTPRM","NPY","PACAP","PROK","NEGR","SCT","GDNF"
"Chondrocytes",0,0,0,0,0,0,0,0,0.0115082242215891,0,0,0.760130382402452,0,0,0,0,0,0,0,0,0,0,0.244529747001351,0,0,0,0,0,0.332094621497467,0,0,0,0,0,0,0,0,0,0,0,0,0.161039163566785,0,0.0233708783122977,0,0,0,0,0.1650306276251,0,0,0,0,0,0.00336785723932255,0,0.00780125935652961,0,0,0,0,0,0,0,0,0,0,0.00714448427019628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriar",0,0,0,0,0,0,0,0,0.0339588936783054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108449707343202,0,0,0,0,0,0.0956974044544935,0,0,0.00787871510767021,0,0,0,0,0,0,0,0.0166342767268938,0,0.144873500352233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriolar",0,0,0,0,0,0,0,0,0.0299987430217308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13651977794745,0,0,0,0,0,0.0891859721228866,0,0,0.00738920890292555,0,0,0,0,0,0,0,0.0469518022927689,0,0.0595259817509667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010530575728114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Sinusoidal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135277054504381,0,0.0277357608052316,0,0,0,0.0931581448943829,0,0,0.00893826510146217,0,0,0,0,0,0,0,0.169821340131983,0,0.0566127507044039,0,0,0,0,0,0,0,0,0,0,0,0,0.00326631664875866,0,0,0,0,0,0,0,0,0,0,0,0,0.00874282870159535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblasts",0.0104759840022695,0,0,0,0,0,0,0,0.0300639750861523,0,0,0.702048515086269,0,0,0,0,0,0,0,0,0,0.0451443333992971,0.203350004603262,0,0,0,0,0,0.340690966770357,0,0,0,0,0,0,0,0.0700257960908223,0,0,0,0,0.145393139293001,0,0.0261108002027421,0,0,0,0,0.14318791879098,0,0,0,0,0,0,0,0.00939711300808011,0,0,0,0,0,0,0,0,0,0,0.00594590913726179,0,0,0,0,0,0,0,0,0,0,0.0259511087680909,0,0,0,0,0.136367096403037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Adipo",0,0,0,0,0,0,0,0,0.0175781030374507,0,0,0.515212239735809,0,0,0,0,0,0,0,0,0,0,0.32205950193911,0,0.0277320092778147,0,0,0,0.282793531235191,0,0,0,0,0,0,0,0,0,0,0,0,0.0457518048889133,0,0.0511972189380626,0,0,0,0,0.131623125569768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00868695433069216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073721073829265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Osteo",0,0,0,0,0,0,0,0,0.0108526154747186,0,0,0.457137681487236,0,0,0,0,0,0,0,0,0,0.146543226252905,0.358835971760249,0,0.024367432570249,0,0,0,0.389607692619138,0,0,0,0,0,0,0,0,0,0,0,0,0.0442801191009143,0,0.121813227401286,0,0,0,0,0.114583304805411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862984395735879,0,0,0,0.0772595744519935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779980897878141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblasts",0.0119912366798642,0,0,0,0,0,0,0,0.0632936485674477,0,0,0.554820268241894,0,0,0,0,0,0,0,0,0,0,0.151571492033863,0,0,0,0,0,0.273257936648148,0,0,0,0,0,0,0,0.0794626860101123,0,0,0,0,0.0596314858279526,0,0.081436770510315,0,0,0,0,0.1381455589423,0,0,0,0,0,0,0,0.0523962100889216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteo",0,0,0,0,0,0,0,0,0.0271735246215045,0,0,0.975945699006946,0,0,0,0,0,0,0,0,0,0.184496704273675,0.319523811389909,0,0,0,0,0,0.4333069129584,0,0,0,0,0,0,0,0,0,0,0,0,0.125777096525566,0,0.107010335010145,0,0,0,0,0.158473621804338,0,0,0,0,0,0,0,0.0209627882256345,0,0,0,0,0,0,0,0,0,0,0.00785366193462212,0,0,0,0.0746826795597116,0,0,0,0.00375661393643,0,0,0.00884958743535979,0,0,0,0,0.0502568077452798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteoblasts",0,0,0,0,0,0,0,0,0.0217063052927561,0,0,0.882571230756735,0,0,0,0,0,0,0,0,0,0.12604067007477,0.307986257861964,0,0.00529775687451654,0,0,0,0.349099189437508,0,0,0,0,0,0,0,0,0,0,0,0,0.143051095348642,0,0.106792848818063,0,0,0,0,0.0689681527926999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176923586824102,0,0,0,0.0303641685547626,0,0,0,0.00294080601509298,0,0,0,0,0,0,0,0.0209107078349729,0,0,0,0,0,0,0,0,0,0,0,0,0.09795494563703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
