"","GALECTIN","MIF","PARs","SELPLG","ICAM","TGFb","THBS","SELL","MHC-I","COLLAGEN","ANGPTL","VISFATIN","ITGAL-ITGB2","PTN","LAMININ","FN1","CD34","SPP1","MK","SEMA4","VCAM","VWF","ESAM","ANGPT","GRN","JAM","FGF","ADIPONECTIN","APP","CCL","LIGHT","CD52","KIT","CXCL","VEGF","FLT3","PECAM1","PSAP","TENASCIN","PDGF","NRXN","TNF","NOTCH","CD45","MHC-II","TWEAK","IL2","OSM","EPHB","CD200","BST2","IGF","SEMA7","NCAM","IL4","THY1","AGRN","WNT","SELE","GDF","CD96","LIFR","EPHA","ANNEXIN","NODAL","BSP","CD22","SN","CD39","MPZ","IL1","TRAIL","GAS","CDH5","GP1BA","PROS","L1CAM","MELANOCORTIN","IFN-II","HSPG","VTN","IL6","CSF","BAFF","IL16","PERIOSTIN","CDH","AGT","CLEC","LCK","PD-L1","ENHO","SEMA6","COMPLEMENT","LAIR1","SEMA3","CADM","HH","RESISTIN","NRG","CHAD","ncWNT","NKG2D","OX40","DMP1","CEACAM","VISTA","SEMA5","MAG","PDL2","IL12","CLDN","CD86","HGF","CD23","IL7","CD46","SLURP","ICOS","BMP","CX3C","EDA","CD226","PVR","SEMATOSTATIN","ACTIVIN","PTH","CHEMERIN","ALCAM","CD6","ADGRE5","CNTN","CD1D2","CD137","APELIN","IL10","CALCR","BTLA","CSPG4","RANKL","NGL","NPR2","CDH1","IL17","GALANIN","NPFF","OPIOID","CD80","EDN","TAC","RELN","OCLN","PTPRM"
"Chondrocytes",0,0,0,0,0,0,0,0,0,0.032604623594493,0,0,0,0.375852577970456,0,0,0,0,0,0,0,0,0,0,0,0,0.0198699723714161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591113345033615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180109556891698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriar",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401822284946201,0,0,0,0,0,0,0,0,0,0,0,0.0966403115278403,0,0,0,0,0,0,0,0,0,0,0.184251944153323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriolar",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403902349449502,0,0,0,0,0,0,0,0,0,0,0,0.0587047664787681,0,0,0,0,0,0,0,0,0,0,0.167788111622946,0,0,0,0,0,0,0,0,0,0,0,0.0342546477487651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264101612750299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Sinusoidal",0,0,0,0,0,0,0,0,0,0,0,0,0,0.103402364085418,0,0,0,0,0,0,0,0,0,0,0,0.0304455533444407,0,0,0,0,0,0,0,0,0,0,0.118853437364426,0,0,0,0,0,0,0,0,0,0,0,0.033144160788701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219864831758353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblasts",0,0.0348435866979835,0,0,0,0,0,0,0,0.0294945639103547,0,0,0,0.272811644426603,0,0,0,0,0,0,0,0,0,0,0,0.0171486142190233,0.00601742943174631,0,0,0,0,0,0,0,0,0,0,0,0,0.0134091411608991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392067813239036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150169689793719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Adipo",0,0,0,0,0,0,0,0,0,0.0212700138069798,0,0,0,0.275524962461829,0,0,0,0,0,0,0,0,0,0,0,0,0.0117960483333464,0,0,0,0,0,0,0,0,0,0,0,0,0.083415443031808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034970132828593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218478356756817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Osteo",0,0,0,0,0,0,0,0,0,0.0183710726824429,0,0,0,0.383848408729583,0,0,0,0,0,0,0,0,0,0,0,0,0.0322301292924958,0,0,0,0,0,0,0,0,0,0,0,0,0.0669068773496804,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195168384081935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217060966680784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210134347421763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306542803579687,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblasts",0,0.0397418294183852,0,0,0,0,0,0,0,0.0235829492892598,0,0,0,0.302701110550642,0,0,0,0,0,0,0,0,0,0,0,0,0.0269172374578533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239808779601484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteo",0,0,0,0,0,0,0,0,0,0.0398476547132802,0,0,0,0.384574202548234,0,0,0,0,0,0,0,0,0,0,0,0.0130444755580453,0.0256249569103974,0,0,0,0,0,0,0,0,0,0,0,0,0.0329305131502899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155928934679495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197772779976127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteoblasts",0,0,0,0,0,0,0,0,0,0.0353688950984758,0,0,0,0.389481846135766,0,0,0,0,0,0,0,0,0,0,0,0.0570768088696108,0.0257572949377671,0,0,0,0,0,0,0,0,0,0,0,0,0.0310606481666367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20355948395493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438924906996984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034484168006605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00284867051175517,0,0,0,0,0,0,0,0,0,0,0,0
