"","MIF","PARs","SELPLG","SELL","GALECTIN","ICAM","CD52","COLLAGEN","ITGAL-ITGB2","CCL","LAMININ","THBS","TGFb","MHC-I","CD34","APP","VISFATIN","GRN","SPP1","VCAM","FN1","ANGPTL","PTN","SEMA4","MK","COMPLEMENT","ANNEXIN","TNF","LIGHT","BAFF","NCAM","CXCL","PECAM1","ADIPONECTIN","JAM","NOTCH","VEGF","PSAP","CSF","ANGPT","BST2","KIT","CLEC","CD45","FLT3","THY1","ESAM","MHC-II","FGF","TENASCIN","CD200","NRG","NRXN","VWF","HGF","PDGF","IL2","LAIR1","IL4","OSM","TWEAK","IGF","SELE","EPHA","IL6","NKG2D","BSP","WNT","CD39","IL1","CD96","AGRN","SEMA7","IFN-II","CD22","CEACAM","IL16","EPHB","LIFR","GAS","MPZ","GP1BA","VISTA","PROS","SN","SEMA3","ALCAM","CD6","PERIOSTIN","GDF","CDH5","CDH","HSPG","CD23","NODAL","ACTIVIN","TRAIL","SEMA6","RESISTIN","ICOS","ENHO","VTN","CD86","L1CAM","IL12","CD80","CADM","LCK","MELANOCORTIN","ncWNT","MAG","DMP1","CX3C","CD46","BMP","CDH1","CSF3","CLDN","CHAD","IL7","LT","BTLA","AGT","CD1D2","SLURP","CD30","SEMA5","APELIN","SEMATOSTATIN","IL10","IL17","GH","PTH","XCR","HH","RANKL","PD-L1","CNTN","GALANIN","CHEMERIN","CALCR","EGF","OX40","CSPG4","PDL2","NGL","EDA","CD226","PVR","CD137","NPR2","EDN","VEGI","OCLN","NT","NPFF","NPY","RELN","TAC","PTPRM","GDNF"
"Chondrocytes",0,0,0,0,0,0,0,0.760130382402452,0,0,0.0115082242215891,0,0,0,0,0,0,0,0,0,0,0.244529747001351,0,0,0.332094621497467,0,0,0,0,0,0,0,0,0.161039163566785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233708783122977,0.1650306276251,0,0,0,0,0,0,0,0,0,0,0.00780125935652961,0.00336785723932255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00714448427019628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriar",0,0,0,0,0,0,0,0,0,0,0.0339588936783054,0,0,0,0,0,0,0,0,0,0,0.108449707343202,0,0,0.0956974044544935,0,0,0,0,0,0,0,0,0.144873500352233,0,0,0.0166342767268938,0,0,0.00787871510767021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Arteriolar",0,0,0,0,0,0,0,0,0,0,0.0299987430217308,0,0,0,0,0,0,0,0,0,0,0.13651977794745,0,0,0.0891859721228866,0,0,0,0,0,0,0,0,0.0595259817509667,0,0,0.0469518022927689,0,0,0.00738920890292555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010530575728114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Sinusoidal",0,0,0,0,0,0,0,0,0,0.0277357608052316,0,0,0,0,0,0,0,0,0,0,0,0.135277054504381,0,0,0.0931581448943829,0,0,0,0,0,0,0,0,0.0566127507044039,0,0,0.169821340131983,0,0,0.00893826510146217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326631664875866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00874282870159535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblasts",0.0104759840022695,0,0,0,0,0,0,0.702048515086269,0,0,0.0300639750861523,0,0,0,0,0,0,0,0.0451443333992971,0,0,0.203350004603262,0,0,0.340690966770357,0,0,0,0,0,0,0.0700257960908223,0,0.145393139293001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261108002027421,0.14318791879098,0,0,0,0,0,0,0,0,0,0,0.00939711300808011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136367096403037,0,0,0,0.0259511087680909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Adipo",0,0,0,0,0,0,0,0.515212239735809,0,0.0277320092778147,0.0175781030374507,0,0,0,0,0,0,0,0,0,0,0.32205950193911,0,0,0.282793531235191,0,0,0,0,0,0,0,0,0.0457518048889133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511972189380626,0.131623125569768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00868695433069216,0,0,0,0,0,0,0,0,0,0,0.073721073829265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSPC-Osteo",0,0,0,0,0,0,0,0.457137681487236,0,0.024367432570249,0.0108526154747186,0,0,0,0,0,0,0,0.146543226252905,0,0,0.358835971760249,0,0,0.389607692619138,0,0,0,0,0,0,0,0,0.0442801191009143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121813227401286,0.114583304805411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772595744519935,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862984395735879,0,0,0,0,0,0,0,0,0,0,0.0779980897878141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblasts",0.0119912366798642,0,0,0,0,0,0,0.554820268241894,0,0,0.0632936485674477,0,0,0,0,0,0,0,0,0,0,0.151571492033863,0,0,0.273257936648148,0,0,0,0,0,0,0.0794626860101123,0,0.0596314858279526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081436770510315,0.1381455589423,0,0,0,0,0,0,0,0,0,0,0.0523962100889216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteo",0,0,0,0,0,0,0,0.975945699006946,0,0,0.0271735246215045,0,0,0,0,0,0,0,0.184496704273675,0,0,0.319523811389909,0,0,0.4333069129584,0,0,0,0,0,0,0,0,0.125777096525566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107010335010145,0.158473621804338,0,0,0,0,0,0,0,0,0,0,0.0209627882256345,0,0,0,0,0,0.0746826795597116,0,0,0,0,0,0,0,0,0,0,0,0,0.0502568077452798,0.00785366193462212,0,0,0.00884958743535979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375661393643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osteoblasts",0,0,0,0,0,0,0,0.882571230756735,0,0.00529775687451654,0.0217063052927561,0,0,0,0,0,0,0,0.12604067007477,0,0,0.307986257861964,0,0,0.349099189437508,0,0,0,0,0,0,0,0,0.143051095348642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106792848818063,0.0689681527926999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303641685547626,0,0,0,0,0,0,0,0,0,0,0,0,0.0209107078349729,0.0176923586824102,0,0,0,0,0,0,0,0,0,0,0.09795494563703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294080601509298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
