,HSC,MPP,CMP,CLP,GMP,MEP
sending ITGAL-ITGB2,0.490712709370756,0.48275520597555455,0.47479770258035314,0.4854077071072884,0.4801027048438207,0.4694927003168855
receiving ITGAL-ITGB2,0.5970603214124037,0.6256153802625622,0.6775336690810322,0.6230194658216388,0.6931091557265732,0.6775336690810322
sending OCLN,0.40392287234042556,0.21829023313716614,0.2114149502037121,0.19938320507016752,0.19938320507016752,0.21657141240380265
receiving OCLN,0.40392287234042556,0.21829023313716614,0.2114149502037121,0.19938320507016752,0.19938320507016752,0.21657141240380265
sending ADIPONECTIN,0.607741059302852,0.607741059302852,0.607741059302852,0.6128055681303757,0.607741059302852,0.607741059302852
receiving ADIPONECTIN,0.13297872340425532,0.1675531914893617,0.11702127659574468,0.13297872340425532,0.17553191489361702,0.13297872340425532
sending CEACAM,0.2211832277048438,0.2230576618379357,0.2924117247623359,0.24742530556813036,0.2286809642372114,0.2268065301041195
receiving CEACAM,0.3882978723404255,0.3829787234042553,0.23404255319148937,0.3404255319148936,0.3962765957446808,0.14361702127659576
sending IGF,0.2898936170212766,0.17819148936170212,0.1356382978723404,0.48138297872340424,0.13297872340425532,0.13297872340425532
receiving IGF,0.5455027727478498,0.45676069488456317,0.4254399615210503,0.3079872114078769,0.41238965595291993,0.5455027727478498
sending MAG,0.2712765957446808,0.2978723404255319,0.2526595744680851,0.31382978723404253,0.31382978723404253,0.2526595744680851
receiving MAG,0.2712765957446808,0.2978723404255319,0.2526595744680851,0.31382978723404253,0.31382978723404253,0.2526595744680851
sending NT,0.4941857175192395,0.4020059981892259,0.4020059981892259,0.4020059981892259,0.4020059981892259,0.4020059981892259
receiving NT,0.26575939339067456,0.26575939339067456,0.26575939339067456,0.27102195563603443,0.26839067451335447,0.26575939339067456
sending ANXA1,0.5252376641014034,0.6186693639655952,0.3863527048438207,0.4999858533272974,0.6161441828881847,0.2878706428248076
receiving ANXA1,0.699468085106383,0.5638297872340425,0.3324468085106383,0.5372340425531915,0.43882978723404253,0.3324468085106383
sending MPZ,0.5077240832956089,0.379484495246718,0.3925701674966048,0.3140561339972839,0.31143899954730647,0.3925701674966048
receiving MPZ,0.5077240832956089,0.379484495246718,0.3925701674966048,0.3140561339972839,0.31143899954730647,0.3925701674966048
