,Correlation,Adj. P-val,Name,Interacting Cell Type Pathway 1,Interacting Cell Type Pathway 2
4,-0.23803293662820452,7.162963382693992e-08,send ANGPT send PARs,"Mk prog, EryMk prog, Ery prog, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal","ECArteriolar, ECArteriar, ECSinusoidal"
2,-0.23718265037146952,7.9959006158699e-08,send CD34 receive VCAM,"EoBaso prog, NK cells, Neutro prog, Erythroblasts, Dendritic cells, MEP, GranMono prog, EryMk prog, Ery prog, GMP, HSC, lin, CMP, MPP, CLP, T cells, Monocytes",ECSinusoidal
5,-0.23521292207342379,1.0300192123452623e-07,send CD34 send VCAM,HSC,ECSinusoidal
1,-0.23143989946297402,1.6626853566232156e-07,receive SELL receive VCAM,"Neutrophils, LMPPs, EoBaso prog, NK cells, Neutro prog, Dendritic cells, EryMk prog, GranMono prog, MEP, HSC, lin, MPP, CLP, Monocytes, Mono prog, B cell, Erythroblasts, small preB, Ery prog, GMP, CMP, T cells","Neutrophils, LMPPs, EoBaso prog, NK cells, Neutro prog, Dendritic cells, MEP, GranMono prog, EryMk prog, HSC, lin, MPP, CLP, Monocytes, Mono prog, B cell, Erythroblasts, Ery prog, GMP, CMP, T cells"
3,-0.22924179606004094,2.1894731859868278e-07,receive SELL send VCAM,"Mono prog, CLP, Neutro prog, B cell, NK cells, Dendritic cells, small preB, GranMono prog, Neutrophils, CMP, LMPPs, T cells, Monocytes",HSC
0,-0.21704307423895813,9.59681270038084e-07,send GALECTIN send PARs,"EoBaso prog, Mk prog, Fibroblasts, EryMk prog, Ery prog, MEP, GranMono prog, Osteo, CMP, Myofibroblasts, Osteoblasts, LMPPs","EoBaso prog, Osteo, Fibroblasts, Ery prog, MEP, EryMk prog, GranMono prog, CMP, Myofibroblasts, ECArteriolar, Osteoblasts, LMPPs, ECSinusoidal"
7,-0.20883782770996223,2.474620270949387e-06,send MHC-II send PARs,"Mk prog, EryMk prog, Ery prog, Dendritic cells","Dendritic cells, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal"
6,-0.20033963099984517,6.347807598539891e-06,send PARs receive SELL,"EoBaso prog, Mono prog, small preB, Neutro prog, NK cells, B cell, Dendritic cells, GranMono prog, Neutrophils, CMP, T cells, lin, large preB, CLP, LMPPs, Monocytes","Mk prog, EryMk prog, Ery prog, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal"
10,-0.19741394674106047,8.699999207116453e-06,send CD34 send PARs,"Mk prog, EryMk prog, Ery prog, MEP, Myofibroblasts, ECSinusoidal","ECArteriolar, ECSinusoidal"
8,-0.19364134747292439,1.2974143092166284e-05,send ANNEXIN receive SELL,"Mono prog, Neutro prog, NK cells, B cell, Dendritic cells, GranMono prog, Neutrophils, CMP, CLP, T cells, LMPPs, Monocytes",Neutrophils
11,-0.19183102515007291,1.567410654267048e-05,send ANNEXIN send CD34,Neutrophils,ECSinusoidal
13,-0.18343716730694137,3.6807882558143024e-05,send ANNEXIN send MHC-II,Neutrophils,Dendritic cells
12,-0.17638243211629515,7.328637428060698e-05,send BST2 receive GRN,"T cells, Neutrophils, Pericytes",Monocytes
17,-0.17503455322944064,8.334417784809729e-05,send PECAM1 send PARs,Mk prog,LMPPs
18,-0.1750345532294406,8.334417784809791e-05,send PARs send PECAM1,LMPPs,"EryMk prog, Ery prog, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal"
19,-0.1750345532294406,8.334417784809791e-05,send PARs receive PECAM1,LMPPs,"Mk prog, EryMk prog, Ery prog, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal"
9,-0.17355642607624905,9.586293424762265e-05,send PARs receive SELPLG,"Neutro prog, B cell, GMP, MPP, lin, Neutrophils, proB, CLP","Mk prog, EryMk prog, Ery prog, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal"
21,-0.17178533568670126,0.00011319330956204033,receive CCL send PARs,"MSPCAdipo, B cell, Neutrophils, Monocytes","Mk prog, EryMk prog, Ery prog, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal"
15,-0.1707744640422706,0.00012436415562463456,send PARs send SELPLG,"Neutro prog, Mk prog, EryMk prog, Ery prog, MEP, CMP, Neutrophils, CLP","Mk prog, EryMk prog, Ery prog, MEP, CMP, Myofibroblasts, CLP, ECArteriolar, ECSinusoidal"
16,-0.16738987777676473,0.00016977600053296957,send SEMA4 receive SELL,"Mono prog, Neutro prog, B cell, NK cells, Dendritic cells, GranMono prog, CMP, Neutrophils, CLP, T cells, LMPPs, Monocytes","MSPCAdipo, MSPCOsteo"
26,-0.16635098303908533,0.00018657532074367394,send CD34 send SEMA4,"MSPCAdipo, MSPCOsteo",ECSinusoidal
14,-0.1660252302831241,0.00019215572692686682,send MIF receive VCAM,"EoBaso prog, NK cells, Neutro prog, Erythroblasts, Dendritic cells, Ery prog, MEP, EryMk prog, GranMono prog, GMP, CMP, lin, HSC, CLP, T cells, Monocytes","B cell, Fibroblasts, Dendritic cells, Myofibroblasts, CLP"
20,-0.1651694802041225,0.0002075694758787956,send CCL receive VCAM,"GranMono prog, CMP, Ery prog, MEP","Neutrophils, Monocytes"
22,-0.16418553285139875,0.00022672085419912194,receive CCL send GALECTIN,MSPCAdipo,"EoBaso prog, Mono prog, small preB, Fibroblasts, Neutrophils"
27,-0.16412707217912606,0.0002279092241643095,send COMPLEMENT receive PTN,"Schwanncells, Osteo, Osteoblasts","Neutrophils, Monocytes"
23,-0.1634061648317009,0.0002430508161943078,send CD52 send GALECTIN,"EoBaso prog, small preB, Neutro prog, B cell, Dendritic cells, proB, CLP","EoBaso prog, B cell, Fibroblasts, Dendritic cells, CLP"
29,-0.1622378385639945,0.0002696024705765807,send GALECTIN send VISTA,Schwanncells,Osteoblasts
25,-0.16083723648408918,0.00030500172094634315,send MHC-II receive VCAM,"EoBaso prog, NK cells, Ery prog, EryMk prog, Dendritic cells, MEP, HSC, T cells, Monocytes",Dendritic cells
28,-0.16043834719852787,0.0003158505428369122,receive CCL receive VCAM,"EoBaso prog, NK cells, Neutro prog, Erythroblasts, Dendritic cells, B cell, Ery prog, GranMono prog, Neutrophils, T cells, Monocytes","EoBaso prog, MSPCAdipo, NK cells, B cell, Erythroblasts, Dendritic cells, Neutro prog, Ery prog, GranMono prog, Neutrophils, HSC, Monocytes"
30,-0.16017605331571344,0.0003231794392942481,send MHC-II send VCAM,Dendritic cells,HSC
24,-0.15962878054595267,0.0003389849245267764,receive CEACAM receive SELL,"Mono prog, Neutro prog, B cell, Dendritic cells, GranMono prog, CMP, Neutrophils, T cells, CLP, LMPPs","B cell, Dendritic cells, CMP, CLP, ECSinusoidal"
31,-0.15899092073020793,0.00035831560362383104,receive IGF send SELPLG,"MSPCAdipo, Osteo, Fibroblasts, MSPCOsteo, Pericytes",CMP
33,-0.15703760475770742,0.0004240941779317039,send CCL receive CEACAM,"ECSinusoidal, Dendritic cells",Neutrophils
34,-0.15648948862585274,0.0004444781763597376,send ANGPT send ANNEXIN,Neutrophils,"ECArteriolar, ECArteriar, ECSinusoidal"
35,-0.1563354826308669,0.00045036749396367483,receive CCL send VCAM,"B cell, Neutrophils, Monocytes",HSC
32,-0.156093351078668,0.0004597737975911077,send COMPLEMENT receive MK,"MSPCAdipo, Osteo, MSPCOsteo","Neutrophils, Monocytes"
36,-0.1551889239560256,0.0004965490852419506,send MIF send VCAM,"HSC, B cell, Dendritic cells","Myofibroblasts, Fibroblasts, HSC, CLP"
37,-0.15466200001325214,0.0005192166987260602,send PARs send SELL,"MPP, EryMk prog, Mk prog, Ery prog","MEP, MPP, Myofibroblasts, ECArteriolar, ECSinusoidal"
38,-0.153914211281412,0.0005530397125490167,send PARs send TGFb,"Mk prog, EryMk prog, Ery prog, MEP, Osteoblasts","ECArteriolar, Osteoblasts, Myofibroblasts, ECSinusoidal"
