,Correlation,Adj. P-val,Name,Interacting Cell Type Pathway 1,Interacting Cell Type Pathway 2
0,-0.3706070993472108,9.987477047115493e-18,send MHC-I receive PTN,"Schwanncells, Osteoblasts, Osteo","T cells, NK cells"
1,-0.3510443430435307,6.00059412044904e-16,send MHC-II receive PTN,"Schwanncells, Osteo, Osteoblasts",Dendritic cells
5,-0.3116927814549705,9.965850973368778e-13,send ANGPT receive PTN,"Schwanncells, Osteoblasts, Osteo","ECArteriolar, ECArteriar, ECSinusoidal"
2,-0.29598802661372187,1.4367145126289016e-11,receive PTN receive SELL,"EoBaso prog, Mono prog, small preB, Neutro prog, NK cells, B cell, Dendritic cells, GranMono prog, GMP, Neutrophils, CMP, T cells, lin, large preB, MPP, CLP, LMPPs, Monocytes","Schwanncells, Osteoblasts, Osteo"
3,-0.2958991474383763,1.4579126374423672e-11,send MHC-I receive MK,"MSPCAdipo, Osteo, MSPCOsteo","T cells, NK cells"
6,-0.2903722138168782,3.58911255420343e-11,send MHC-II receive MK,"MSPCAdipo, Osteo, MSPCOsteo",Dendritic cells
8,-0.27246397681149126,5.826499474313286e-10,send CD34 receive MK,"MSPCAdipo, Osteo, MSPCOsteo",ECSinusoidal
7,-0.2543539938782297,7.992021492295234e-09,receive MK receive SELL,"EoBaso prog, Mono prog, small preB, Neutro prog, B cell, NK cells, Dendritic cells, GranMono prog, GMP, Neutrophils, CMP, T cells, lin, large preB, MPP, CLP, LMPPs, Monocytes","MSPCAdipo, Osteo, MSPCOsteo"
13,-0.25365082552179896,8.812349081702725e-09,receive PTN send TGFb,"Schwanncells, Osteoblasts, Osteo",Osteoblasts
12,-0.25085830278481386,1.295273535604755e-08,send ANGPT receive MK,"MSPCAdipo, Osteo, MSPCOsteo","ECArteriolar, ECArteriar, ECSinusoidal"
4,-0.24963628313793002,1.5308435450389302e-08,send CD34 receive PTN,"Schwanncells, Osteoblasts, Osteo","HSC, ECSinusoidal"
11,-0.24767767497347276,1.9973156711440915e-08,send MIF send MHC-I,"T cells, NK cells","B cell, Fibroblasts, Dendritic cells, Myofibroblasts, CLP"
10,-0.2467684125670871,2.2580912413996803e-08,send MHC-I send VEGF,"T cells, NK cells","ECArteriolar, ECArteriar, ECSinusoidal"
9,-0.24318796909623355,3.643865038510161e-08,receive PTN receive SELPLG,"Neutrophils, LMPPs, EoBaso prog, Neutro prog, NK cells, Dendritic cells, MEP, GranMono prog, EryMk prog, MPP, lin, HSC, proB, large preB, CLP, Monocytes, Mono prog, B cell, small preB, Ery prog, GMP, CMP, T cells","Schwanncells, Osteo, Osteoblasts"
14,-0.23058398735533273,1.8513791336616747e-07,receive PTN send SELL,"Schwanncells, Osteo, Osteoblasts","Mono prog, Fibroblasts, GranMono prog, GMP, MPP, CMP, ECArteriar, ECArteriolar, LMPPs"
15,-0.23036716701495652,1.9023610119163134e-07,receive BAFF receive PTN,Neutrophils,"Schwanncells, Osteo, Osteoblasts"
16,-0.2200187555887771,6.744066642121853e-07,send FGF receive MK,"MSPCAdipo, Osteo, MSPCOsteo","MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, Schwanncells, Myofibroblasts, Osteoblasts, Smoothmuscle, MSPCOsteo"
24,-0.2104745031049816,2.0546715231651127e-06,send PARs receive PTN,"Schwanncells, Osteoblasts, Osteo",HSC
21,-0.20506307457871367,3.7787371290427343e-06,receive MK receive SELPLG,"EoBaso prog, Mono prog, small preB, Neutro prog, NK cells, Dendritic cells, GranMono prog, GMP, MPP, lin, CMP, T cells, proB, CLP, LMPPs, Monocytes","MSPCAdipo, Osteo, MSPCOsteo"
25,-0.2045506806080934,3.99981597939077e-06,send CD34 send VEGF,ECSinusoidal,"ECArteriolar, ECArteriar, ECSinusoidal"
19,-0.20136984074497014,5.674653907898138e-06,receive PTN receive PECAM1,"EoBaso prog, Mono prog, small preB, NK cells, B cell, Dendritic cells, GranMono prog, Schwanncells, LMPPs, T cells, Smoothmuscle","Schwanncells, Osteo, Osteoblasts"
27,-0.19850002989251297,7.743464496531496e-06,send FGF receive PTN,"Schwanncells, Osteoblasts, Osteo","MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, Schwanncells, Myofibroblasts, Osteoblasts, Smoothmuscle, MSPCOsteo"
20,-0.19589524870684624,1.0227933639582531e-05,send PECAM1 receive PTN,"Schwanncells, Osteo, Osteoblasts","EoBaso prog, Mono prog, small preB, NK cells, B cell, Dendritic cells, GranMono prog, Schwanncells, ECArteriar, LMPPs, ECArteriolar, T cells, Smoothmuscle, ECSinusoidal"
29,-0.19009395331794404,1.8760648583256716e-05,send MHC-II send VEGF,Dendritic cells,"ECArteriolar, ECArteriar, ECSinusoidal"
