,Correlation,Adj. P-val,Name,Interacting Cell Type Pathway 1,Interacting Cell Type Pathway 2
2,0.14311457102752495,0.001333376671404502,send CD34 send LAMININ,"MSPCAdipo, Mono prog, Osteo, Fibroblasts, Dendritic cells, Pericytes, Schwanncells, MPP, Myofibroblasts, Osteoblasts, Smoothmuscle, ECSinusoidal, Monocytes","ECArteriolar, Chondrocytes, ECArteriar, ECSinusoidal"
0,0.14312366129281504,0.0013324220348142515,send LAMININ receive SELL,"Mono prog, small preB, NK cells, B cell, Dendritic cells, GranMono prog, Neutrophils, LMPPs, T cells, Monocytes","MSPCAdipo, Mono prog, Chondrocytes, Osteo, Fibroblasts, Dendritic cells, Pericytes, Schwanncells, MPP, ECArteriar, Myofibroblasts, ECArteriolar, Osteoblasts, Smoothmuscle, Monocytes"
12,0.14339388091540187,0.0013043297698420075,send LCK send MHC-II,T cells,Dendritic cells
13,0.14348286730503432,0.0012951986213178691,send LAIR1 receive SELL,MPP,Monocytes
16,0.14381131581856654,0.0012620024448296416,send ANNEXIN receive APP,Myofibroblasts,Neutrophils
11,0.14415738685915078,0.0012278738859216693,receive IGF receive PARs,"CMP, Dendritic cells","MSPCAdipo, Osteo, Fibroblasts, MSPCOsteo, Pericytes"
23,0.14478937117746293,0.0011677334085322653,receive LAMININ send PARs,"MSPCAdipo, NK cells, Osteo, Fibroblasts, Osteoblasts, Smoothmuscle, MSPCOsteo, Pericytes","Mk prog, EryMk prog, Ery prog, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal"
27,0.14479391734334665,0.0011673107953249768,send GRN receive JAM,ECSinusoidal,Schwanncells
19,0.14490182432903,0.0011573209974214522,receive CD52 send LCK,"Mono prog, NK cells, B cell, Neutro prog, GranMono prog, GMP, MPP, Neutrophils, T cells, lin, CMP, CLP, LMPPs, Monocytes",T cells
22,0.14506246305737763,0.0011425952586526637,send PARs receive SPP1,"MSPCAdipo, small preB, NK cells, B cell, Chondrocytes, Dendritic cells, Fibroblasts, Osteo, Neutrophils, Osteoblasts, T cells, MSPCOsteo, Monocytes","Mk prog, EryMk prog, Ery prog, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal"
