Pathway 1,send GALECTIN,receive MK,receive PTN,receive IL2,receive IL7,send CD52,send IL16,send LCK,send APP,send PARs,send GRN,send VISTA,receive KIT,receive SELL,send CD34
send GALECTIN,0.0,0.0,0.0,0.0,2.0392013489720795,0.0,2.0641755344731547,0.0,-2.4066224621958425,-2.388145544634156,-2.5300910473918297,-2.67084670384573,-0.0,-0.0,-0.0
receive MK,0.0,0.0,0.0,2.369344127436814,2.672609951442491,2.112079833498871,2.1488213810851207,2.3148644628643007,-2.314401815439634,-2.182550178023593,-0.0,-2.111401570070563,-0.0,-0.0,-0.0
receive PTN,0.0,0.0,0.0,2.416483006742485,2.6858656654939,2.2313641956139527,2.272014332853568,2.2184376565551167,-2.311445711816321,-2.2223025557708547,-1.9735509561946285,-2.062225986911282,-2.101272443827732,-0.0,-0.0
receive IL2,0.0,2.369344127436814,2.416483006742485,0.0,0.0,2.124557884419099,2.4184029773858047,2.49782560590208,-2.127369332892349,-0.0,-0.0,-0.0,-1.9630668765252657,-0.0,-0.0
receive IL7,2.0392013489720795,2.672609951442491,2.6858656654939,0.0,0.0,2.061118769091559,2.632060456185496,2.660392541501478,-2.3285391736054324,-0.0,-1.9943479113803493,-2.098285467072687,-2.2271013417169563,-0.0,-0.0
send CD52,0.0,2.112079833498871,2.2313641956139527,2.124557884419099,2.061118769091559,0.0,2.435492721523261,2.023223342701788,-0.0,-0.0,-0.0,-0.0,-2.159432217898388,-0.0,-0.0
send IL16,2.0641755344731547,2.1488213810851207,2.272014332853568,2.4184029773858047,2.632060456185496,2.435492721523261,0.0,2.446080981270137,-2.0360511343213887,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
send LCK,0.0,2.3148644628643007,2.2184376565551167,2.49782560590208,2.660392541501478,2.023223342701788,2.446080981270137,0.0,-2.120024553894933,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
send APP,-2.4066224621958425,-2.314401815439634,-2.311445711816321,-2.127369332892349,-2.3285391736054324,-0.0,-2.0360511343213887,-2.120024553894933,0.0,2.31721889084118,2.59145466427058,2.595537846547108,0.0,0.0,0.0
send PARs,-2.388145544634156,-2.182550178023593,-2.2223025557708547,-0.0,-0.0,-0.0,-0.0,-0.0,2.31721889084118,0.0,2.061525487847686,2.39357862037763,0.0,2.01194865281408,2.0129533542479585
send GRN,-2.5300910473918297,-0.0,-1.9735509561946285,-0.0,-1.9943479113803493,-0.0,-0.0,-0.0,2.59145466427058,2.061525487847686,0.0,2.793838815539309,0.0,0.0,0.0
send VISTA,-2.67084670384573,-2.111401570070563,-2.062225986911282,-0.0,-2.098285467072687,-0.0,-0.0,-0.0,2.595537846547108,2.39357862037763,2.793838815539309,0.0,0.0,0.0,0.0
receive KIT,-0.0,-0.0,-2.101272443827732,-1.9630668765252657,-2.2271013417169563,-2.159432217898388,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.223281737492917,2.2182710773699696
receive SELL,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.01194865281408,0.0,0.0,2.223281737492917,0.0,0.0
send CD34,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.0129533542479585,0.0,0.0,2.2182710773699696,0.0,0.0
