Pathway 1,receive CCL,send ANNEXIN,receive CXCL,receive ANGPTL,send CD80,receive FN1,send VCAM,send CD39,send BST2,send ICAM,receive SEMA4,receive IL1,send CD86,send SELPLG,receive CD86,receive PECAM1,send PECAM1,receive CD39,receive NOTCH,receive BAFF,send CLEC,send MHC-I,send MHC-II,receive IL17,receive IL6,send PROS,receive IFN-II,send TWEAK,receive SEMA3,receive NCAM,receive GRN,receive ANGPT,send EPHB,send GP1BA,receive PERIOSTIN,receive VTN,receive TWEAK,receive BSP,receive VWF,receive DMP1,receive NRG,send CD23,receive IL16,receive MHC-II,receive RANKL,send IGF,receive BST2,receive LAIR1,receive CADM,send CADM,receive BMP,send BAFF,send BMP,receive TGFb,send PDGF,send GAS,receive OSM,send GH,send LT,receive FGF,send GDF,receive GAS,receive PROS,receive SEMA5,receive SEMA6,receive ENHO,receive CEACAM,receive CLEC,receive WNT,send NOTCH,send VISFATIN,send SPP1,send FN1,send AGRN,send IL7,send CSF,receive VISFATIN,send MK,send THBS,send NKG2D,receive ncWNT,send TNF,send OSM,receive ACTIVIN,send APELIN,send CD46,receive NGL,receive GDF,send CD1D2,send ICOS,receive ALCAM,send CD6,receive CD45,send CD22,send ITGAL-ITGB2,receive MHC-I,send WNT,send COLLAGEN,receive ITGAL-ITGB2,receive SLURP,receive CSF,receive VCAM,receive MAG,send MAG,receive ICAM,receive JAM,receive COMPLEMENT,receive CD23,receive THY1,send CXCL,send IL1,receive SEMA7,receive ADIPONECTIN,send FLT3,receive CD22,send CD45,receive APP,receive MIF,receive GALECTIN,receive SELE,receive LAMININ,receive SPP1,receive IGF,send ANGPTL,receive SELL,send CD34,receive KIT,send LIGHT,receive PDGF,send ANGPT,send LIFR,receive CD34,receive PARs,send FGF,send JAM,receive ESAM,send ESAM,send APP,receive CD200,send IL2,send COMPLEMENT,receive VEGF,send NCAM,send SEMA6,send LAIR1,send PARs,send CCL,send GRN,send VISTA,send MIF,send GALECTIN,receive THBS,receive TENASCIN,receive MK,receive PTN,send IL16,send LCK,receive IL2,receive IL7,receive SELPLG,send SELL,receive CD52,send TGFb,send LAMININ,send THY1,send VEGF,send SEMA3,send SEMA7,send RANKL,receive EPHA,receive EPHB,receive COLLAGEN,send SEMA4,send CD52,send PSAP
receive CCL,0.0,-0.229351480376937,0.0,-0.2645749572312216,0.3336017895693629,0.2174190376305118,0.1816357181970052,0.0,0.2305073224442836,0.2749185921144224,0.3770518033547106,0.0,0.2154120846624443,0.2165254000542668,0.2748453608205184,0.2478395542152703,0.2478395542152703,0.3321085308943458,0.1965319396733144,0.3654403883725159,0.3060410164588228,0.3538812946144608,0.3599740764256758,0.225533373198443,0.4055041545739286,0.2258901389620526,0.2218537941704695,-0.2690146885219691,0.2102248444134173,0.0,0.206930799255612,0.0,-0.1791039760060745,0.0,0.2194983666782579,0.1773860216340227,-0.2050609907787345,-0.3102713157444611,-0.2998249012598648,-0.2920803409067284,-0.2573962438795593,0.0,0.3125475644643984,0.3125475644643983,0.2874958894158642,0.1903402623838521,0.2473086564839636,0.2473086564839636,0.2135557874321065,0.2372084722604344,0.2240616605395629,0.2413251775883672,0.0,0.0,0.2267283926363558,0.0,0.0,0.0,0.0,0.2476583486412131,0.2286676185979734,0.0,0.0,0.0,0.0,0.0,0.0,0.2145409549884467,0.0,0.0,0.2000378304153119,0.1869253474979538,0.2329147278099649,0.0,0.0,0.0,0.2013255554814731,0.2319774668766388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1777873805740309,0.0,0.0,0.1939373141663124,0.2434624383852251,0.2434624383852251,0.2195740501666034,0.1887636655650779,0.2203318309925805,0.1847046110218885,0.1968638667259769,0.0,0.0,0.0,0.4083122246652018,0.2310711133230971,0.3325658903463667,0.3325658903463667,0.3193913693866314,0.2859411931740981,0.3598917361002188,0.3410749735949874,0.348145003216563,0.2415011211141425,0.2489780358103686,0.1994064403567912,0.1864709900426167,0.1985614239245516,0.1914701010646721,0.1898043793464957,0.2095049568208779,0.2703997501671047,0.33102448949293,0.3580370695158408,0.322603896548289,0.3379619459622447,-0.3037301913760677,0.2300643531710716,0.2927989321437222,0.2928866119644941,-0.3411273513313282,-0.3432525697757442,0.0,0.0,-0.2776499941912622,-0.2814856403888511,-0.3097513632240992,0.0,0.0,-0.1850740190468166,-0.1850740190468166,-0.508547165401667,-0.3946111730413946,-0.4282224308592671,-0.3439966671673297,-0.2560459707262606,-0.3493179079262858,-0.2882334279481998,-0.3711987091491531,0.3358608087663066,0.0,0.4266673768810773,0.4729751298465907,-0.1941747494708351,-0.4240606380666651,0.3750602523936762,0.3708758095423429,0.5171685765523293,0.4893214698420838,0.4968540729948981,0.5139680600544992,0.5842586597845525,0.5474648717057051,0.3296019707575709,0.3589829187166,0.134498840630172,-0.3272836407556956,0.4254955223646752,-0.2630852496298125,-0.2251011016102099,-0.2099523596452394,0.2160451645019323,0.4284429650413152,0.2836325731524206,0.2700935422813197,-0.0418064641952443,0.3426439668597182,0.385959411227567,0.4272106824274899
send ANNEXIN,-0.229351480376937,0.0,0.0,0.2161560471653476,0.0,-0.3504300226711581,-0.4275103899952728,0.0,-0.3533499392720641,0.0,-0.2276353834079688,-0.2273574347906854,-0.2050039793767369,-0.2114950759895182,-0.2888326688660191,-0.1912746514495713,-0.1912746514495713,0.0,-0.371912484018233,0.0,-0.2562230905859103,-0.4174524050586668,-0.4753026915213249,0.0,-0.2535159521812903,0.0,0.3201007864850351,0.0,-0.1741346010637703,0.2548217007160956,0.0,0.0,0.0,-0.2121814482186735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1951504470745649,-0.2389681992393531,-0.2389681992393531,-0.1912188380641269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1784522728212508,0.0,-0.1990550468132083,0.1733767483439227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2288620293262048,0.0,-0.1853990219928485,0.0,0.0,0.2734387982679002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1757331101506608,-0.1757331101506608,-0.1879308716201203,0.0,0.0,-0.183857731580061,0.0,0.0,0.0,-0.2185579581271895,0.0,0.1980640534155054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2260029229438868,-0.2698867835219843,0.0,0.0,0.0,0.0,-0.2849710770026704,-0.3705946642006829,-0.1906673303872527,-0.2553950934113231,-0.2413814715191714,-0.2134250049610355,0.0,-0.1795605199226,0.0,0.0,0.0,0.0,0.0,-0.3210437387371436,0.0,0.0,-0.2098084961082781,0.0,0.0,0.0,0.0,0.2644244976783643,0.2709403528303298,0.3009935554024963,0.3900344608084106,0.4086952981950735,0.4538609496533971,0.0,0.2844188576737894,0.2762039036595562,0.1905990197107013,0.0,0.1995646614296678,0.0,0.0,-0.2908873946087033,-0.3314936250067329,-0.3625556829115598,-0.3300527985117978,0.0,0.0,0.0,0.0,-0.1983331062152804,0.0,0.4204652090141177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2394813273472454,-0.2182024951825778,-0.4033630164140151,0.0,-0.1863624462545031
receive CXCL,0.0,0.0,0.0,-0.2947492971616532,0.5535278600491716,0.2299219310740249,0.2212863186580134,0.2186572715746239,0.2393506787744778,0.2478193034950446,0.2456079231364631,0.0,0.2765167036950539,0.2921588586638032,0.2202895374821309,0.2010656424463897,0.2010656424463897,0.0,0.0,0.2821573344475442,-0.3179118006331748,0.0,0.2552505349836357,0.1899392628061069,0.199545662744096,0.1802246602754277,0.1973688897674848,0.2558483113401349,0.1788809106124721,0.0,0.2221023647923427,0.2802214508514783,-0.2133768500154698,0.2802773405228401,0.2231063025001897,0.2181823758219238,0.3189024437301077,0.2002428515010836,0.3450992521217468,0.226681607411848,0.303625952873845,0.2399799669332542,0.3014093342625631,0.301409334262563,0.2965856519244298,0.2996022548053942,0.4824231013808315,0.4824231013808315,0.4599943500614911,0.4599943500614911,0.2925133763107926,0.1937623359762186,0.0,0.1807713634658965,0.2734355608467559,0.2138334281662555,0.2407776220299753,0.0,0.0,0.0,0.0,0.2067621289645314,0.0,0.0,0.0,0.0,0.0,0.189522000794812,0.0,0.0,0.0,0.0,0.1965022991625498,0.0,0.0,0.0,0.1918396454992275,0.0,0.0,0.1788853605193612,0.0,0.0,0.0,0.0,0.1913204431726901,0.0,0.0,0.0,0.0,0.0,0.1957103856764231,0.1957103856764231,0.2511557618246038,0.2364478102417337,0.2746271362674871,0.2985443786688457,0.2189467051984723,0.0,0.0,0.0,0.1986100910625722,0.2931971646731667,0.21447163203253,0.21447163203253,0.2871270935626079,0.2158025932054499,0.3225519025879811,0.2472213511913145,0.2171964405888581,0.0,0.2313299141604358,0.2740235621472683,0.2064323263335296,0.244292794635381,0.2237747769131136,0.2015939473540693,0.323739816234217,0.0,0.3229563871345541,0.3133759228476581,0.3371327713111448,0.2484607302688335,0.4671181414549034,0.2448122265744245,0.3715889103069709,0.3682109679801029,0.4379299673169501,0.4603013532544356,0.2791847417704504,0.2885834975549965,0.3718070501722942,0.4660947828671903,0.3643329649906826,-0.2502858201453258,0.2893882322836967,0.2514470501747161,0.2514470501747161,0.3537989030411138,0.2368794769528041,0.4014317897559997,0.198030302448478,0.2266932864359124,0.2952811242838249,0.3650174100730465,0.3582595098081055,0.3824319905628677,0.2611812720046813,0.3303616082965694,0.3551151610163566,-0.2141835914200081,-0.2886439786638517,-0.3956246938875051,-0.3601867274319351,-0.3722083540694924,-0.4220895521358171,-0.3735043978081351,-0.332647578504469,-0.3640075758602069,-0.390336544654091,0.2228611679850952,0.2824814328120337,-0.3055041606510518,-0.2284088875960908,-0.2311183178872265,-0.2462549072791373,-0.2313970819244598,-0.1895441913651611,-0.2065118339256406,-0.2797818182687124,-0.189650010770984,-0.2434989720476913,-0.3655598984609681,-0.3182119130489402,-0.3882362898882224,-0.4078779193055397
receive ANGPTL,-0.2645749572312216,0.2161560471653476,-0.2947492971616532,0.0,0.2072507995047801,0.0,0.0,0.224736776983905,0.0,0.2426740477735068,0.2916556103181879,0.0,0.2165025416523746,0.2973025118110164,0.2404200699438076,0.2175175967634184,0.2175175967634184,0.2162639984157144,0.2022922510135588,0.4114279042919752,0.2690069039756991,0.2793356403795289,0.2659074510274498,-0.1914727686966895,0.0,0.2783852563589354,0.0,0.1995431903292226,0.0,0.1871253265850944,0.0,0.0,0.0,0.0,0.0,0.0,-0.207255553414454,0.0,0.0,0.0,0.0,0.2011006245756792,0.0,0.0,0.1825904508714181,0.0,0.2884414963577529,0.2884414963577528,0.2750859937872567,0.2750859937872567,0.0,0.1792492685390046,0.2059088351898005,0.0,0.0,0.0,0.2041929490048046,0.0,0.0,0.0,0.0,0.1999375762259594,0.1982285347169681,-0.2330321854147349,-0.1759266782242242,0.0,0.0,0.0,0.0,0.0,0.0,0.2034992332816652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2058049539738794,0.0,0.1891014910136541,0.0,0.0,0.0,0.0,0.0,0.0,-0.1755335175238009,-0.1755335175238009,0.1805565874189253,0.1918423042238788,-0.193206640292623,0.2306551823912641,0.2001429034153318,0.1773301696628945,0.1957477283044295,0.2214254411247209,0.0,0.0,0.2784059641451581,0.2784059641451581,0.0,0.0,0.210942719150167,0.0,0.0,0.1968784976715329,0.1768033939660171,0.0,0.2240099890992508,0.225209956972866,0.2478253420585099,0.2478253420585099,0.1902385510253715,0.0,0.1964199186236423,0.0,0.0,0.0,0.0,0.0,-0.2796240828807702,-0.2770192155022172,0.309643784637784,-0.3278634585205309,-0.2709919830683209,-0.2254698385830658,-0.2439641048934227,-0.3053394353124318,0.1999890865325728,0.0,0.2309829710447704,0.2747333788204968,0.2747333788204968,0.2644961139792731,0.2492983159807691,0.3297080497699898,0.2125962306862294,0.1824477069252396,0.2545139545739618,-0.2554864623952702,-0.3360074557394655,-0.2704888383105397,0.2208182022790981,0.2584089649033414,0.2735664562740157,-0.2641351859008699,-0.1988624593203272,0.0,0.0,0.0,0.0,0.3668046670253838,-0.2445009168093462,0.2861143968969717,-0.3119681488814718,-0.1918756133460217,-0.1839766344105419,0.248059211776483,-0.1820358106139478,0.290849266871244,-0.1885055823443005,0.0,0.0,0.0,-0.1952494671332537,-0.1978792159931333,-0.2114904343552598,0.0,0.2607433430418874,0.3810966048738964,0.3960683425666581
send CD80,0.3336017895693629,0.0,0.5535278600491716,0.2072507995047801,0.0,0.2301916051410331,0.0,0.3066041658595833,0.0,0.0,0.0,0.0,0.1957705864961065,0.0,0.0,-0.1919518651761731,-0.1919518651761731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2788322279222265,0.224511909498531,0.0,0.1813865655439404,0.2529179638243635,0.0,0.1863936415321161,0.0,0.0,0.0,0.2198728816928108,0.0,0.0,0.0,0.0,0.0,0.0,0.2751819638242861,0.2840077317657018,0.2840077317657019,0.2685177285529527,0.3927415098158545,0.2736697137801622,0.2736697137801623,0.3855810879351887,0.3855810879351886,0.2069785446945762,0.5161062267710792,0.0,0.0,0.0,0.0,0.1729854261761331,0.0,0.0,0.0,0.1983904881024722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2339567714374805,0.2464516908648623,0.3997736034584648,0.3913572333682891,0.3803020266217727,0.0,0.0,0.0,0.222978033998441,0.4032641262837965,0.4533222144144119,0.4533222144144119,0.4392527910547759,0.3054856166818606,0.3690166410277568,0.3866454682781249,0.3961361082177104,0.3135048790232917,0.2916828242355675,0.2949229209520748,0.2711562984999842,0.286873938122741,0.2936998397263869,0.2936998397263869,0.249144701338873,0.2820025106163548,0.3721196871486439,0.352743235611643,0.2311157655426369,0.2997514169355559,0.0,0.0,-0.2429063624016686,-0.2429053720187659,0.0,0.0,0.0,-0.2163894782359676,0.0,0.0,0.0,0.1911947792346167,0.0,0.0,0.0,0.3285629611490011,0.3793133306679406,0.0,0.2752286014367906,0.2833747383052116,0.2253942624462145,0.0,0.0,0.0,0.2424673156626977,0.4342722004529891,0.445376462647957,-0.3393073910622257,-0.4170283972506469,0.0,0.0,0.0,0.0,0.0,-0.3139866993867789,-0.2652048874908588,-0.286491827746496,-0.3057601579504376,-0.2854860288979093,0.0,-0.3644741477636541,0.0,-0.2003194696772873,0.0,0.0,0.0,0.0,-0.3211978939720452,-0.2887741164718008,0.2565192114865355,0.2505033430322366,0.2681355262599971,0.2152926734549452
receive FN1,0.2174190376305118,-0.3504300226711581,0.2299219310740249,0.0,0.2301916051410331,0.0,0.0,0.0,0.2880045037683697,0.239587004979338,0.3131799610997489,0.1933869987303426,0.2543258608025546,0.3792651860494483,0.2545044866351993,0.2160245423637113,0.2160245423637113,0.3657404146933047,0.2934826600135379,0.3217403521712964,0.244954618615821,0.5299652908443796,0.4653625814198705,0.0,0.2199904912359193,0.0,-0.175650747232947,0.2381811484181408,0.0,0.0,0.0,0.0,0.2375700486626718,0.2604828483042212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2565287100254181,0.2443565157179857,0.2443565157179856,0.2096379945590421,0.1999997460241731,0.1875026268317049,0.1875026268317049,0.2302124838885101,0.2302124838885101,0.0,0.1908727901230057,0.176572345579052,0.206454202553971,0.2267714340695495,0.1926228184471936,0.2271859688928262,0.0,-0.1909661097705186,0.0,0.0,0.2126316600026324,0.1903623692364426,0.0,0.0,0.2167443261050969,0.0,0.0,0.0,0.0,-0.1913247170029686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2007918045569513,0.0,0.2485017655032168,0.0,0.0,0.0,0.0,0.2177134723648116,0.2560441520089292,0.2456592463083335,0.2381201082727644,0.2577719540859923,0.3541138092022677,0.0,0.0,0.0,0.0,0.21689404874189,0.0,0.1995435135763811,0.0,0.0,0.2175867295608598,0.2421089847927315,0.0,0.3378693585855994,0.2845867204075341,0.3906959805395147,0.3906959805395147,0.2816561921214008,0.0,0.0,0.0,0.0,0.0,0.0,0.1882117248417447,0.3256260369047759,0.3225068592055349,0.3169191277396077,0.2784647333283447,0.3118601878415948,0.4217294611695599,0.2456452339228697,0.3372043770503607,0.4125515233828561,0.3244093613675365,0.2979089745862988,0.2924483882412825,0.2924483882412825,-0.2168694939436187,0.0,-0.2646073558715879,-0.2116270591313261,-0.2513448107917536,-0.2753922254564006,-0.2486083706927768,-0.2436444248686035,-0.2605917702270008,0.2248659916945066,0.274593687719983,0.0,-0.3998194401574812,-0.1935979491176713,0.0,0.0,0.0,0.0,0.2448829024117893,0.2570702799237885,0.257958033702748,0.2739868262823322,0.0,-0.1985958613012083,-0.2835225522620678,0.0,0.2301750931959381,0.0,-0.2500701890313163,-0.2185421124751762,0.0,-0.2337870098097205,-0.1808001266246653,0.2118519857447998,0.0,0.3045623645775066,0.3063066463183814,0.42490338336899
send VCAM,0.1816357181970052,-0.4275103899952728,0.2212863186580134,0.0,0.0,0.0,0.0,0.0,0.3995854180335454,0.2041662313093162,0.2619961800205366,0.1863745297744515,0.1944922076333389,0.4191669360997336,0.1852516748070743,0.1778570737410532,0.1778570737410532,0.348807958664651,0.3355607693475114,0.1817926615565765,0.1786838422865135,0.5292026704624937,0.5171157828502376,0.0,0.342670394820457,0.0,0.0,0.2552906521114056,0.0,-0.1733076182682666,0.0,0.0,0.2636456151607189,0.2547512642426805,0.1851680127721901,0.0,0.0,0.0,0.0,0.0,0.0,0.2621016173309627,0.2910141610321132,0.2910141610321131,0.2714691902950967,0.2018804415103259,0.2340073667395775,0.2340073667395775,0.2454539245602456,0.2454539245602456,0.0,0.0,0.0,0.2613909840540062,0.223118723183149,0.2128906495176379,0.0,0.0,0.0,0.0,0.0,0.1840272676788208,0.0,0.0,0.0,0.2106766339129936,-0.2053159956259901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1740251925426932,0.0,0.0,0.0,0.0,0.1910205450477108,0.2415435158823923,0.0,0.2559657628567332,0.2913247307231235,0.3261312097340859,0.0,0.0,0.0,0.0,0.2262881785336457,0.0,0.222965679599439,0.2414482369091867,0.2273600876920634,0.2071950909255009,0.2779559009457168,0.0,0.4337128293853536,0.3248802820073777,0.3934290900896455,0.3934290900896455,0.2809187138628181,0.346372893946757,0.4415738373486297,0.326553557533176,0.0,0.0,0.2068451532789122,0.2130662597459479,0.34682238149578,0.3441086432281056,0.274915872745204,0.2509355215704077,0.3598350648928813,0.4067590191877694,0.1895655865407264,0.3315676266684481,0.3878488029342419,0.3487625247793798,0.2803355193187655,0.2767516487494575,0.2767516487494575,0.0,0.0,0.0,-0.2070683945068704,-0.3121961264075963,-0.2364020535506141,0.0,0.0,0.0,0.2444205396314143,0.2793466851501612,0.0,-0.3618353766932866,-0.2091579724754951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1867542726478306,0.0,0.0,-0.3428683752243344,0.0,0.0,0.0,0.0,-0.2465717524653182,0.0,-0.2125293995509747,0.0,0.1865117296897291,0.0,0.2366944120872166,0.0,0.2013362173596404
send CD39,0.0,0.0,0.2186572715746239,0.224736776983905,0.3066041658595833,0.0,0.0,0.0,0.0,0.2218861213702463,0.0,0.0,0.2464834418026575,0.0,0.0,0.0,0.0,0.0,0.0,0.3547465215245593,0.2827293483969537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2306509763736093,0.0,0.0,0.0,0.0,0.0,0.0,0.1855631024560338,0.0,0.0,0.2090899863339944,0.2090899863339944,0.0,0.180923953978232,0.0,0.0,0.0,0.2536789635057414,0.0,0.2260893560215404,0.0,0.0,0.0,0.0,0.0,0.0,0.2416618068198313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1776348169609458,0.2820123065452771,0.1832445194767733,0.2041055689538138,0.2520315915690645,0.0,0.0,0.0,0.0,0.0,0.1866267186995772,0.1866267186995772,0.0,0.0,0.1794829017098639,0.0,0.0,0.2279964812684646,0.0,0.0,0.0,0.0,0.2246705104336971,0.2246705104336971,0.2064660711022818,0.0,0.0,0.0,0.0,0.0,-0.334453087372312,-0.3476693188145605,-0.3979183705538601,-0.3949300937082711,-0.3705420544712733,-0.2179017987007312,-0.2526787488519509,-0.4121589329195461,-0.2797078199384091,-0.266887521600942,-0.2116226824998877,-0.1943634855176788,0.0,-0.2397285934194195,-0.2397285934194195,0.0,0.0,-0.1908609529179785,0.0,0.0,0.0,-0.1772056712208469,0.0,0.0,-0.1780323391276298,0.0,0.0,0.0,0.0,0.3090820073966593,0.2767227139559536,0.2049859800252023,0.2426732605790721,0.2944287884942547,0.0,0.0,0.0,0.0,0.0,0.2135005946565866,0.0,0.0,0.2428299599055153,0.0,0.0,0.0,0.0,0.0,0.0,0.2658313285124649,0.212706567141306,0.388762339750075,0.3760728514532981
send BST2,0.2305073224442836,-0.3533499392720641,0.2393506787744778,0.0,0.0,0.2880045037683697,0.3995854180335454,0.0,0.0,0.2625462425484011,0.2439818205277105,0.0,0.295335984968157,0.3835761063866273,0.340055966943743,0.0,0.0,0.1918379550043118,0.3312982094817237,0.0,0.2703132607204603,0.3532397235504018,0.4570644605772183,0.0,0.4588236630508417,0.0,0.0,0.1855734919228013,0.186921627712055,0.0,0.0,0.0,0.0,0.0,0.2774414947589709,0.2109936811622886,0.0,0.0,0.0,0.0,0.0,0.0,0.3156446418845012,0.3156446418845011,0.2684546249573893,0.0,0.0,0.0,0.1775676531644167,0.1775676531644167,0.0,0.0,0.1797643261688353,0.1950240483852058,0.2321560136744098,0.0,0.3063061444792737,-0.1844817352091208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2356398839674246,0.0,0.2359681262718136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185497151080511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2339918923990817,0.2339918923990817,0.2155506510023453,0.0,0.2952172116280952,0.0,0.0,0.0,0.0,0.2440339620586327,0.2338138774505568,0.0,0.0,0.0,0.2608515250650318,0.2370735584348275,0.0,0.0,0.1815462317071662,0.1744915293681334,0.0,0.0,0.0,0.2099751598630951,0.293677263108182,0.293677263108182,0.2402636515356498,0.3600753331738789,0.4096150754272765,0.3205401210362012,0.3707155029918852,0.275403754096527,0.0,0.2068718018895299,0.3388080422883137,0.3409034340399912,0.0,0.0,0.2475011339871775,0.2649216934034446,0.0,0.0,0.19285160100996,0.0,0.0,0.0,0.0,0.0,0.1945035074805261,0.0,0.0,-0.2271595102581287,0.0,0.0,0.0,0.0,0.3063809018470513,0.2747803758094296,0.2402817826276195,0.0,-0.3346722773966342,0.2018772345819371,0.2568822735349004,0.2213023397524968,0.2006845180598006,0.0,0.0,0.0,0.0,0.2259555978325627,0.0,-0.3492543097162003,0.0,0.0,-0.1805182620909984,0.0,0.0,0.0,0.1781849549328323,0.0,0.0,0.2062817643093466,0.3250311747091411,0.2742765447649924,0.270116857934495
send ICAM,0.2749185921144224,0.0,0.2478193034950446,0.2426740477735068,0.0,0.239587004979338,0.2041662313093162,0.2218861213702463,0.2625462425484011,0.0,0.2877259704605716,0.0,0.2024766434265597,0.3068698279608245,0.1966078399112698,0.1925226290989848,0.1925226290989848,0.2600545521169317,0.1860552032310323,0.2257787766338123,0.3068243069530861,0.4150602007101626,0.4087364509222925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178967407233067,0.0,0.0,0.0,0.0,0.0,0.1879775830587226,0.0,0.0,0.0,0.2470932794852619,0.2470932794852619,0.0,0.0,0.0,0.0,0.1927617606483962,0.1927617606483962,0.0,0.0,0.179002654961063,0.0,0.0,0.3215353254878386,0.0,0.0,-0.1998624766595043,0.2098037794956888,-0.174574887374447,0.2117979117301429,0.0,-0.1972850506606576,-0.1972867687558857,0.194831221596709,0.0,0.0,0.0,0.1879247629418382,-0.1938430540310067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999318474737723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1945765714777066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2143316731918129,0.2411888069965327,0.0,0.0,0.2521341435542858,0.0,0.0,0.2060889569109601,0.0,0.2041857885573014,0.2041857885573013,0.217664298077487,0.0,0.2840096870480887,0.1742007538789156,0.2443678447951269,0.1790349203888833,-0.2428556174899979,0.2097997579904428,0.2610764910724861,0.2613671395722093,0.2285318549579721,0.2165931637460621,0.2265255734955027,0.3267658562463498,-0.2609792321784753,0.2019999319707238,0.2979995882884454,0.1953766429846601,0.193438124799533,0.2149750952087316,0.2149750952087317,0.0,0.0,-0.2180608614055589,0.0,-0.2489354308075829,-0.2721746614635687,0.0,0.0,-0.2349681726004489,0.222754111944254,0.200360803498077,0.0,-0.361719020739916,0.0,0.3508415120467201,0.34459878959677,0.2915715607642478,0.3192900610417691,0.3327806919550554,0.2551187968089338,0.1870263625953506,0.0,0.0,0.0,-0.1794096377012998,0.1728080322385577,0.2286449019306425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2482418804261123,0.3039768822989932,0.416190236949952,0.3807953637239256
