Pathway 1,send MIF,send JAM,receive ESAM,send ESAM,send IL2,send TGFb,receive SEMA6,send CXCL,send IL1,send PROS,receive ANGPT,receive MK,receive VTN,receive VWF,receive FN1,send FLT3,send LIFR,send PTN,receive VEGF,send EPHB,receive SEMA7,send GP1BA,send GALECTIN,receive PARs,receive IGF,send FGF,receive KIT,send ANGPT,send MHC-I,send PARs,send CCL,receive NOTCH,receive CSF,send CD52,send BST2,send SELPLG,receive CCL,receive IL6,receive CLEC,send VISTA,receive IFN-II,receive PECAM1,send PECAM1,receive SELPLG,send SELL,send IL16,send PSAP,send MHC-II,receive MIF,receive SEMA4,receive BAFF,receive SELL,send CD34,receive CD39,send ANNEXIN,receive CXCL,receive PTN,receive CD34,receive THBS,receive GALECTIN,receive CD22,send CD45,send ICAM,send LCK,receive CD52,send GAS,receive IL1,send LAMININ,receive APP,send CD86,send LAIR1,send CLEC,receive COLLAGEN,receive SELE,send VEGF,receive CD200,send PDGF,receive IL2,receive IL7,receive ICAM,send ICOS,receive TENASCIN,receive RANKL,receive ITGAL-ITGB2,receive ACTIVIN,receive TGFb,receive NODAL,send LIGHT,send NOTCH,send SEMA7,receive GDF,receive NPR2,receive FGF,receive NCAM,send SEMA3,receive SLURP,receive WNT,receive ncWNT,send CSF,send BMP,receive ANGPTL,receive VISFATIN,receive BSP,receive GAS,receive PROS,send TWEAK,send ITGAL-ITGB2,send OSM,send NKG2D,send IL7,receive EPHA,send SEMA6,send GDF,receive BMP,receive TWEAK,receive GRN,receive DMP1,receive NRG,send AGRN,receive NGL,send APELIN,send THBS,send CD1D2,receive ENHO,receive SEMA5,send CD46,send MK,send CD39,receive COMPLEMENT,receive PERIOSTIN,receive CD23,receive THY1,send GRN,send APP,send SPP1,send SEMA4,send ANGPTL,receive CEACAM,receive SEMA3,receive EPHB,receive IL17,send TNF,receive CD86,send COMPLEMENT,send WNT,receive OSM,send VISFATIN,receive JAM,receive LAMININ,receive SPP1,send COLLAGEN,send THY1,receive PDGF,receive ADIPONECTIN,send VCAM
send MIF,0.0,-0.2003380906181162,-0.1925756114318566,-0.1925756114318566,-0.2899418247324084,0.0,0.1552648749604017,-0.1417207518130497,-0.1224895007443204,0.0,-0.197077764104317,0.1739983630498499,0.0,0.0,-0.3189091603664979,-0.1579472854019786,-0.1867424062072073,0.0,-0.118364737689031,-0.2995352087476456,-0.2588313400507092,-0.1868088480091854,-0.3793518493279562,-0.4521987649913618,-0.375371267110637,-0.2918544293049711,-0.3730045008487565,-0.2984946745585592,-0.6506854409965175,0.5865141396230387,-0.2574748758862619,0.0,0.3653742450940584,0.2646419267632897,0.3827710147318416,0.1322604355410105,0.1760615801466873,0.2882903147518469,0.3164430474179818,0.1456988016285936,0.0,-0.1291613013154456,-0.1291613013154456,0.2085171611858263,0.2608833726862923,0.0,0.0,-0.2098806096554376,0.0,0.3363407417044547,-0.2760084199111867,0.0,0.0,-0.341716884256472,-0.271710969416786,0.2163802658826005,0.5270913947338753,0.0,-0.2239873918021163,-0.2888609210256474,-0.3599382004659181,-0.3599382004659181,-0.191032894417007,0.0,0.0,0.0,-0.1743651660476919,0.0,0.0,0.0,0.1281328365503714,-0.2128602933759218,-0.1215509031247068,-0.1657202655563869,0.2390595488365398,-0.1136191518911999,0.1448765699911547,0.0,0.0,-0.1878079320600703,0.1136246125504443,0.0,0.0,-0.2031173626666102,0.0,-0.1306141476226865,0.0,0.0,0.1119480869577291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1135109346641422,0.0,0.0,0.0,-0.1112918182043363,0.0,0.1092681882590524,0.1951757913295701,0.2193947867764186,-0.1286660821804571,0.0,-0.1262788536133101,0.1669026604891494,0.0,0.0,0.0,0.0,0.1094344950635913,0.1789950257463671,0.0,0.0,0.0,0.2075748055694459,0.2192928212214435,0.2030743924681529,0.0,0.0,0.157638677235135,0.2050324972250777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2790113046514882,0.0,0.1689006535294179,0.2787774470028076,0.0,0.3017082194713675,0.2161519493157069,0.2887217148326806,0.1706316523587732,0.1489525269231816,0.2163183935604498,0.1598362550679269,0.1432605730710183,0.3279981314140858,-0.2029242014737482,-0.2223372608007983,-0.211002631742373,0.0,0.0,-0.3201390977613238,-0.3092485865150434,-0.3415054785306294
send JAM,-0.2003380906181162,0.0,0.4998213892269571,0.4998213892269571,0.1620299058967201,-0.109549731546837,0.0,0.2495219099324821,0.1724758118564255,0.1487224757658334,0.2661425345612522,0.1306048776665771,0.3236805985594291,0.3246023967177012,0.1984257151105024,0.1286419147774535,0.2072336061996298,0.2834257033257145,0.1721197830820977,0.2462093949471081,0.1198319813891356,0.2469569329552212,0.1480880423136433,0.4517628973133139,0.2837324531381715,0.2427615061826444,0.2445868290547719,0.4698151117431725,0.4822872608745214,-0.4158939958374734,-0.1869637994597933,-0.1959741875443305,-0.3667104317574212,-0.2151429206315223,-0.1695411469511249,-0.3091495413328984,-0.217356448067992,-0.2855509904757564,-0.2585149634292424,-0.1573905627521376,-0.2338380653140908,-0.1584512017492433,-0.1584512017492433,-0.1435461030776826,-0.2607560368724209,-0.1748705087905513,-0.1460597966662918,0.2550506312603879,0.198759709314576,0.1763167923975504,0.1174369482986936,0.1310272915377787,0.1283261055153935,0.3725179891803879,0.2193717307683995,-0.1571920867127396,0.0,0.2550118016428445,0.1798026191306299,0.0,0.0,0.0,0.0,0.2284015946037295,0.1245649823516349,0.2541886257006697,0.1189922277318315,0.1256845352888488,0.1356943646057212,0.1413119406440655,0.0,-0.1297841046488382,0.1251113015891038,0.0,0.1618176880836037,0.1663104647982722,0.1460485704119024,0.0,0.0,-0.1154638643920153,0.1484117277185312,0.2308707306677244,0.0,0.0,0.2708922528866578,0.2084146721153399,0.1732379966919152,0.2130285891374783,0.1920974892987368,0.1547135490596508,0.1920277994251412,0.2719999596686705,0.2041639652711955,0.1863383163039546,0.1378556776369024,0.1850808967578256,0.2089962370303402,0.155464328784117,0.0,0.130675963216036,0.1640868396823884,0.1522535845232171,0.1914837927751172,0.1750254737672884,0.1621643790358733,0.1522654461204887,-0.109410622012581,0.0,0.1151188717960861,0.1658410439830516,0.0,0.0,0.1237946287949557,0.0,-0.1384514907657765,0.0,0.1791532996668081,0.1684088890037322,0.0,0.0,0.0,0.0,-0.1286432368117419,0.0,0.0,0.0,0.0,0.0,0.0,0.1782151509687804,0.1347951044951905,0.1283843004213542,0.0,-0.1158542384772251,0.0,0.0,-0.1997074813216472,0.0,-0.1133836691594417,-0.1791360384796531,-0.1190007913496728,-0.1516651346508783,-0.2204671752830186,0.0,-0.1491060828966667,-0.1801038805222524,-0.173168459144706,0.0,0.3307440099744779,0.1597167849824879,0.3187250588134869,0.279207571759491,0.0,0.1102771131120226,0.0
receive ESAM,-0.1925756114318566,0.4998213892269571,0.0,0.0,0.1781579460298271,0.1378674979513582,0.0,0.3031226222066338,0.1976819074538834,0.1804991120959273,0.3858235725571552,0.1847775198326904,0.3104310037853943,0.3515435672601831,0.2139126322013358,0.1942982555655132,0.2631357199697074,0.2960607183192601,0.17166480420609,0.2593651379054852,0.1556608970511158,0.2265853575230406,0.1407873521161803,0.5092926959328223,0.3232304735708292,0.3653792223584539,0.2784031395727842,0.547987089327217,0.4711690147697135,-0.415063137105108,-0.2119434844649683,-0.2144898477408145,-0.4057090679293044,-0.2884026350316506,-0.2564118245420367,-0.4059774771603235,-0.1970592829914611,-0.2836804163162408,-0.2757400319717242,-0.1889580866030352,-0.2899204270299655,-0.1802782744435411,-0.1802782744435411,-0.1551969321442677,-0.3154726758803937,-0.1137016239187402,0.0,0.1912335039205444,0.1088807199424679,-0.1955977824827464,0.1207919966162935,0.0,0.0,0.3959844524076559,0.2061283326729826,-0.1861414608634623,-0.1146114616403045,0.353135151391415,0.1443921069055605,0.0,0.1182650367885154,0.1182650367885154,0.0,0.1371318453374183,0.0,0.2426206703033325,0.0,0.0,0.1292992208044498,0.1094104450811017,0.1228963562654519,-0.1486338413247218,0.1270900257945289,0.0,0.1447514374581275,0.1883759830247601,0.1334591799236551,0.0,0.0,0.0,0.0,0.2481076434179003,0.0,0.0,0.3146871087606418,0.2803122637013852,0.2210857972460484,0.2002124105506899,0.1216561187143562,0.1251750411079459,0.1259039301784629,0.2485857175587641,0.1316827718378221,0.1333447048293525,0.1206792824514989,0.1622430593712784,0.192695135885013,0.158979543399323,0.0,0.1711761534456033,0.1512404866292024,0.2050845039225799,0.1367096999335493,0.1370123373440737,0.1295956861657213,0.1543077668633024,0.0,0.0,-0.1200316958712176,0.1465135492515508,0.0,0.0,0.1444086174077845,0.0,-0.123530091747306,0.0,0.1352805313531271,0.1199668808220774,0.0,0.0,0.0,0.115902449616458,0.0,0.0,0.0,0.0,0.0,0.0,0.1267273036591001,0.1302157174332031,0.0,0.0,0.0,0.0,0.0,-0.1693560206689466,-0.1671063092683045,0.0,-0.1230337102758115,-0.2150866473864151,-0.1699112513460603,0.0,-0.1891238438615188,-0.1150599329803844,-0.13402433593711,-0.1557477343593529,-0.1799836415601517,0.4198216049239184,0.3449293392287729,0.1785831851813687,0.3061522174108508,0.2702218162640048,0.0,0.113638959851995,0.0
send ESAM,-0.1925756114318566,0.4998213892269571,0.0,0.0,0.1781579460298271,0.1378674979513582,0.0,0.3031226222066338,0.1976819074538834,0.1804991120959273,0.3858235725571552,0.1847775198326904,0.3104310037853943,0.3515435672601831,0.2139126322013358,0.1942982555655132,0.2631357199697074,0.2960607183192601,0.17166480420609,0.2557244116720615,0.1556608970511158,0.2265853575230406,0.1407873521161803,0.5092926959328223,0.3232304735708292,0.3653792223584539,0.2784031395727842,0.547987089327217,0.4711690147697135,-0.415063137105108,-0.2119434844649683,-0.2144898477408145,-0.4057090679293044,-0.2884026350316506,-0.2564118245420367,-0.4059774771603234,-0.1970592829914611,-0.2836804163162408,-0.2757400319717242,-0.1889580866030352,-0.2899204270299655,-0.1802782744435411,-0.1802782744435411,-0.1551969321442677,-0.3154726758803938,-0.1137016239187402,0.0,0.1912335039205443,0.1088807199424679,-0.1955977824827464,0.1207919966162935,0.0,0.0,0.3959844524076559,0.2061283326729826,-0.1861414608634622,-0.1146114616403045,0.353135151391415,0.1443921069055605,0.0,0.1182650367885154,0.1182650367885154,0.0,0.1371318453374184,0.0,0.2426206703033325,0.0,0.0,0.1292992208044498,0.1094104450811017,0.1228963562654519,-0.1486338413247218,0.1270900257945289,0.0,0.1447514374581275,0.1883759830247601,0.1334591799236551,0.0,0.0,0.0,0.0,0.2481076434179003,0.0,0.0,0.3146871087606418,0.2803122637013852,0.2210857972460484,0.2002124105506899,0.1216561187143562,0.1251750411079459,0.1259039301784629,0.2485857175587641,0.1316827718378221,0.1333447048293525,0.120679282451499,0.1622430593712784,0.192695135885013,0.158979543399323,0.0,0.1711761534456033,0.1512404866292024,0.2050845039225799,0.1367096999335493,0.1370123373440737,0.1295956861657213,0.1543077668633024,0.0,0.0,-0.1200316958712176,0.1465135492515508,0.0,0.0,0.1444086174077845,0.0,-0.123530091747306,0.0,0.1352805313531271,0.1199668808220774,0.0,0.0,0.0,0.115902449616458,0.0,0.0,0.0,0.0,0.0,0.0,0.1267273036591001,0.1302157174332031,0.0,0.0,0.0,0.0,0.0,-0.1693560206689466,-0.1671063092683045,0.0,-0.1230337102758115,-0.2139087290616701,-0.1699112513460603,0.0,-0.1891238438615188,-0.1150599329803844,-0.13402433593711,-0.1557477343593529,-0.1799836415601517,0.4198216049239184,0.3449293392287729,0.1785831851813687,0.3061522174108508,0.2702218162640047,0.0,0.113638959851995,0.0
send IL2,-0.2899418247324084,0.1620299058967201,0.1781579460298271,0.1781579460298271,0.0,0.1377512400348497,0.0,0.1398295630745518,0.0,0.0,0.2153138770861546,0.0,0.0,0.1603910879667314,0.1385531346046865,0.147931525974028,0.1556783225811431,0.1240235887704055,0.0,0.0,0.1644676129561082,0.173972100194094,0.2364408681344821,0.2864622992344965,0.3413739232501308,0.2719329916220558,0.2027937848400191,0.1806208658197128,0.304117863535673,-0.2012770765210058,0.1728161745869475,-0.1496881306459603,-0.2096377909887234,-0.2944707945689737,-0.2709767844958729,-0.2031461617420633,-0.1593152833502364,-0.2331003875047999,0.0,0.1654550560005974,0.0,-0.11964188885357,-0.11964188885357,0.2142061737559704,-0.2534201134246553,-0.0031340284765,0.0,0.1499788000094803,-0.1495933631182394,-0.18674297831399,0.1221771647095385,-0.147158270108612,-0.1467116092181362,0.1412544711941007,0.1221679067312475,-0.1737678263781882,-0.187821821915653,0.1728596650785612,0.1258631985732343,0.1093100936035501,0.1467562268176821,0.1467562268176821,0.1177215017190132,0.1207462971495814,0.1167603428957411,0.1279992296448242,0.1318266620460959,0.1201397483395653,-0.1363520890931532,-0.1088942023169621,0.1097896334113669,0.0,-0.1237345301764888,0.0,-0.1167687005110509,0.1757175050978546,-0.1170664241438231,0.0,-0.1091677889236578,-0.1563140827890132,-0.1198978880449997,0.0,0.0,0.0,0.1470922305857869,0.127534595800641,0.1222525687565001,0.1609451775813378,0.0,0.0,0.1141832260994317,0.0,0.0,0.0,0.0,0.143237450623521,0.1844629714517771,0.1739172489777738,0.0,0.0,0.1263488871832995,0.1137370784288329,0.0,0.0,0.0,0.1148485189652012,-0.1100773139863903,0.1114673184987849,-0.1121152172701649,0.0,0.0,0.1241533028350035,0.0,0.0,0.0,0.0,0.0,0.140890769238989,0.0,0.0,0.0,0.0,0.1643827064290191,0.0,0.0,0.0,0.0,-0.1189300168365265,0.1327890913519098,0.0,0.0,0.0,0.0,0.0,0.0,-0.1083992338024498,0.1300426241381804,0.1443173252237374,0.0,-0.1607829980307297,0.0,-0.1476442845272981,-0.114048143500718,0.0,-0.1292091327718564,-0.132486823006727,-0.1391558874763864,0.1536021833266804,0.1208146844356549,0.1388461877531805,0.0,0.0,0.1488478372493187,0.0,0.0
send TGFb,0.0,-0.109549731546837,0.1378674979513582,0.1378674979513582,0.1377512400348497,0.0,0.0,0.3004236399597163,0.3623695370663499,0.2910744866576868,0.3865864007815047,0.260756331801025,0.1982044130849028,0.328416998451936,0.264373239627735,0.2771013549275628,0.265293149530955,0.0,0.1385261199350916,0.1731371474543736,0.3440081685426956,0.3845736950089649,0.3766461991829529,0.4576970247399541,0.4175248543161456,0.5185431992418287,0.0,0.3569404420509942,0.2036924167829546,-0.1235953980568596,0.2842200556764837,-0.3735642354783386,-0.2275519452664243,-0.3813621294986332,-0.3692380478432843,-0.2435500587257009,-0.1881221670282186,-0.302850398778355,-0.1562942926497574,-0.1545044135868724,-0.2576085493767366,-0.1893379931882152,-0.1893379931882152,-0.2134669032255673,-0.2854345003745737,-0.3138489831181527,-0.3507088017602373,-0.2902025180863539,-0.4001510775744787,-0.2672150344280533,-0.291246120895071,-0.3704531163587043,-0.370674756342947,0.0,-0.159208795285422,0.2550505178148869,0.0,0.0,-0.1087084816278378,-0.305271676141683,-0.2321159640256938,-0.2321159640256938,-0.1936090287890054,-0.2944046026166553,-0.3008130341503141,-0.2057123945630748,-0.1673291208192748,-0.2150952784912004,-0.2972689392865566,-0.2162446894250928,-0.2234624230408736,-0.2217978795547463,-0.2431024543938436,-0.371257638172824,0.0,0.0,0.111890783142529,-0.1347484210320439,-0.1343297644989535,0.1321954409264282,-0.1326541760688412,0.0,-0.1628576953632637,0.0,0.0,0.0,-0.1883475317524033,0.0,0.0,-0.118961585048942,0.0,0.0,0.0,0.0,-0.1650728022666188,-0.1762920161629379,-0.1815082020416956,-0.1706699713602638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1762190751188183,0.0,-0.1155505856771834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1679534704397776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466230275200804,0.0,0.0,0.0,0.0,0.0,0.0,-0.1908311319097852,0.0,0.0,0.0,-0.1872695711414426,-0.1590268830239702,0.0,0.0,-0.1385541689420491,-0.1098530829208683,0.0,0.0,0.0,0.1447093618821877,0.0,0.1916990148378369,-0.1149266850705561,0.0,0.0,0.0,0.1639973459041079
receive SEMA6,0.1552648749604017,0.0,0.0,0.0,0.0,0.0,0.0,0.1354336151322935,0.163404511486454,0.1505054817761851,0.0,0.0,0.188039147498919,0.1560086182303511,0.0,0.1449060582754689,0.0,0.2101684737629058,0.0,0.0,0.1300548667853221,0.1858393341046295,0.0,0.0,0.0,0.0,0.0,0.0,-0.1248616926831325,0.0,-0.1395037121968271,-0.1316836504121714,0.0,-0.1304763969437266,0.0,-0.1177164379799276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1542093181064045,-0.1367120291585377,-0.134076281629425,0.0,-0.1557700137236941,-0.1087691419236601,0.0,-0.2059386499201905,-0.2058511141792698,-0.2045139997823179,-0.1148399079257912,-0.1213971899289247,0.0,0.1597244110013084,0.0,0.1703299628459747,-0.1776590621512835,-0.1531778697958604,-0.1531778697958604,0.0,0.0,0.0,0.0,0.0,-0.1468818297816175,0.0,0.0,0.0,-0.1226708591467017,0.0,-0.116061150116198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1185664542261571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1391618323924956,0.1535765166901103,0.1450551520411964,0.1614579607997831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1085812107460496,0.0,0.0,-0.1230394154017536,0.1770868174325352,0.1547027274977695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1269027585501768,0.1605252927008736,0.0,0.0,0.0,0.0,0.0,0.1280740688251337,0.126059020438215,0.0,0.0,0.0,0.0,0.0,0.0,0.175502729025878,0.0,0.0,0.0,0.1334542511286935,0.0,0.0,0.0,0.0,-0.1763107120008417,-0.1339562471800224,-0.1148514787297154
send CXCL,-0.1417207518130497,0.2495219099324821,0.3031226222066338,0.3031226222066338,0.1398295630745518,0.3004236399597163,0.1354336151322935,0.0,0.2976014527537998,0.2551063098929858,0.3410906602015586,0.1636570064518038,0.2829858247582386,0.3502526128840428,0.2159139264971922,0.3001364166170707,0.2267721022414385,0.2209292285964766,0.1665384842522563,0.1783231357939817,0.2893286543776697,0.2677093682236907,0.2282873267294073,0.4083011106088612,0.3428550379392704,0.3789860102121065,-0.12589191055181,0.3017428564177715,0.2900683902757313,-0.3095323988290413,-0.0257664465922249,-0.2678540249510883,-0.3678631180345453,-0.3670738323595747,-0.2845195811089749,-0.3296249462165488,-0.1945602268690291,-0.2783516744098814,-0.2345611543526627,-0.2089039896330262,-0.2498562030538232,-0.2402778531751792,-0.2402778531751792,-0.2833868050778546,-0.3396703721009645,-0.3375121633177762,-0.247673861525434,-0.1271063500317192,-0.1789893833034258,-0.164368996785591,-0.1742101241910664,-0.2865817681257652,-0.2888597714993259,0.1750483818108421,0.0,0.0,0.0,0.0,0.1607690178488207,-0.1580631608686933,-0.1350466600781551,-0.1303408542636292,-0.1529329590518685,-0.1155428495367714,-0.1827223000427155,-0.1235352525377903,0.0,-0.1326473819384856,-0.1259697058177098,0.0,0.0,-0.1909715657651235,-0.118253030522571,-0.1720802586620847,0.0,0.1207478107346361,0.1554224238278753,0.0,0.0,0.1102106949617038,0.1258012823480788,0.2234987711835283,0.0,0.0,0.0,0.1286921422283611,0.0,0.0,0.0,0.1590808347943918,0.0,0.0,0.0,0.0,0.0,0.0,-0.1128526081070499,-0.1468752052405416,0.0,0.0,0.1480983502068066,0.1638489731755232,0.0,0.0,0.0,0.0,0.1217772115160409,0.1446444085715548,-0.1194795901917538,0.0,0.0,0.0,0.1989592684780433,0.0,0.0,-0.1283164784557378,0.158149574510761,0.1409761370864838,0.0,0.0,0.0,0.1327821033581248,0.0,0.0,0.0,0.0,0.0,-0.1373640998874692,0.0,0.0,0.0,0.0,0.0,0.0,0.1462673648152135,0.0,0.1136021575379052,0.0,-0.1544958985641428,-0.1908614459563063,-0.1779225674505211,0.1474648271778089,0.1474051718498374,0.0,-0.1486050393700236,-0.1219775732537084,-0.1694812493654029,0.2195316353126563,0.1660832378236214,0.1783615770289303,0.0,0.0,-0.1260874716889957,0.0,0.0
send IL1,-0.1224895007443204,0.1724758118564255,0.1976819074538834,0.1976819074538834,0.0,0.3623695370663499,0.163404511486454,0.2976014527537998,0.0,0.3364398491043614,0.3324306738914833,0.2275557397388937,0.3130672476324458,0.3985051339441583,0.3099349643551974,0.2528669739801731,0.2046425347451253,0.2398867189746497,0.2828148728879625,0.2189404871383381,0.3190011306293469,0.3692417031670922,0.0,0.3513642714835371,0.2181873881037787,0.226800672444141,-0.174387989819798,0.2087799234411251,0.1646027594177023,-0.2865940927009416,-0.2432250181229797,-0.2092749026104772,-0.121629880602071,-0.2603428924121565,-0.2199138662508771,-0.2674160814911536,-0.1434545705161199,-0.1407878732034595,-0.1452011029297273,0.0,-0.2445464799482035,-0.1970217646561307,-0.1970217646561307,-0.2630756453046538,-0.2876157391930354,-0.2815319921758821,-0.1844498608862845,-0.2272115543459754,-0.1805643607022666,-0.2416264170255736,-0.1320697069722622,-0.3860447790472417,-0.3861815972796944,0.0,-0.2648133630485389,0.1622547649606222,0.0,0.0,0.1203014347570528,-0.1614534357298764,-0.2165153802487821,-0.2165153802487821,-0.1536286470984759,-0.1849808251255008,-0.1855934579674001,0.0,0.0,-0.1933118466343794,-0.1192499286670848,0.0,-0.197321213603254,-0.1966707122205065,0.0,0.0,0.0,0.0,0.2119728708973514,0.0,0.0,0.0,0.0,0.3441305037614272,0.0,0.0,0.0,-0.1480897368334433,0.0,0.0,0.0,0.0,-0.1098972215925981,0.0,0.0,0.0,-0.1177514705473474,0.0,0.0,0.0,-0.1607995662068446,0.0,0.1909848754286258,0.2535287074676648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125964129635618,0.0,0.0,0.0,-0.1774320331945184,0.0,0.1200625694016853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122496420514695,-0.1636327922786061,-0.124129146874485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1283267686417824,-0.1141314178166869,0.0,0.0,0.0,-0.1398863161444393,0.0,0.0,0.0,0.150517507803106,0.1866775192150634,0.1944858475378333,0.0,-0.162819907966864,-0.2685389309806976,-0.1888738039041774,0.0
send PROS,0.0,0.1487224757658334,0.1804991120959273,0.1804991120959273,0.0,0.2910744866576868,0.1505054817761851,0.2551063098929858,0.3364398491043614,0.0,0.1616928292390332,0.1465409074603871,0.2568401129483942,0.323009574777479,0.1907788595722567,0.1422962003896498,0.144899932580907,0.1819622157633521,0.187948011627172,0.1089257846574011,0.1888768654403351,0.2546215278935792,0.0,0.2184007790291351,0.1971054101956405,0.1627663050786093,-0.1098079337493102,0.134793970104713,0.0,-0.1208220981055042,-0.1834120094796464,-0.2406661879288671,0.0,-0.1937648749072275,-0.1506133858876725,-0.1909389253309864,0.0,0.0,0.0,0.0,-0.1802904795275256,-0.1329618731081486,-0.1237070106705524,-0.1659952894882783,-0.1664383209238598,-0.1470909358881673,-0.2201625305267378,-0.2240359789783837,-0.2091012150819677,-0.2170604821496403,-0.1636195971180771,-0.276086860235042,-0.2748441822409119,0.0,-0.1921265596578031,0.1490027855536075,0.0,0.0,0.1319752386555453,-0.1901786695166299,-0.2362098757440681,-0.2362098757440681,-0.1487176604484815,-0.1951739615658412,-0.136883801043179,0.0,-0.1630763895753702,-0.1529465908243537,-0.1901104860614669,0.0,-0.1389485366479026,-0.1497112477492393,0.1193018614702891,-0.1141309034837601,0.0,0.0,0.1406404033713424,0.0,0.0,0.0,0.0,0.2464017582499156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1251054189925216,0.1633220172334506,0.1213053598975858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138358694411958,0.1085447446193302,0.0,0.0,0.0,0.1520374878047707,0.0,0.0,0.0,0.0,0.0,-0.1148487276416364,-0.1466469866600004,0.0,0.0,0.0,0.0,0.1101582930492204,0.0,0.0,0.0,0.0,0.0,-0.1589939822570304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137748026246586,0.1655143414700983,0.1238451982976335,0.0,-0.1142692663125737,-0.1909593858583466,-0.1409963143850541,0.0
