Pathway 1,receive CD52,send COMPLEMENT,receive VCAM,send ANNEXIN,send LAIR1,send PARs,receive NCAM,send NCAM,receive CD34,send SELPLG,send VISTA,receive SELPLG,send SELL,receive IL6,receive CSF,send PSAP,send VCAM,receive MK,send ANGPT,receive PARs,send GALECTIN,send MHC-I,receive SELL,send CD34,send MHC-II,send TGFb
receive CD52,0.0,2.741977069189359,2.5991833399231576,2.470727460763071,2.582107826318912,2.7521174676944664,2.646662927970368,2.743691953694352,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0288193758896904,-2.214153652209512,-2.109888833628145,-0.0,-1.9994512579219488,-1.9947056985200788,-2.61067062382406,-2.6232673689336448,-2.198721546144514,-2.447908232760701
send COMPLEMENT,2.741977069189359,0.0,2.796787883606594,2.6115042454539013,2.538079684400632,2.909363375124728,2.4706413621516496,2.659421986062625,-0.0,-0.0,2.820445321641353,-0.0,-0.0,-0.0,-0.0,-0.0,-2.000652299314331,-2.302783586792109,-2.5363564887040786,-2.0528356020324794,-2.3167709413796387,-2.310064855182719,-2.8396209840440227,-2.875131133979173,-2.704123212323502,-2.4702460961760035
receive VCAM,2.5991833399231576,2.796787883606594,0.0,2.7294847662842066,2.926561525296699,3.0195658262107923,2.978934989236492,3.027174307674316,-2.119760170843956,-2.701165157130621,0.0,-2.105184470877897,-0.0,-2.0333932230536567,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.9461086335164737,-2.95259983564234,-2.7184995439924227,-2.523796396824144
send ANNEXIN,2.470727460763071,2.6115042454539013,2.7294847662842066,0.0,2.4020419239142465,2.9998375811095106,2.565845252262948,2.671916950817504,-2.0991490379552,-0.0,2.277986703066454,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.6139152976263658,-2.606528232715853,-2.206969161659436,-2.172338795946608
send LAIR1,2.582107826318912,2.538079684400632,2.926561525296699,2.4020419239142465,0.0,2.3854458101381564,2.487218877921506,2.568962464097498,-2.04313318833442,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.6757560616452394,-2.7398992857551665,-2.1014643165261395,-2.2565364147780524
send PARs,2.7521174676944664,2.909363375124728,3.0195658262107923,2.9998375811095106,2.3854458101381564,0.0,2.577905069925543,2.8048297984872703,-2.1221374118461824,-2.2501010460838096,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.4689462267698783,-0.0,-2.1558801120807303,-0.0,-0.0,-0.0,-2.582186866317183,-2.5700699897917656,-2.8709080221107164,-2.7875106530066494
receive NCAM,2.646662927970368,2.4706413621516496,2.978934989236492,2.565845252262948,2.487218877921506,2.577905069925543,0.0,0.0,-2.070339033265709,-2.4530106985278444,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9667346620096584,-0.0,-0.0,-0.0,-0.0,-0.0,-2.8360248323794286,-2.8621379771867805,-2.6320970037012885,-2.335139531492404
send NCAM,2.743691953694352,2.659421986062625,3.027174307674316,2.671916950817504,2.568962464097498,2.8048297984872703,0.0,0.0,-2.180508931850464,-2.524839840421752,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.188947713101494,-2.0500950296785923,-0.0,-0.0,-0.0,-0.0,-2.8638094926984494,-2.849579805321046,-2.922443127333933,-2.536791374041526
receive CD34,-0.0,-0.0,-2.119760170843956,-2.0991490379552,-2.04313318833442,-2.1221374118461824,-2.070339033265709,-2.180508931850464,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6070323890438,2.605674954754486,2.3267698220133344,2.3520357653074675
send SELPLG,-0.0,-0.0,-2.701165157130621,-0.0,-0.0,-2.2501010460838096,-2.4530106985278444,-2.524839840421752,0.0,0.0,-0.0,2.908502008425818,2.8494799478701407,2.916472495693917,2.8819441442549216,2.9548843590308547,0.0,0.0,0.0,0.0,0.0,0.0,2.46547494745112,2.450054010304395,2.3349063535747785,2.4226741288005265
send VISTA,0.0,2.820445321641353,0.0,2.277986703066454,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-2.4118870900958926,-2.3523852947277875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
receive SELPLG,-0.0,-0.0,-2.105184470877897,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.908502008425818,0.0,0.0,0.0,2.5928391800251887,2.8387259906966134,3.018178903058403,0.0,-0.0,0.0,0.0,-0.0,0.0,2.5243109609511345,2.5154243718398703,2.0825842781359856,0.0
send SELL,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.8494799478701407,0.0,0.0,0.0,2.5504527578564105,2.954463917946032,3.0584565671319512,0.0,-0.0,-0.0,0.0,-0.0,-0.0,2.1149901958206225,2.161146158578129,0.0,0.0
receive IL6,-0.0,-0.0,-2.0333932230536567,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.916472495693917,0.0,2.5928391800251887,2.5504527578564105,0.0,2.9896354866714883,2.770327009696608,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
receive CSF,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.8819441442549216,0.0,2.8387259906966134,2.954463917946032,2.9896354866714883,0.0,2.7583324478081668,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
send PSAP,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.9548843590308547,0.0,3.018178903058403,3.0584565671319512,2.770327009696608,2.7583324478081668,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
send VCAM,-2.0288193758896904,-2.000652299314331,-0.0,-0.0,-0.0,-2.4689462267698783,-1.9667346620096584,-2.188947713101494,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022407298924825,0.0,0.0,2.060445209723179,0.0,0.0,2.5086382414414565,2.195970470282784
receive MK,-2.214153652209512,-2.302783586792109,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0500950296785923,0.0,0.0,-2.4118870900958926,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,2.5535018306180253,2.331419033840566,2.2719600230541435,2.0959589898224387,2.079509764648596,2.078068252810839,0.0,0.0
send ANGPT,-2.109888833628145,-2.5363564887040786,-0.0,-0.0,-0.0,-2.1558801120807303,-0.0,-0.0,0.0,0.0,-2.3523852947277875,0.0,-0.0,-0.0,-0.0,-0.0,2.022407298924825,2.5535018306180253,0.0,2.398357647090284,2.745827874480273,2.5356544439254,2.254090382889179,2.229338436110492,2.423829722829566,2.1028429159148017
