Pathway 1,send APP,send ANNEXIN,send VISTA,receive ICAM,send ITGAL-ITGB2,receive CD52,receive CEACAM,receive VCAM,send SEMA4,receive NCAM,send BAFF,send LAIR1,receive CD23,receive THY1,send GRN,receive COMPLEMENT,send NCAM,send PARs,receive CLEC,receive IFN-II,send SELL,send CD52,send COMPLEMENT,send MHC-II,send ANGPT,send MHC-I,receive CD39,receive CD34,send JAM,receive ESAM,send ESAM,receive KIT,receive PARs,send GALECTIN,receive PTN,receive MK,send VCAM,receive SEMA7,send EPHB,send LIFR,send PSAP,send MK,receive NPR2,send PROS,receive BMP,receive BSP,receive DMP1,receive NRG,receive CD200,send ICAM,receive BAFF,send LCK,receive LAMININ,receive TGFb,receive VTN,receive ANGPT,send FLT3,receive CSF,send MIF,receive TENASCIN,receive IGF,receive VWF,send BST2,receive WNT,receive ncWNT,send BMP,send PDGF,receive FGF,send TWEAK,receive JAM,receive SEMA4,send GAS,receive SLURP,send SEMA7,receive CDH,send CDH,send COLLAGEN,send IL7,receive APP,receive MIF
send APP,0.0,3.15810515770874,3.2883278191842966,2.08566978057277,0.0,2.3998466955808784,2.35888823806531,2.2090295295753792,2.422082260844969,1.995680612065036,0.0,2.1485262705283663,2.107810515494401,2.245771814660725,2.726456769787518,2.239392529837239,2.323161425699161,2.1992667500223866,2.0855429776547,2.252814282911212,2.33661257948094,2.59070249273403,3.149142214577956,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2107859051039567,-2.529135036921492,-3.091352393964654,-2.00482386764366,-2.612927492897726,-2.336798702173453,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
send ANNEXIN,3.15810515770874,0.0,3.272032467583842,2.643950722643805,2.116812542629157,2.8047531512283967,2.7388065735424183,2.7338328904297047,2.464314126769984,2.165056285450431,2.2076060502316306,2.551580207476332,2.118273755665665,2.294477195566129,2.6610651727408494,2.7652184282139807,2.5771434697462587,2.285890956312406,0.0,2.23099122245876,2.65402706411055,3.207969435402612,3.3118402882290123,-0.0,-2.043036627369574,-1.9786413045622,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.773730850412272,-2.634687933615535,-2.835764025069736,-3.111896055158166,-2.175337715442043,-2.139699614585852,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
send VISTA,3.2883278191842966,3.272032467583842,0.0,2.735282222920867,2.3704892977262806,2.7303223462673816,2.685751645245915,2.5835401345887927,2.7030287720409243,1.974862029463648,2.064492887634984,1.9868915175831727,2.113012092439719,2.15528875028814,2.8692079366679057,2.575553897130677,2.496021661870373,2.37236092993876,2.251151436422157,2.3007433986623003,2.8661988222003907,3.523149933235961,3.6658583788856736,-2.203268158721263,-2.719222619615456,-2.633181608683423,-0.0,-0.0,-0.0,-0.0,-0.0,-2.785145786769344,-3.09179189339061,-3.2625727842296413,-2.7030193242978053,-3.2360708109921275,-2.443767891624887,-2.189161497888725,-1.9684264037424068,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
receive ICAM,2.08566978057277,2.643950722643805,2.735282222920867,0.0,0.0,2.193571715125665,2.549547440332087,2.0598875485124144,2.574499156279678,0.0,2.028948467390685,0.0,0.0,0.0,2.1119458326100475,0.0,0.0,0.0,0.0,0.0,2.2709707703806896,3.2651945032582166,3.105255860470328,-1.9754173687131749,-2.295613492977864,-2.3732275670628726,-0.0,-2.227900001594003,-1.9697506773329627,-2.0412711186283,-2.0310668032091868,-2.31253854131152,-2.1831891870182183,-0.0,-2.4289475344474027,-2.4751694225825407,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-2.245793651980466,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
send ITGAL-ITGB2,0.0,2.116812542629157,2.3704892977262806,0.0,0.0,0.0,2.0913393802784133,0.0,2.214127050716965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2247707657046423,2.986169239638226,2.6452063911880668,-0.0,-2.150224065468977,-2.2877161293490738,-0.0,-2.0344723364677115,-0.0,-2.066297956588993,-2.062959120668823,-2.2398527510415,-0.0,-0.0,-0.0,-2.0328838596477925,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-2.055031623937459,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
receive CD52,2.3998466955808784,2.8047531512283967,2.7303223462673816,2.193571715125665,0.0,0.0,1.999991232059641,2.6582479592210126,2.2749027375991373,0.0,0.0,2.3172803285327936,0.0,0.0,0.0,0.0,2.02641967148513,2.913009975524428,0.0,2.447084460944424,2.561946413551437,2.9034876003092087,2.9509123209619705,-0.0,-2.3572376063233937,-2.4651004256066247,-0.0,-2.0481807311529545,-0.0,-0.0,-0.0,-0.0,-2.770496048737624,-2.001662739415744,-0.0,-2.444867485686194,-0.0,-2.275388802381789,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
receive CEACAM,2.35888823806531,2.7388065735424183,2.685751645245915,2.549547440332087,2.0913393802784133,1.999991232059641,0.0,2.525916819183432,2.42781897798886,0.0,2.1179314305590786,0.0,0.0,0.0,1.987824753777232,2.338012304636329,2.359793565239701,0.0,0.0,0.0,0.0,2.5887323000668507,3.0279482141076475,-2.014995371717773,-2.1122601568175186,-2.137725869799194,-0.0,-0.0,-0.0,-0.0,-0.0,-2.080100560706002,-2.1609988035970567,-2.102325259224498,-2.315333733640053,-2.3536842413741432,-2.051082408545157,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-1.9688199053398925,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
receive VCAM,2.2090295295753792,2.7338328904297047,2.5835401345887927,2.0598875485124144,0.0,2.6582479592210126,2.525916819183432,0.0,2.457912752228113,2.046440140863965,0.0,2.238356181427476,0.0,0.0,0.0,2.2682911251126057,2.624173611436902,2.244809481763532,0.0,0.0,0.0,2.367008200729389,3.094639518169472,-2.3946253783330897,-2.4047307618511207,-2.3948757416471547,-0.0,-2.2369619232515845,-0.0,-0.0,-0.0,-2.014593249565677,-2.4895196786668703,-0.0,-2.0582331276107726,-2.24298587561058,-2.129457719333658,-2.1437617798380995,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-2.0499054030897947,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
send SEMA4,2.422082260844969,2.464314126769984,2.7030287720409243,2.574499156279678,2.214127050716965,2.2749027375991373,2.42781897798886,2.457912752228113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.103933703230868,2.109951493322664,1.9744550147914808,0.0,2.039466618812365,2.167397039184373,2.9310080555376934,3.084786324958941,-2.287506188957771,-2.567988901408864,-2.587068847207622,-0.0,-2.108225708236328,-0.0,-0.0,-0.0,-2.355574168769132,-2.410706168649568,-0.0,-2.21957820473188,-2.483019666589544,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
receive NCAM,1.995680612065036,2.165056285450431,1.974862029463648,0.0,0.0,0.0,0.0,2.046440140863965,0.0,0.0,0.0,0.0,2.2596432608463424,2.235355114327372,2.1649152594282906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.084406404618461,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-2.2116120391420586,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
