Pathway 1,receive PTN,receive AGT,send MIF,receive SELL,send CD34,send LIGHT,receive CD39,send GRN,send FGF,send PSAP,send MHC-I,send ANGPT,send IL16,receive BAFF,send MHC-II,send CD52,send ANNEXIN,receive CD22,send CD45,receive PARs,send SELPLG,send TGFb,receive CD34,receive SELPLG,receive ITGAL-ITGB2,receive PDGF,send SELL,receive CD200,send ICAM,receive GALECTIN,receive SEMA4,receive TENASCIN,receive VWF,receive ESAM,send ESAM,receive JAM,receive VTN,send JAM,receive LAMININ,send APP
receive PTN,0.0,2.130936042756494,2.780560508882809,-2.9050638401128963,-2.9419154027931533,-0.0,-2.1440557933765096,-2.4831963742669845,-2.684768281020363,-2.587418830413862,-3.196515489536864,-2.8488757800391733,-3.2256168031011376,-3.124254359429461,-3.117164275303775,-2.434280529470517,-2.946650623839659,-2.8909782951914065,-2.94921769025798,-2.697720459168199,-2.621475146853871,-2.652099567752394,-0.0,-0.0,-2.179075740222855,-2.4260508220177086,-0.0,-0.0,-0.0,-2.1336462488763184,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
receive AGT,2.130936042756494,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.515647178360984,-2.119665675098226,-2.1438262508546173,-2.2432976395031647,-2.6034602526111463,-0.0,-0.0,-2.2368647963050137,-2.2951803363174026,-2.514566106136506,-2.1765505260410123,-2.627877415476969,-0.0,-0.0,-2.159529319609838,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
send MIF,2.780560508882809,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.3835828027521497,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9872186629886817,-1.967658379242545,-1.983811505513684,-2.016452505144551,-0.0,-0.0,0.0,-0.0,-0.0,-2.0018805318523505,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
receive SELL,-2.9050638401128963,-0.0,-0.0,0.0,0.0,2.8210194373611484,2.803630346552316,3.098653654865377,3.0204161071514912,3.017310897932881,2.89214450338909,3.24367942852612,3.443387507107522,3.5155916009042603,3.4470193631451687,3.363739861741338,3.087014782826489,2.988416136495111,3.023603608677311,2.2130247387326536,2.631974055370356,2.384260439473283,2.6688230637536305,3.1104062574009643,0.0,0.0,2.7416876494081395,2.560511457401814,2.3084955690925035,2.465940699771818,2.1719376214961663,0.0,0.0,2.336286084915708,2.3483612881251426,2.399412325419548,2.0970056105146604,2.096858941587969,2.0111124775943447,2.025935646914278
send CD34,-2.9419154027931533,-0.0,-0.0,0.0,0.0,2.8103873943198487,2.8467262696352726,3.211127820504357,3.037907956723959,2.993558324324831,2.981599248701029,3.3113166795551034,3.499318015467736,3.61878920591586,3.456548987723416,3.4086103850124623,3.1231914237876444,3.057569007628492,2.994009141536745,2.2958112384781795,2.7319525127258824,2.49953728794824,2.6448252757685142,3.121723126469348,0.0,0.0,2.739883185466056,2.5653182524473794,2.3296995247497687,2.4654022587368782,2.248803152293044,0.0,0.0,2.345126878155966,2.3415624547821645,2.4042533762148453,2.084994092779277,2.082073684361569,2.0286069667838698,2.011975013885157
send LIGHT,-0.0,-0.0,-0.0,2.8210194373611484,2.8103873943198487,0.0,2.4097903784744625,2.6785789385417806,2.510420762287764,2.500920689699756,2.119584696751654,2.6117108947812406,2.5346377530531425,2.8382135580919785,2.6029787465277274,2.5626667359292545,2.05412982943096,2.0374770375075406,2.060759995381131,0.0,0.0,1.999341305882829,2.5048620474419567,2.6945664997422862,0.0,0.0,2.156964231093176,0.0,0.0,0.0,2.125161898361408,0.0,1.9870839233827724,2.3350100174620563,2.3238342642005856,2.054396381745621,2.124675576812924,0.0,0.0,2.0769991827786503
receive CD39,-2.1440557933765096,-0.0,-0.0,2.803630346552316,2.8467262696352726,2.4097903784744625,0.0,2.730236294125567,2.5166327945028946,2.687581695418404,2.457111766989005,2.918262909717692,2.7489378930644848,2.8620281424020098,2.739225245795708,2.222344002695492,2.375600259843358,2.494514945088956,2.5055552155883887,2.308199355803493,0.0,2.1633087561221824,2.509775637796548,2.531778593322933,0.0,0.0,1.9817161112933144,0.0,0.0,2.018775875556959,0.0,0.0,0.0,2.537588070389009,2.521820046737407,2.1119693253245355,2.0603525306186192,2.07683509727432,1.980305681352148,1.983919669101927
send GRN,-2.4831963742669845,-0.0,-0.0,3.098653654865377,3.211127820504357,2.6785789385417806,2.730236294125567,0.0,2.813383928823705,2.84723357050462,2.783599585141756,3.1096704360393765,2.9749686136601023,3.0472121582832554,3.074252069866562,2.729493007041103,2.6303693436201723,2.5406309443051454,2.557228731454192,2.409027739805849,2.1897303470707024,2.528480602798889,2.554230167621737,2.777084185967252,0.0,0.0,2.161730772542949,0.0,0.0,2.1105584210534336,2.059400201492596,0.0,2.08638608039372,2.3020912445917814,2.290972857709648,2.402482129739294,2.376304997585922,2.1449679769782986,2.0585318106122186,2.072289561098294
send FGF,-2.684768281020363,-0.0,-0.0,3.0204161071514912,3.037907956723959,2.510420762287764,2.5166327945028946,2.813383928823705,0.0,2.60775632119996,3.012259249814858,3.147587648933369,2.848030678225848,3.015097869948693,3.055399489453434,2.477960420010445,2.504094209207159,2.552757255548169,2.5733856491529385,2.811409736550718,2.205921831569329,2.925807429369884,0.0,2.1166312476700906,0.0,0.0,0.0,2.069277652139478,0.0,2.001924675895583,0.0,0.0,0.0,2.136041268979826,2.150773148522409,2.182969158407788,2.066040899231326,0.0,0.0,0.0
send PSAP,-2.587418830413862,-0.0,-0.0,3.017310897932881,2.993558324324831,2.500920689699756,2.687581695418404,2.84723357050462,2.60775632119996,0.0,2.811087879171881,2.894886867025105,3.0033471737600346,3.1548667660730763,3.146276026380093,2.793704519755258,2.6882497337759816,2.505461456610928,2.485481167722479,2.1349348048131453,2.090267849851811,2.164229567562418,2.3350298577182063,2.604046760899814,0.0,0.0,2.149626994598224,2.038895803342516,0.0,2.085237193729274,2.0441304959604745,0.0,0.0,2.332828551750609,2.321716537548318,2.248557649044076,1.97695307483326,2.101903335802202,0.0,0.0
send MHC-I,-3.196515489536864,-2.515647178360984,-2.3835828027521497,2.89214450338909,2.981599248701029,2.119584696751654,2.457111766989005,2.783599585141756,3.012259249814858,2.811087879171881,0.0,3.332107975182341,3.2566278490952207,3.348119510851329,3.6016685631991727,2.4113980021814103,3.027007965959505,3.062154809364194,3.060990724014096,3.480580396755561,2.551343969876615,3.225301894457483,0.0,1.9689375880765825,2.584983974954555,2.0507506723362785,0.0,0.0,1.9743186961813333,2.23612313284231,0.0,0.0,0.0,2.222278252610983,2.203706870623912,2.5204233939305305,1.9872101872968728,2.1622494588988173,1.965587717090996,0.0
send ANGPT,-2.8488757800391733,-2.119665675098226,-0.0,3.24367942852612,3.3113166795551034,2.6117108947812406,2.918262909717692,3.1096704360393765,3.147587648933369,2.894886867025105,3.332107975182341,0.0,3.192703264808049,3.5260124992386825,3.4608842420250454,2.581541611911329,2.802957072472617,2.891519889556456,2.9035686266076777,3.176576332505727,2.1447722052450606,3.102484856212571,2.5549518255155004,2.583955869474578,1.9998226149444536,0.0,0.0,1.986968001358746,1.9691387760167527,2.268146674862024,2.14286905940331,2.014511324171204,2.423780967842226,2.518898962935903,2.545406467699384,2.542768652494745,2.4064294303358573,2.3732718287819963,2.4284508940945178,2.152631013816692
send IL16,-3.2256168031011376,-2.1438262508546173,-0.0,3.443387507107522,3.499318015467736,2.5346377530531425,2.7489378930644848,2.9749686136601023,2.848030678225848,3.0033471737600346,3.2566278490952207,3.192703264808049,0.0,3.533064454605923,3.7713141093383897,2.926778984352039,3.122621790922603,3.095765674006349,3.098065407755338,2.6594137409937546,2.7220817368455963,2.685162200362308,2.231194432804781,2.52912959408151,2.181145846853246,2.133278425405385,2.254877848143825,2.177551090032544,2.2507764519380715,2.387697177138892,2.0758853735988487,0.0,0.0,2.120764323360348,2.1504255782960264,2.362537600842682,0.0,0.0,0.0,0.0
receive BAFF,-3.124254359429461,-2.2432976395031647,-0.0,3.5155916009042603,3.61878920591586,2.8382135580919785,2.8620281424020098,3.0472121582832554,3.015097869948693,3.1548667660730763,3.348119510851329,3.5260124992386825,3.533064454605923,0.0,3.523084485605416,3.110151500598835,3.2076896886913,3.1625688851087337,3.1764227029664136,2.7933926640836497,2.570735812427608,2.802501369680312,2.4893203211134245,2.85039729301176,2.092132866418712,2.133768932869873,2.305759482327093,2.4017151784967954,2.279796672992013,2.493900673218635,2.216803444327888,0.0,0.0,2.499947008310933,2.4785542955911355,2.418146025070984,2.128353259874694,2.1551558466989507,2.1646998800745805,2.1261187853677024
send MHC-II,-3.117164275303775,-2.6034602526111463,-0.0,3.4470193631451687,3.456548987723416,2.6029787465277274,2.739225245795708,3.074252069866562,3.055399489453434,3.146276026380093,3.6016685631991727,3.4608842420250454,3.7713141093383897,3.523084485605416,0.0,2.952678899944729,3.350119942139665,3.1490096587166483,3.13979378620693,2.9493186164320413,2.9780116430656087,3.066864641645436,2.3368567472153354,2.5812492402377734,2.642377413742653,2.1981008183314463,2.18043712872329,2.163875205199774,2.319084333525224,2.417409221695226,2.3370966749096374,0.0,0.0,2.1363425108333787,2.16873980604454,2.4753634142127936,0.0,2.080892024392428,2.0302471303580374,0.0
send CD52,-2.434280529470517,-0.0,-0.0,3.363739861741338,3.4086103850124623,2.5626667359292545,2.222344002695492,2.729493007041103,2.477960420010445,2.793704519755258,2.4113980021814103,2.581541611911329,2.926778984352039,3.110151500598835,2.952678899944729,0.0,2.711067326210175,2.597047897396018,2.5540614288439656,0.0,2.4707464434504254,2.0281229710510504,2.237787135581228,2.6934139287769665,0.0,0.0,2.593652614761549,2.340908871462304,2.124042594152697,2.0410427015589776,2.1054642561950003,0.0,0.0,0.0,0.0,2.025980671876483,0.0,0.0,0.0,0.0
send ANNEXIN,-2.946650623839659,-0.0,-1.9872186629886817,3.087014782826489,3.1231914237876444,2.05412982943096,2.375600259843358,2.6303693436201723,2.504094209207159,2.6882497337759816,3.027007965959505,2.802957072472617,3.122621790922603,3.2076896886913,3.350119942139665,2.711067326210175,0.0,2.9996791314327136,3.0415731650006084,2.0844767666875708,2.770823471458806,2.2822120103205883,1.979139243523775,2.3217077595483686,2.1744669725024046,2.36539028893832,2.245423846860436,2.3484733613527635,2.1258967158575524,2.328227067691364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive CD22,-2.8909782951914065,-2.2368647963050137,-1.967658379242545,2.988416136495111,3.057569007628492,2.0374770375075406,2.494514945088956,2.5406309443051454,2.552757255548169,2.505461456610928,3.062154809364194,2.891519889556456,3.095765674006349,3.1625688851087337,3.1490096587166483,2.597047897396018,2.9996791314327136,0.0,0.0,2.389025318830238,2.5474694835903287,2.448258773417701,2.0305915134849304,2.3772055478799987,2.066553684662866,2.058499748008378,2.041649759845287,2.003040320506225,2.0488737981044545,0.0,0.0,0.0,0.0,0.0,0.0,2.107591079281269,0.0,0.0,0.0,0.0
send CD45,-2.94921769025798,-2.2951803363174026,-1.983811505513684,3.023603608677311,2.994009141536745,2.060759995381131,2.5055552155883887,2.557228731454192,2.5733856491529385,2.485481167722479,3.060990724014096,2.9035686266076777,3.098065407755338,3.1764227029664136,3.13979378620693,2.5540614288439656,3.0415731650006084,0.0,0.0,2.398520147103785,2.5285181793805087,2.4429802567897965,2.018874087128112,2.374804895070441,2.0873937754094056,2.0526702915808053,2.0370855474101286,2.013130331128116,2.054586459270632,0.0,0.0,0.0,0.0,0.0,0.0,2.08149766499103,0.0,0.0,0.0,0.0
receive PARs,-2.697720459168199,-2.514566106136506,-2.016452505144551,2.2130247387326536,2.2958112384781795,0.0,2.308199355803493,2.409027739805849,2.811409736550718,2.1349348048131453,3.480580396755561,3.176576332505727,2.6594137409937546,2.7933926640836497,2.9493186164320413,0.0,2.0844767666875708,2.389025318830238,2.398520147103785,0.0,0.0,3.662909641860032,0.0,0.0,2.210590168124589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2593732615160134,1.9992766515417424,1.999116576847244,2.132102123862215,2.133386223419531,1.9772447586303945,0.0,0.0
send SELPLG,-2.621475146853871,-2.1765505260410123,-0.0,2.631974055370356,2.7319525127258824,0.0,0.0,2.1897303470707024,2.205921831569329,2.090267849851811,2.551343969876615,2.1447722052450606,2.7220817368455963,2.570735812427608,2.9780116430656087,2.4707464434504254,2.770823471458806,2.5474694835903287,2.5285181793805087,0.0,0.0,1.997618014860272,0.0,0.0,2.458526309799036,2.459653603883573,2.0321395442950885,0.0,2.2026965628146846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send TGFb,-2.652099567752394,-2.627877415476969,-0.0,2.384260439473283,2.49953728794824,1.999341305882829,2.1633087561221824,2.528480602798889,2.925807429369884,2.164229567562418,3.225301894457483,3.102484856212571,2.685162200362308,2.802501369680312,3.066864641645436,2.0281229710510504,2.2822120103205883,2.448258773417701,2.4429802567897965,3.662909641860032,1.997618014860272,0.0,0.0,0.0,2.2738356400504385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.006994182200535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive CD34,-0.0,-0.0,0.0,2.6688230637536305,2.6448252757685142,2.5048620474419567,2.509775637796548,2.554230167621737,0.0,2.3350298577182063,0.0,2.5549518255155004,2.231194432804781,2.4893203211134245,2.3368567472153354,2.237787135581228,1.979139243523775,2.0305915134849304,2.018874087128112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11366967686285,0.0,0.0,0.0,0.0,1.9689490977185988,0.0,2.388413044266132,2.3769907856411834,2.0706304489643363,2.071796038562352,2.083314744595993,2.0249642395388894,2.252346692533392
receive SELPLG,-0.0,-0.0,-0.0,3.1104062574009643,3.121723126469348,2.6945664997422862,2.531778593322933,2.777084185967252,2.1166312476700906,2.604046760899814,1.9689375880765825,2.583955869474578,2.52912959408151,2.85039729301176,2.5812492402377734,2.6934139287769665,2.3217077595483686,2.3772055478799987,2.374804895070441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.196132844832211,0.0,2.059376281014609,2.082486044930388,0.0,0.0,2.3024484014044364,2.276138505583549,2.22753173457791,2.044597905705209,2.126022195923964,1.9632677924757465,2.223316350506882
receive ITGAL-ITGB2,-2.179075740222855,-2.159529319609838,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.584983974954555,1.9998226149444536,2.181145846853246,2.092132866418712,2.642377413742653,0.0,2.1744669725024046,2.066553684662866,2.0873937754094056,2.210590168124589,2.458526309799036,2.2738356400504385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
