Pathway 1,receive PARs,send TGFb,send SELPLG,send SELL,send MHC-I,receive GALECTIN,receive CD22,send CD45,send ANGPT,send FGF,receive CD34,receive SELPLG,receive SEMA4,send LIGHT,receive CD39,send GRN,send PSAP,send JAM,send APP,receive ESAM,send ESAM,receive SELL,send CD34,send CD52,send ANNEXIN,send MHC-II,receive BAFF,send IL16,receive ANGPTL,send IL1,send PDGF,send VCAM,send CXCL,send GP1BA,send BST2,send SEMA6,receive NOTCH,receive EPHB,receive EPHA,send OSM,send NOTCH,send EPHB,send FLT3,receive SEMA5,receive NCAM,receive GRN,receive TWEAK,send MK,receive ncWNT,send NKG2D,send VISFATIN,send APELIN,send CD46,send IL6,receive ENHO,send THBS,send CD1D2,send CD86,receive NPR2,receive FGF,receive SLURP,receive COLLAGEN,receive NRG,receive SPP1,send GDF,receive CEACAM,send BMP,send PTN,receive VEGF,send PROS,receive ANGPT,send LIFR,receive IGF,send SEMA4,send CCL,send ICAM,receive TGFb,receive PDGF,receive ITGAL-ITGB2,receive ICAM,send ITGAL-ITGB2,send CLEC,receive ADIPONECTIN,receive KIT,receive JAM,receive THBS,receive VTN,receive TENASCIN,receive VWF,receive FN1,receive LAMININ,send ICOS,send IL2,send TWEAK,send PARs,send VISTA,receive SEMA3,receive CCL,receive CXCL,receive IL6,send SPP1,receive DMP1,receive BSP,receive PERIOSTIN,receive CD23,receive THY1,send LAIR1,receive COMPLEMENT,send CD39,receive APP,send LCK,receive ACTIVIN,receive GDF,send CSF,send COLLAGEN,send TNF,send GAS,send IL7,send WNT,receive PECAM1,send PECAM1,receive CD52,send THY1,receive MIF,receive CD200,send LAMININ,receive CLEC,receive IL1,receive PTN,receive SEMA7,send GALECTIN,receive IFN-II,send ANGPTL,receive MK,receive VISFATIN,receive SELE,receive SEMA6,receive WNT,send AGRN,receive AGT,send MIF,send VEGF
receive PARs,0.0,0.869441833563424,0.3274216393831171,0.0,0.8065793245715072,0.4036341811504613,0.5635554467230631,0.5635554467230631,0.7492503257276287,0.6700924809580588,0.3005061293924052,0.2383648418091948,0.3928409296037911,0.4132615527854566,0.5302356038054954,0.5431852819315106,0.4900983619339539,0.453753044534619,0.3684781415294637,0.4323956958766938,0.4323956958766938,0.4924524537195359,0.5063136821909443,0.3605463000619748,0.4598968839495791,0.660233943908456,0.6363301707160409,0.6066416159779182,0.1301930271639173,0.5274724657687492,0.3368214628753277,0.3212591789319839,0.4972038239550929,0.2045923413929734,0.0,0.2109629510186954,0.1890311718442917,0.2422482658531254,0.1351845902958758,0.1632142445391054,0.0,0.3220414969348398,0.2390097452476626,-0.1314782229980231,0.0,0.0,0.0,-0.1354741526465201,-0.1725505997897792,0.0,0.0,0.0,0.0,0.0,0.0,0.1622321753107563,0.1208615738436616,0.1284445446663437,0.1224064706568968,0.0,0.0,0.0,0.1814838838625447,0.1956892926686162,0.1339555133919504,0.2795061854652352,0.1437901373701812,0.2331650575243924,0.2857906592851047,0.3381174218560822,0.4583952851823291,0.5073711497792786,0.5275149855034712,0.3809577465991618,0.3740949262182766,0.3510255551737506,0.1964442407638258,0.3187856249779511,0.4913484242860425,0.3644221924519083,0.3347052954087261,0.1862341342140235,0.3238131539664989,0.2922808751831884,0.501230710579131,0.4174868832023386,0.4940418910768632,0.3332952539374663,0.4974808335468311,0.5786266386275956,0.488690546785249,0.0,0.3279497039208414,0.3256450277111255,0.0,0.1399512474558605,0.0,0.2526800201320539,0.233136867188713,0.1662515481267909,0.0,0.1972541975154123,0.1816385430404638,0.1654871105180346,0.2312579177345568,0.2238261627165257,0.0,0.1401079365186385,0.0,0.1322094371861964,0.1285429932164117,0.0,0.0,0.0,0.1809853516023853,0.1929472324483041,0.0,0.1278983179797367,0.0,0.0,0.0,0.0,0.0,0.1717383560315874,0.1904874099797418,0.2132808436299391,-0.1328839988159643,-0.2464612769056361,-0.6373672731081668,0.3878413740188375,0.0,-0.2739465672587453,-0.3326951470741171,-0.2174740192813953,0.0,-0.2226499585162101,-0.2368790754072914,-0.2993785525255747,-0.1490912603976699,-0.6009599841800787,-0.5103007266032366,-0.3876221553128786
send TGFb,0.869441833563424,0.0,0.417938825862292,0.1318984264745321,0.7191665140088777,0.3530035588273391,0.5319762076702124,0.5319762076702124,0.7027124268528027,0.6998743060691011,0.3093377951749051,0.2749605246518502,0.4099324741085697,0.4257994481711294,0.4852705572120115,0.5482077984068013,0.4788068157851449,0.3395132509109647,0.3450683965172789,0.3637464884340897,0.3637464884340897,0.5177302726469482,0.5321172891127435,0.4313013233664954,0.4550388666485444,0.6562817022726868,0.6066156480205867,0.606148158335524,-0.1530069878539198,0.4978448919473506,0.3192175949223803,0.3347506889044332,0.4319398933675722,0.1842082771606044,0.0,0.1807316965368456,0.1227467624502687,0.2047743197319434,0.1373604810259268,0.1849768080407978,0.0,0.2057314521143878,0.1995679041931665,-0.1599019387632859,0.0,0.1380517146393874,0.0,-0.1383035202682062,-0.2051736617388388,0.0,0.0,0.0,0.0,0.0,0.1538485821822582,0.2059964711377084,0.0,0.0,0.0,0.0,0.0,-0.1652331166168742,0.0,0.1447483155957394,0.1934808588466536,0.2886095248666165,0.1512987854365742,0.2351401052958548,0.3100637245905134,0.3450984819269598,0.4445978068336614,0.4442132738671399,0.4573670565881064,0.423467497694324,0.3671584824622391,0.3723615750944424,0.0,0.3463880077424649,0.5149977754240442,0.3812160402419126,0.36402036380808,0.2558365740541121,0.2570872332020585,0.1820863583132429,0.4117498481784313,0.3880624531240909,0.4469096383960038,0.291829087147635,0.4485940568435131,0.5181799714555377,0.4143648903915033,0.0,0.3799521539211581,0.2859301533831461,0.0,0.1567167790150678,0.1285482292519089,0.2427014372707051,0.2183435644165233,0.1506411609112178,0.0,0.1480167549866737,0.1466296127923352,0.1430992196328764,0.1657535228762216,0.1735321526767744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1781570414465782,0.2118529443268615,0.0,0.0,0.0,0.1467750198047999,0.1467750198047999,0.0,0.1415888151163029,0.1332909700633629,0.2107805263830397,0.1997564340720732,0.0,-0.2509141791934515,-0.6030892270928487,0.320995032866464,0.0,-0.3040534807367229,-0.2456483363701136,-0.2337500881705752,0.0,-0.2906272190612738,-0.2480217742730157,-0.3590899369213898,-0.1538021457105869,-0.6085408065322127,-0.3714956917321721,-0.4063451987945691
send SELPLG,0.3274216393831171,0.417938825862292,0.0,0.4814697116557127,0.5649899651255029,0.4452716585285263,0.5933699600894701,0.5933699600894701,0.5014290665030459,0.5355187669889068,0.314725597782259,0.0,0.4819671197000739,0.4015367564644659,0.3964281269822891,0.5104087355335163,0.5107381822269231,0.212757155700852,0.2521242316302568,0.2246085034065296,0.2246085034065296,0.6450182580336732,0.6591775017979092,0.5990480621059145,0.6559898367031503,0.693857894970966,0.6147311720180821,0.6456211563235468,-0.3292828588276694,0.0,-0.2830406130931955,0.3914287825650364,0.0,-0.1390085233825772,0.1338082862981638,0.1306366981312505,0.2628641684190643,0.2805181261756175,0.2284846945311793,0.3291223682838048,0.1374878298283516,0.0,0.0,0.0,0.1654131655281173,0.0,0.1309836401159338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2299930683800243,0.1278097840411751,0.0,0.0,-0.1360098425505782,0.2310520994213813,0.1407606884000205,0.0,0.0,0.0,0.0,0.1270885293505349,0.1213302760531746,0.1245850378264498,0.1600433881533627,0.3331658935601239,0.5493840349505849,0.4680127006874732,0.579637440765618,0.5595157225185611,0.4889771492810931,0.435360796553998,0.4908947206639641,0.3933506107028142,0.3911896780347476,0.286173994826915,0.2384993271975667,0.1516978004362532,0.0,0.1207659168323073,0.2048231192645337,0.2483931817616502,0.0,0.1864208278027474,0.2243306071380413,0.3470094122188029,0.2136106427211285,0.3443906244943741,0.2936686624833043,0.2230746737990339,0.0,0.2021505869772248,0.1371187501472234,0.1506355991185621,0.1657581822200541,0.2044378918405291,0.2408335438997345,0.323998757088685,0.1916509310085939,0.1875153730723296,0.3417323505614744,0.2918338884582628,0.3199446396727932,0.213649434600302,0.2107786174236597,0.27338213412124,0.260739337603306,0.0,0.1349140444362919,0.1590210336739199,0.3525807557402448,0.3525807557402448,0.4349947556640687,0.4342991900966392,0.3884606318873613,0.4678669801061647,0.3599475552450356,0.2864680478035011,0.1422907863329911,-0.6029268877831041,0.0,0.0,0.0,-0.177741109423507,-0.4315015062021766,-0.3649645694953037,-0.1342062114200677,-0.2011986254612459,-0.174291766198115,-0.1935476085031313,-0.5182560836580414,-0.2905972601803555,-0.3994286413279694
send SELL,0.0,0.1318984264745321,0.4814697116557127,0.0,0.3011512151409488,0.4776205408571147,0.472831846814792,0.472831846814792,0.4428867811119579,0.3874504583554776,0.5586292527873786,0.0,0.4996722355317861,0.5414237460837771,0.5095260920241603,0.5538762645824573,0.5467237113655987,0.3800895106309002,0.4491913754471247,0.3840670714653823,0.3840670714653823,0.0,0.6666477605513176,0.6258491134646251,0.5470810101697013,0.5302688445104025,0.5672057094669298,0.5483803927163614,0.1708293773647084,0.0,0.0,0.0,0.189245496229322,-0.1772577732805749,0.2094234191128471,0.1635858132191937,0.1479847461069175,0.0,0.0,0.1415241149433131,0.1769480149622112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1776292825768244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1517981202726309,0.0,0.0,0.0,0.2189706964770983,0.1321714507931533,0.1560744565066792,0.2089788100833464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1552321941221164,0.0,0.3285440644012653,0.4373677861161006,0.3607624946119661,0.2962280415575508,0.2371545867676017,0.1879046099402096,0.0,0.2970883649633344,0.2000202047300874,0.1755639375744666,0.3957609408865443,0.2358841630952325,0.3563671277460656,0.3123076959601634,0.2117639322486341,0.1470604226763294,0.3434288494254173,0.2371334657357855,0.2175548429772397,0.3383503455882979,0.5295192891958423,0.4448433494969102,0.4309648251869978,0.2763760440191921,0.2244865510168261,0.2857062167948487,0.2391025196905791,0.2799042170739856,0.2945346938951266,0.3134016162743949,0.3497760787501225,0.3717170430018605,0.3257138893008933,0.2890408282024538,0.334906982982007,0.4506633277209494,0.4692024290600656,0.446152282115743,0.4070402971303641,0.4064125840005534,0.3139265697852988,0.3117387251147387,0.1964587964132444,0.2175548429772398,0.1898048127451111,0.4430626991773567,0.4430626991773567,0.5133566269173474,0.5829343473815748,0.5115245502865869,0.5599000733132401,0.4527404212781155,0.4022921753727644,0.363654449417063,-0.3576963787343138,-0.2675184404942177,-0.2932643709978054,0.0,-0.1983131999837059,-0.2389826601222164,0.0,0.1392546108612247,-0.1392512170623648,0.0,0.0,-0.2020494863186517,0.0,-0.2018661623775025
send MHC-I,0.8065793245715072,0.7191665140088777,0.5649899651255029,0.3011512151409488,0.0,0.5748994052473502,0.7458958380400927,0.7458958380400926,0.7862082904840649,0.709273989696017,0.3931723820780021,0.4015377418861472,0.5634325436821983,0.4703747182397175,0.5725435800899461,0.6400625313523115,0.6651513055488474,0.5264723657272284,0.4018857649576871,0.4952665373560913,0.4952665373560913,0.673017958114525,0.6846663424607314,0.557537900117203,0.7002013911864524,0.8333202353815204,0.7784793415371379,0.7822643249735748,-0.198765640423023,0.2532188058331812,0.1722302402024473,0.3892052034964797,0.3671034904745711,0.0,0.0,0.2360779562238525,0.2908658660279622,0.2535684505465297,0.2311531805513535,0.2239118224183773,0.0,0.2512723454759777,0.1431542998310088,-0.1686905245837703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1881032876204995,0.167625170924424,0.180542756098961,0.1370255733087699,0.1527576908109493,0.0,0.1845784476067985,0.193736024665527,0.1563892659978122,0.2475949998633866,0.0,0.1578467683506789,0.1455819877483159,0.1770423463332047,0.3791935007016417,0.3384834053231625,0.4105953229231497,0.2505320780439091,0.4389376996279069,0.4867980323494978,0.3150010198353712,0.4799681098596823,0.5762760442504501,0.4369500289489987,0.3724723506526106,0.2665377089387802,0.4759909817050981,0.4006467903518675,0.6094335860064387,0.4326193263190514,0.4676092344171922,0.2682831585125134,0.3760523299141843,0.514501944534027,0.4943451962014726,0.0,0.3020510329619506,0.398871975582612,0.0,0.2274753461306616,0.1640895862744489,0.1690523761411101,0.1989260856541406,0.1807134074926732,0.2497859429375507,0.2269333812584836,0.2141011219010631,0.2063854006175862,0.3291328806252789,0.3274691050438167,0.1478436825385422,0.2306290718793126,0.1559934625326492,0.2601865478655866,0.2937431980169247,0.2219239199533492,0.134870844055545,0.1821194635818753,0.3276301548020674,0.2580656227789436,0.1667647389950139,0.1551375997943533,0.1495492124198368,0.2762039594276084,0.2762039594276084,0.2088623466074901,0.2395778723396278,0.358717178224663,0.3985059558679364,0.355570739384446,0.0,-0.1720016952042168,-0.7657722717137679,0.1812362587291688,-0.1232670051593847,-0.1396591092194014,-0.4031909410207408,-0.3580948992143845,-0.1856503304333426,-0.167161044671905,-0.2856912959784643,-0.282559503450937,-0.1924316186033655,-0.6020888723476656,-0.5897791726082287,-0.4675929189322763
receive GALECTIN,0.4036341811504613,0.3530035588273391,0.4452716585285263,0.4776205408571147,0.5748994052473502,0.0,0.0,0.0,0.5824870575667983,0.4965389640778935,0.4357663069924902,0.5044453442218068,0.4297118373456753,0.4201947600651654,0.52788836395531,0.5262352336955343,0.5558591796770651,0.3888926848122424,0.3176160835968419,0.3625196761212716,0.3625196761212716,0.6215663452487385,0.6238087967517796,0.5224007258902095,0.6062833962781398,0.6268177783251525,0.6277907694288625,0.6215820580482043,0.1655041274594461,0.0,-0.1356693967714767,0.217410368780334,0.2584076068047209,0.0,0.0,0.1626763139296438,0.2745186859773741,0.1930972771104166,0.0,0.1576078470202946,0.0,0.0,0.1299213037866104,-0.1220609184254741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1337326779326802,0.2334110660695185,0.1510314852359759,0.0,0.1378967158591267,0.0,0.1428650165225334,0.0,0.188694790481878,0.1900692974223524,0.0,0.0,0.0,0.0,0.1346849762858381,0.1221847329078737,0.2226902024411896,0.0,0.3509613819198648,0.3761698513352757,0.2728451766738151,0.3450763283523717,0.2981416878389318,0.2740296659531161,0.175733108013973,0.281013202000563,0.3852179211968362,0.3671170527175915,0.4595888608195477,0.4044866368714751,0.3757983625946893,0.2309945783070882,0.2603911417906809,0.0,0.0,0.0,0.1875502230805524,0.3873603650221037,0.1831095674457245,0.2567839999765349,0.2417665603063137,0.2954010724447056,0.1334552971255222,0.2228851706881327,0.2069229450634318,0.2473571765165672,0.2520559200575735,0.2628051659946302,0.3841389548900867,0.3693331895902033,0.1459435239362754,0.3084604314695213,0.2116706236028809,0.2868577965798149,0.3337469367480719,0.2319004357393003,0.1938621492330909,0.292715582915821,0.2371620454370286,0.2432121920741221,0.2025677032494604,0.1664620864752041,0.1805679363988565,0.406350300904601,0.406350300904601,0.3074889505591144,0.3028623054096836,0.0,0.4692414346868509,0.4033852279507091,0.2291177722707342,0.2599404797569091,-0.5492604295975954,0.0,0.0,0.0,-0.2848132359956912,-0.25086058832908,0.0,0.0,-0.1788823160943574,-0.134812093794862,-0.1659704500093863,-0.367268677931915,-0.377102048653392,-0.3473895472450709
receive CD22,0.5635554467230631,0.5319762076702124,0.5933699600894701,0.472831846814792,0.7458958380400927,0.0,0.0,0.0,0.6926309522620351,0.6151243007041728,0.4669754756518269,0.5253541008778938,0.5004442984626057,0.4876383184752103,0.599796705214343,0.6099843721015765,0.6345247583625794,0.4370172232682944,0.3769161166164148,0.4213814479582984,0.4213814479582984,0.7146225942764639,0.7215192370117451,0.6265978623275669,0.7259061924063595,0.781524490802824,0.767956101233648,0.7667975999594915,-0.198556811201185,0.0,-0.1697832236387747,0.3118215074598039,0.3065502309836715,0.0,0.0,0.2265206213222161,0.3552764404661658,0.2738311932454818,0.1557207847147625,0.269811510636705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1524927066117339,0.2386213458677453,0.1976066568265878,0.1449357501900085,0.1408130987302904,0.1518818104281516,0.1688660129210495,0.1702445501807792,0.1661588288713132,0.2374634261824595,0.0,0.0,0.0,0.0,0.1954789299112359,0.1996861771536202,0.2963631728570542,0.1675445617108243,0.429612783090993,0.5121320608643279,0.3731236025438527,0.4899415364765776,0.4788874644911629,0.405167391410766,0.3128768571224471,0.3537479415144942,0.4420355680007712,0.4332712316583696,0.5423683639908526,0.418776870106017,0.4181761114331107,0.2065757066805696,0.2952986541539397,0.4024476877708164,0.458283644117108,0.0,0.225074918722236,0.420540147131764,0.1905611221596848,0.2918493101288777,0.2688614912111026,0.285150489300319,0.1432219585642637,0.2386107845833014,0.2373549838488977,0.2515425983712728,0.2562721098381993,0.2676679429814085,0.3894201064060782,0.3750896168457514,0.2267883819028703,0.3061335734730357,0.2517496893550559,0.322759803452807,0.3532680086219842,0.2895728863299465,0.2237340793189464,0.2827245836171419,0.3108000516034766,0.2852765253963878,0.2088232742456557,0.1619177975930323,0.1755022729283728,0.4346579203262093,0.4346579203262093,0.3603462575012969,0.3244566656954123,0.4159515953853115,0.498711909602613,0.417419001042023,0.2017611759726801,0.1882730327298191,-0.7095421338430756,0.0,-0.1922535872070738,0.0,-0.3201695157864379,-0.3794336075754898,-0.2023344581130221,0.0,-0.2208573896225578,-0.1595290511138683,-0.2192913413011485,-0.5419296820830856,-0.4795901950975226,-0.4164846805650268
send CD45,0.5635554467230631,0.5319762076702124,0.5933699600894701,0.472831846814792,0.7458958380400926,0.0,0.0,0.0,0.6926309522620351,0.6151243007041728,0.4669754756518269,0.5253541008778937,0.5004442984626059,0.4876383184752101,0.5997967052143431,0.6099843721015765,0.6345247583625794,0.4370172232682944,0.3769161166164148,0.4213814479582983,0.4213814479582983,0.7146225942764639,0.7215192370117451,0.6265978623275669,0.7259061924063595,0.781524490802824,0.767956101233648,0.7667975999594915,-0.198556811201185,0.0,-0.1697832236387747,0.3118215074598039,0.3065502309836715,0.0,0.0,0.2265206213222161,0.3552764404661658,0.2738311932454818,0.1557207847147625,0.269811510636705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1524927066117339,0.2386213458677453,0.1976066568265878,0.1449357501900085,0.1408130987302904,0.1518818104281516,0.1688660129210495,0.1702445501807792,0.1661588288713132,0.2374634261824595,0.0,0.0,0.0,0.0,0.1954789299112359,0.1996861771536202,0.2963631728570542,0.1675445617108243,0.4078006779479498,0.5121320608643279,0.3731236025438527,0.4899415364765776,0.4788874644911629,0.4051673914107661,0.3128768571224469,0.3537479415144942,0.4420355680007712,0.4332712316583698,0.5423683639908526,0.418776870106017,0.4181761114331106,0.2065757066805696,0.2952986541539397,0.4024476877708166,0.458283644117108,0.0,0.225074918722236,0.4205401471317639,0.1905611221596848,0.2918493101288777,0.2688614912111026,0.2851800017918895,0.1432219585642638,0.2386107845833014,0.2373549838488977,0.2515425983712729,0.2562721098381993,0.2676679429814085,0.3894201064060782,0.3750896168457514,0.2267883819028703,0.3063851005153042,0.2517496893550559,0.3227598034528069,0.3532680086219842,0.2895728863299465,0.2237340793189464,0.2827245836171418,0.3104131452359214,0.2852765253963877,0.2088232742456558,0.1619177975930323,0.1755022729283728,0.4346579203262093,0.4346579203262093,0.360346257501297,0.3244566656954123,0.4159515953853114,0.4987077616616229,0.4174190010420232,0.2017611759726801,0.1882730327298191,-0.7095421338430756,0.0,-0.1922535872070738,0.0,-0.3201695157864379,-0.3794336075754898,-0.2023344581130221,0.0,-0.2208573896225578,-0.1595290511138683,-0.2192913413011485,-0.5419296820830856,-0.4795901950975227,-0.4164846805650268
send ANGPT,0.7492503257276287,0.7027124268528027,0.5014290665030459,0.4428867811119579,0.7862082904840649,0.5824870575667983,0.6926309522620351,0.6926309522620351,0.0,0.753410451700622,0.6166579092346435,0.6097800742301557,0.5619972955025703,0.6430208297462436,0.7184687864800847,0.7573923488951309,0.7160161224615396,0.5934446163483718,0.5381684783933502,0.6023768327405588,0.6023768327405588,0.7853405085291889,0.7899567456654242,0.6279593983345411,0.6614631569535083,0.8439369876854295,0.8256385325869571,0.7694691733572945,0.2940648876314749,0.3919183747812929,0.3218573181558323,0.1743717274484091,0.5244893713722683,0.1209732050329022,0.0,0.2128899451891121,0.2301604815244589,0.263625553865256,0.1535680989714749,0.1631581387554389,0.1578376031627297,0.1708593862717659,0.2426888010122651,-0.1542716857555337,0.1248457804771918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1269857690815044,0.1426950821326514,0.0,0.1852653281855201,0.2112683885708201,0.1483116015650104,0.130062239240058,0.1629582142104079,0.2456136653540709,0.2316494993671377,0.1960899465258517,0.2911273250556426,0.1818663661075085,0.1791844962054818,0.2301279828729512,0.3052071347988803,0.0,0.3601298710386815,0.3318068325786687,0.1943530125014419,0.4100460609331439,0.4987104211258055,0.3344292471738962,0.3415490915873138,0.4401210296813421,0.3314140726519852,0.2699220192633027,0.2619323978786796,0.3706420885064808,0.3105224098230759,0.6303094196877441,0.4500783616606224,0.5997083414871499,0.4908166588573706,0.5665134424658098,0.5514070640795896,0.6225584227630644,0.197376806657962,0.2683046412929655,0.4679228059657612,0.1932514199844348,0.3903186009849161,0.2840841056711209,0.2017316102946593,0.3514247111108084,0.320654112013539,0.1827048958660238,0.3834404718941561,0.37558869507066,0.3739677196734149,0.4288438177115908,0.4146672138076398,0.23916265879337,0.250106328331533,0.2023233193501167,0.3349629849072825,0.40608377872317,0.3401523058897185,0.2311958460077472,0.2729979211315256,0.3496083648109754,0.3352114103971523,0.2076097597196994,0.2649907075531191,0.2508972047413152,0.3435348179157949,0.3435348179157949,0.3317800866961687,0.3535251460181405,0.4357026266497083,0.5048997817706768,0.4347043417382634,0.0,-0.2263606584098487,-0.6743415308764713,0.0,-0.3086372940775639,-0.2332439979249042,-0.3674663882068392,-0.233404534994123,0.0,0.0,-0.2944361564405861,-0.2085838265417283,-0.1388668863196157,-0.546928985187933,-0.3606526139324673,-0.4147243163596356
send FGF,0.6700924809580588,0.6998743060691011,0.5355187669889068,0.3874504583554776,0.709273989696017,0.4965389640778935,0.6151243007041728,0.6151243007041728,0.753410451700622,0.0,0.4125208701482016,0.4594051411029045,0.4826635840523915,0.5763603603819976,0.5903106275587309,0.6632032980164071,0.6210095221722072,0.4426052864838315,0.4261314698242518,0.4787128706381084,0.4787128706381084,0.7067560448627072,0.7134484456174573,0.5868523386751485,0.5925672366992658,0.7350120551452172,0.7077194235508066,0.6596953050155872,0.1648590050353881,0.3426640578250534,0.2640092939081153,0.2783324670050444,0.3655663058358567,0.0,0.0,0.1510789517352806,0.0,0.257144224754315,0.0,0.1967679663523101,0.1335539866628128,0.1754191011481001,0.1800421079225279,0.0,0.0,0.1598841701928131,0.0,0.0,-0.1412216574306862,0.0,0.0,0.0,0.0,0.0,0.2050723573394596,0.0,0.0,0.0,0.1268571721200081,0.0,0.0,0.1232115200177051,0.0,0.2301776330362828,0.2237147935811273,0.2355745867694219,0.1546744379818498,0.1557314220101414,0.1667281299660263,0.1965350242081393,0.3080852108792508,0.3159588465770718,0.338641075713891,0.2488756234275474,0.3579906735451949,0.4537492356336503,0.3033416197151468,0.3937910059770262,0.4285338521222329,0.4090710668378036,0.3912862823048721,0.3333467908515482,0.3409720662126994,0.2428688967547362,0.5296515571911113,0.3628884298035035,0.5047038677621908,0.3574401186368797,0.4548747829508912,0.4715976107454092,0.4786500211211437,0.1236038758470674,0.2918746473971812,0.3370941098144674,0.2356543191809364,0.2888998534956514,0.2906543325647069,0.1697623171045988,0.204372530718127,0.1664879587589739,0.1971431047451802,0.2474139833089492,0.2362517311931068,0.2287424516948971,0.254674929413204,0.2772793853696424,0.1711037299707984,0.1270319154925846,0.1755760918077427,0.2560426012878617,0.3198860560767441,0.2148062621263086,0.0,0.1908262420723997,0.3136571373062292,0.277905059510607,0.0,0.0,0.1559211517544783,0.289533595307656,0.289533595307656,0.254470438785165,0.4089898931310159,0.3597726963766991,0.4843942793525789,0.41234362719471,0.0,-0.1537903368564311,-0.6364483802374844,0.132129642319771,0.0,-0.3128742641603028,-0.3169058376576369,-0.2460873827209167,0.0,-0.1447092473938163,-0.2315236199248866,-0.2940829707348608,-0.1372662375011605,-0.4695282552760561,-0.3307638915071546,-0.3238616865471821
