Pathway 1,send MIF,receive MK,receive PTN,receive FGF,receive ESAM,send ESAM,send GAS,send JAM,send GALECTIN,receive KIT,receive PARs,send ANGPT,send MHC-I,send BST2,send MHC-II,receive SEMA4,receive CD34,receive SELL,send CD34,send ANGPTL,receive JAM,send IL16,receive ANGPT,receive ADIPONECTIN,receive IL1,receive THBS,send ICAM,receive GALECTIN,receive CD22,send CD45,send FLT3,receive SLURP,receive VTN,receive GDF,send CXCL,send LIGHT,send TWEAK,send PTN,send EPHB,receive WNT,receive ncWNT,receive EPHB,send LAMININ,receive NGL,send LIFR,send APELIN,send IL7,send CD1D2,send MK,send PDGF,receive SEMA5,receive SEMA6,receive VISFATIN,receive VWF,receive CD200,send CSF,send OSM,receive CD39,receive APP,receive MIF,receive ACTIVIN,send COLLAGEN,receive TGFb,send LCK,send THY1,receive ITGAL-ITGB2,receive TWEAK,send VCAM,receive TENASCIN,receive LAMININ,receive FN1,receive SPP1,receive PDGF,send FGF,receive EPHA,send PROS,receive BST2,receive LAIR1,receive BAFF,send SPP1,send FN1,receive CD86,send ICOS,send TNF,receive SEMA7,receive ANGPTL,receive COLLAGEN,send CD86,send IL1,receive IL17,receive SELE,receive RANKL,receive ALCAM,send CD6,send CLEC,send WNT,receive NRG,receive PERIOSTIN,receive BSP,receive DMP1,send THBS,send CD46,send SEMA6,send CD80,send CD39,send NKG2D,receive ENHO,send AGRN,send GDF,send NOTCH,receive BMP,receive NOTCH,receive PECAM1,send PECAM1,receive GRN,send BAFF,receive COMPLEMENT,receive CD23,receive THY1,send IL2,receive IGF,send VEGF,send CCL,send TGFb,send PSAP,receive IL6,receive SELPLG,send SELPLG,send SELL,receive CSF,send CD52,receive CCL,send VISFATIN,receive SEMA3,send GRN,receive ICAM,send ITGAL-ITGB2,receive CLEC,receive CXCL,send PARs,receive VEGF,receive NCAM,send LAIR1,send ANNEXIN,receive VCAM,send NCAM,receive CD52,receive CEACAM,send SEMA4,send COMPLEMENT,send VISTA,receive IFN-II,send APP
send MIF,0.0,0.3422333100700574,0.4779294748091852,-0.1478890540467921,-0.245245609089619,-0.2452456090896191,-0.2487039984307194,-0.1704018894559761,0.0,0.0,0.0,0.0,0.0,0.3989370314018629,0.0,0.1980283438418654,0.0,0.364493631410563,0.3672337416665285,0.3471128414715191,-0.2960572460075358,0.0,-0.1418968059027317,-0.4421755749942838,-0.187069787027947,0.0,0.1411010922487177,-0.178482752674444,-0.2514054147779118,-0.2514054147779118,-0.2691583383938993,-0.1990701898667043,0.0,-0.1459363014599117,-0.1575073963755483,0.0,0.0,0.0,-0.126618716882011,0.1484058993856989,0.0,0.0,0.0,0.0,0.0,0.1296041900247111,0.0,0.0,0.0,0.1454413933550169,0.0,-0.1302202146580697,0.0,0.0,-0.1388803610343941,0.0,-0.1261218961665449,0.0,0.0,0.0,0.0,-0.1635797182090096,0.0,0.0,0.0,0.159008339304551,0.1865246853903736,0.0,0.0,0.0,-0.1423859641438403,0.0,0.1817831003802035,0.0,0.3141292113321307,0.0,-0.1817369035885638,-0.1817369035885638,-0.2494090213705539,-0.1473636498752473,0.0,0.0,0.0,0.0,-0.2233103462251866,-0.2054775909839611,-0.2047614892283792,-0.2129361603840916,0.0,0.3880609077651513,0.0,0.0,0.2169837812110924,0.2169837812110924,0.0,0.2159143008419082,0.0,0.1366679143407294,0.1363645965461644,0.0,0.0,0.0,0.0,-0.1603932984324736,-0.1667073555745799,0.0,0.0,0.0,0.0,0.0,0.0,-0.2034562050555592,-0.1484240145872125,-0.1484240145872125,0.0,-0.2354793947569311,-0.1440141637842528,-0.1647279810225543,-0.1609845316385434,0.0,-0.1319943341252694,0.0,0.3897956756587222,0.1972931236951973,0.0,0.0,0.0,0.1315408567604304,0.1627728266687719,0.328281549591397,0.0,0.1753200904922462,0.370077069786678,0.1358710127871215,-0.1867188268423873,-0.1655281079020766,0.0,0.1297478994584515,0.143625498995211,0.345593896419074,0.1404795658656532,-0.2518877956594846,0.0,-0.1633199835879456,-0.1920584216000955,0.0,0.0,-0.1700201915539474,-0.2678660429443306,0.0,-0.1891893048772552,0.0,0.0
receive MK,0.3422333100700574,0.0,0.0,0.3465556522504003,0.3783436974389656,0.3783436974389656,0.3809789964188176,0.3951427298007549,0.520598688176942,0.5040323685585587,0.6522009648500053,0.529795232841822,0.5343650936053617,0.4189398088403425,0.4101579777621255,0.3800348153728787,0.4178138498625663,0.4593491819525237,0.4544555654869003,0.2638494167888864,0.0,0.0,0.0,0.0,0.2268430040209992,0.0,0.1524976546860532,0.0,0.0,0.0,0.2185988849435282,0.1882822958419259,0.0,0.0,0.3133743626889562,0.165015443240533,0.1669713214429999,0.2611793064434726,0.267924527363208,0.3910374747364714,0.3371667944862426,0.2943859511749921,0.1518219605041647,0.2985222158141671,0.1906296531760759,0.2807650846201347,0.3080945581947301,0.1345810878796665,0.0,0.2402305064234197,0.2038412135288303,0.2126192470722257,0.0,0.279595544784253,0.0,0.0,0.1306274429137208,0.3484736925797249,0.2373185150329717,0.3015815084715816,0.2158880615615345,0.3345857196630752,0.3303586152323575,0.2857446972585075,0.3514754284258934,0.1450983871429748,0.2498479314746739,0.0,0.0,0.0,0.0,0.0,0.3213496755857275,0.2937651886038492,0.1515257757171474,0.0,0.0,0.0,-0.1571690596386087,-0.2966278181838506,-0.1268393875931539,-0.1331512324088941,0.0,0.0,0.0,0.0,0.0,0.0,0.1699653943830115,0.1279817411319526,0.0,0.1418763980525349,0.0,0.0,-0.1382314311115806,0.0,0.2290560022954401,0.1854564335980377,0.1359899842386334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1310323278600025,0.0,0.0,0.0,0.0,0.0,0.0,-0.1605061659802859,-0.2735918484270113,-0.1896528081653928,-0.1393724856890747,-0.1473386090818378,0.3080945581947301,0.0,0.1950058673071759,0.1535077939845876,0.2843462359545712,0.0,0.0,0.0,0.0,-0.1934809033934356,-0.1547834294828406,-0.4462769774648313,-0.1758088269880409,0.0,-0.2627146008980586,-0.3406088989696429,-0.3287321020984677,-0.3380012965246642,-0.3292268300272885,-0.2785383980721739,-0.3124981841570313,-0.1281488405190823,-0.2938511730444955,-0.3052583846823423,-0.4729005888778226,-0.4343867091749451,-0.4172223236516881,-0.4665168556682385,-0.3906237107374574,-0.4995039920013042,-0.6144835144444579,-0.6334037926022773,-0.4771055993997091,-0.4817242442017205
receive PTN,0.4779294748091852,0.0,0.0,0.3164903275867283,0.2681574407790738,0.2681574407790738,0.3047041138650197,0.2973989041523639,0.4313924538577128,0.3842574780784732,0.583253559821215,0.4097260418433407,0.4417501159140682,0.4695790455469832,0.313048413338641,0.3509568388605404,0.3340812463498762,0.4065194097858969,0.4026819554843213,0.3154772196539169,0.0,0.0,0.2765727295230987,0.0,0.1818113811215708,0.0,0.1800037270379354,0.0,-0.1448152969256742,-0.1448152969256742,0.1476727139594306,0.1620282877700354,0.0,0.0,0.2211593547576502,0.0,0.0,0.0,0.1778984914273877,0.3741781077662672,0.330872244357322,0.2368782212082571,0.1359417963169826,0.2941543808122031,0.1528128183614298,0.3112705512768466,0.3188587490889907,0.0,0.1872190612293779,0.2545655056170048,0.2039826160941856,0.177740246646916,0.272970983334866,0.0,0.0,0.0,0.0,0.2521725667103342,0.1991835956290654,0.2541738235175726,0.1798836894088685,0.2538124271508421,0.2552049779750669,0.2593444965845369,0.3020217146254286,0.1836025846698655,0.2469728630819557,0.3327419019434583,0.0,0.0,0.0,0.0,0.2257040289103747,0.2328004436576027,0.1791408165843763,0.0,0.0,0.0,-0.2729558913888146,-0.2984062747820744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13726032227408,0.1583828561700784,0.0,0.1375190920135367,0.0,0.0,-0.144610743635984,0.1306857085482735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1388164173731757,0.0,0.0,0.0,0.1757079924918312,0.0,0.1372776844305152,0.1337888620460976,0.0,0.0,0.0,-0.1622361019777994,-0.2639891674696515,-0.1498158178814503,0.0,0.0,0.3188587490889907,0.0,0.2081668071814982,0.1434830708630533,0.275209107760548,0.0,0.0,0.0,0.0,-0.1753569017978459,0.0,-0.3905741686397623,-0.1640284928802134,0.0,-0.2025908388406576,-0.3015800592244848,-0.2748061242304912,-0.2596963340809392,-0.2881066458546906,-0.2193816661851515,-0.196616562161952,0.0,-0.2862813165162498,-0.2161273574020533,-0.4296831494495763,-0.4024415230969718,-0.3913373426669368,-0.4461787512259031,-0.364104792570212,-0.4598937262449795,-0.5600602924687675,-0.5822049432944135,-0.4087561064508042,-0.3614216590966579
receive FGF,-0.1478890540467921,0.3465556522504003,0.3164903275867283,0.0,0.4173507170538822,0.4173507170538822,0.4052307811285821,0.4456249238602467,0.2493362266935795,0.289336385184928,0.3710336751309611,0.3465563912691245,0.399686459371409,0.2286005036480775,0.336557439081556,0.2564526884992189,0.2670129973739779,0.1804016298571036,0.1750059284459058,-0.1504521108664058,0.2775138879555655,0.1371166122024008,0.1953579134902597,0.2135525262877799,0.371554891513761,0.242579374150975,0.1558039739340699,0.2189317567864131,0.2233409960937908,0.2233409960937908,0.2437909415900572,0.3291537222182676,0.2272532367562827,0.0,0.2952110680227098,0.0,0.1821089586097823,0.153988451169093,0.3193863859004437,0.2555198228936868,0.2680087869318737,0.2206259072870689,0.1596452154353057,0.1353776492136474,0.0,0.0,0.0,0.1455194730458394,0.2227344629476375,0.1816513710129016,0.125968990935396,0.2402401018258375,0.1945641331097099,0.2211620637166718,0.0,0.0,0.0,0.3520000982676547,0.258439137112408,0.3167826963652332,0.2031330011780211,0.2270854348911679,0.2728651919771263,0.2405886867725957,0.2087427674225888,0.0,0.0,0.2605064538393777,0.3942867172073626,0.2807425892142045,0.3165986993327906,0.2392238671198859,0.0,0.0,0.0,0.0,0.1530923706177521,0.1530923706177521,0.0,0.0,0.0,0.0,0.0,0.0,0.1767288205258496,0.1718333962322235,0.1594826054685783,0.2795806405690987,0.2291543582961356,0.0,0.159665946226194,0.2233407224146123,0.0,0.0,0.0,0.0,0.2293455846025366,0.1712324544082777,0.0,0.140528949308823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1540171625861613,0.0,0.0,0.1504558737504717,0.0,0.0,-0.1437476249117977,0.0,0.0,0.0,0.0,-0.1312770704097444,0.1556040826885171,0.2135163202595914,-0.1947401776145078,0.0,0.1559127876598699,0.0,0.0,0.0,-0.1927858177186638,-0.1965319018030318,-0.1307798701325465,-0.175206737323797,-0.1406774837675094,-0.1522263655055708,0.0,0.0,-0.1260348982189132,-0.2639855600010817,-0.2591246570472677,-0.3305715801582367,-0.1797804175142829,0.0,-0.1434455125712584,-0.147599639406505,-0.1731669446936968,-0.2299532158577581,-0.1587426941631229,-0.1367592194037859,-0.2107089727150735,-0.345350541569875,-0.2915776402624402,-0.2418496423326692,-0.243622527725753
receive ESAM,-0.245245609089619,0.3783436974389656,0.2681574407790738,0.4173507170538822,0.0,0.0,0.5975329103836038,0.5966614587952579,0.360485752448491,0.4260609858131102,0.5137603589908876,0.5077244937444096,0.5074813415041423,0.1958145219301477,0.4769164041269971,0.4258225882102864,0.4136652455929923,0.2208874777795829,0.2124698903012244,-0.1837183082952899,0.3635302161989077,0.1798943952515503,0.4161793164871569,0.2665941189301803,0.3266241440562642,0.264743585964087,0.2203067648245458,0.2946267416858169,0.3501878340019824,0.3501878340019823,0.3190283248837367,0.3700176797481449,0.2251817128231687,0.2098042608317412,0.3123125794137705,0.3718805300787873,0.2320734436929547,0.3342540818360392,0.3409180087202627,0.2902974997565201,0.2856492031220461,0.2222264447558978,0.1935516008497181,0.2623939160440399,0.1931281092644083,0.1438922438852581,0.2573941160219665,0.1735112958906701,0.244862526241851,0.2605716507043987,0.1370021325879153,0.2482720156794073,0.2130392925487218,0.2614363820604648,0.1956323180833097,0.0,0.1259959486660739,0.4054434465014396,0.3731503957045268,0.4281295118047575,0.3513563519202257,0.4412077146264707,0.2886136114780451,0.3774493152849659,0.2763438838211344,0.0,0.0,0.3206391575081165,0.458501752008824,0.385862963305901,0.3753576949769094,0.2176177435315438,0.1481624931654348,0.213135550802504,0.0,0.1380139925195845,0.1304757108384024,0.1304757108384024,0.1757465863386468,0.0,0.0,-0.1512673391431153,0.0,0.0,0.1935415276372921,0.1421247794910206,0.1815384045800198,0.2477756665865602,0.2454954944148788,-0.2102724250045771,0.1330544001074556,0.2539846062940087,0.0,0.0,0.0,0.0,0.1525896088679783,0.0,0.0,0.0,0.2084615699788,0.1291182580799013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1326486805793022,0.1795197286770457,0.0,0.0,-0.1410386313714235,0.0,0.0,0.0,0.0,0.2573941160219665,0.2551639949550015,0.2925297334254171,-0.2654144339826771,0.0,0.1454708133485023,0.0,0.0,0.0,-0.1952985203500628,-0.2803848156674712,-0.2142508300867914,-0.1936926184791007,-0.1743529396855918,-0.1943595576132792,0.0,-0.1511862287656686,-0.1959579876909297,-0.2993421513973755,-0.2537961464492913,-0.424987451674702,-0.1958238394856917,0.0,0.0,-0.239272503433059,-0.1770180117493361,-0.2490902235341024,-0.2617411785484532,-0.2076557996031839,-0.2685979509671114,-0.3905034214774877,-0.3893173300480698,-0.3672454870418719,-0.3407463770402137
send ESAM,-0.2452456090896191,0.3783436974389656,0.2681574407790738,0.4173507170538822,0.0,0.0,0.5975329103836038,0.5966614587952579,0.360485752448491,0.4260609858131102,0.5137603589908876,0.5077244937444096,0.5074813415041423,0.1958145219301477,0.476916404126997,0.4258225882102864,0.4136652455929923,0.2208874777795829,0.2124698903012244,-0.1837183082952899,0.3635302161989077,0.1798943952515503,0.4161793164871569,0.2665941189301803,0.3266241440562642,0.264743585964087,0.2203067648245458,0.2946267416858169,0.3501878340019824,0.3501878340019824,0.3190283248837367,0.3700176797481449,0.2251817128231687,0.2098042608317412,0.3123125794137705,0.3718805300787874,0.2320734436929547,0.3342540818360392,0.3412211164463201,0.2902974997565201,0.2856492031220461,0.2239166837426256,0.1935516008497181,0.2623939160440399,0.1931281092644083,0.1438922438852581,0.2573941160219665,0.1735112958906701,0.244862526241851,0.2605716507043987,0.1370021325879153,0.2482720156794073,0.2130392925487218,0.2614363820604648,0.1956323180833097,0.0,0.1259959486660739,0.4054434465014396,0.3731503957045268,0.4281295118047575,0.3513563519202257,0.4412077146264707,0.2886136114780451,0.3774493152849659,0.2763438838211344,0.0,0.0,0.3206391575081165,0.458501752008824,0.385862963305901,0.3753576949769094,0.2176177435315438,0.1481624931654348,0.213135550802504,0.0,0.1380139925195845,0.1304757108384024,0.1304757108384024,0.1757465863386468,0.0,0.0,-0.1512673391431153,0.0,0.0,0.1935415276372921,0.1421247794910206,0.1815384045800198,0.2477756665865602,0.2454954944148788,-0.2102724250045771,0.1330544001074556,0.2539846062940087,0.0,0.0,0.0,0.0,0.1525896088679783,0.0,0.0,0.0,0.2084615699788,0.1291182580799013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1326486805793022,0.1795197286770457,0.0,0.0,-0.1410386313714235,0.0,0.0,0.0,0.0,0.2573941160219665,0.2551639949550015,0.2925297334254171,-0.2654144339826771,0.0,0.1454708133485023,0.0,0.0,0.0,-0.1952985203500628,-0.2803848156674712,-0.2142508300867914,-0.1936926184791007,-0.1743529396855918,-0.1943595576132792,0.0,-0.1511862287656686,-0.1959579876909297,-0.2993421513973755,-0.2537961464492913,-0.424987451674702,-0.1958238394856917,0.0,0.0,-0.239272503433059,-0.1770180117493361,-0.2490902235341024,-0.2617411785484532,-0.2076557996031839,-0.2685979509671114,-0.3905034214774876,-0.3893173300480698,-0.3672454870418719,-0.3407463770402137
send GAS,-0.2487039984307194,0.3809789964188176,0.3047041138650197,0.4052307811285821,0.5975329103836038,0.5975329103836038,0.0,0.5674995078577925,0.3322159439905124,0.4388782795654182,0.4719580926022298,0.4854302860719005,0.4893450487388437,0.3159730784901918,0.477192779459457,0.451414032008183,0.4405343321847625,0.3285749885520419,0.3190792108608084,0.0,0.3565590267335335,0.2263085426308135,0.4130044421547845,0.3105137860561846,0.3999308816361575,0.2184744221106246,0.2968735742637786,0.3273040853154054,0.4042122969660204,0.4042122969660204,0.3694844897330869,0.4298610101880822,0.1484821767363725,0.361650985983441,0.2671465482726573,0.2969505104003186,0.2970724018718075,0.2276054849510424,0.3422853066435204,0.3183421308705898,0.3011332971123387,0.2705598214240586,0.2456636265632902,0.1781066393250324,0.1336375964234242,0.2543497451594659,0.2505755561033156,0.2211949131023356,0.2782622614286716,0.1445834427875373,0.2088334903001745,0.2795698234046939,0.1954098357616454,0.1484030778124805,0.1576916315483038,0.1376381012969735,0.1857756948556859,0.4525519482847492,0.4084614426195311,0.4760084923395468,0.4747467087522458,0.500335650034056,0.4301932144395433,0.4299484928790622,0.3570489991511148,0.0,0.1554678289484673,0.348948489602385,0.3799535909880258,0.3389083690445776,0.3207875697610293,0.2033320661154754,0.2131490492982506,0.2037532833240472,0.0,0.0,0.0,0.0,0.2928180570033484,0.0,0.0,0.0,0.0,0.0,0.1737079265790984,0.1258310965819971,0.212819154549996,0.2828938214013879,0.0,-0.1750699394502538,0.1573079080678877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137318621455709,0.0,0.0,0.0,0.0,0.0,0.0,0.1350310282052675,0.1498064580050313,0.2124009440526139,0.1595406867353318,0.0,0.0,-0.1392031586756094,0.0,0.0,0.0,0.0,0.2505755561033156,0.2518042139187119,0.2417765043605449,-0.2150488791517437,0.0,0.1930646481693168,0.0,0.0,0.0,-0.1908162410628251,-0.2623328469228452,-0.1614179659741945,-0.2123191522858087,-0.14264122436159,-0.1761268964099817,0.0,-0.1531572395240365,-0.2038778436964534,-0.2945977129369021,-0.211510572386473,-0.4240289333549205,-0.1511668588338544,0.0,0.0,-0.2369519066627479,-0.2062878635430307,-0.2408391685768839,-0.2381717226318463,-0.2183972864099397,-0.2700971688757734,-0.4279524581624881,-0.3637761552868824,-0.336971396866133,-0.3348304585802635
send JAM,-0.1704018894559761,0.3951427298007549,0.2973989041523639,0.4456249238602467,0.5966614587952579,0.5966614587952579,0.5674995078577925,0.0,0.3712033211434041,0.4178830329773677,0.5266717543017301,0.5091704196812503,0.5167781547297776,0.2149801397220894,0.4246059626916991,0.4084824717601114,0.3738945811389362,0.2556827192887926,0.2476256091317208,-0.1492567355869395,0.0,0.1479341850671756,0.4616581055569064,0.2644568404550482,0.3635694051751438,0.2590686150953135,0.2114645995024102,0.1762533529385131,0.2868116292164567,0.2868116292164567,0.3501608482971282,0.4128681752431303,0.2574045929762357,0.1755210443253852,0.3117515420019626,0.2364036199819934,0.2239455011648744,0.3225317316326364,0.3592987619223931,0.3022275165197614,0.294195371864326,0.2568017287032532,0.1948372622310962,0.261518068805017,0.2014013173178947,0.2125779227319951,0.2573517708965893,0.227573272986718,0.2159809111137895,0.2521175014422945,0.1438254821567031,0.2316542851985313,0.205405831991171,0.2804233301655772,0.1734051510154509,0.0,0.133248641466887,0.380207834843199,0.3208397077646152,0.4091053104953575,0.3053553553412041,0.4366100369694958,0.37422702228258,0.3752489758090027,0.3977673585451605,0.1401826041488183,0.0,0.3358220659695037,0.4487133436481562,0.2900551784152608,0.3351855777601824,0.2286080538267441,0.1547703260298093,0.2419874910485739,0.0,0.0,0.0,0.0,0.1619985948438997,0.0,-0.1339874923662862,-0.1528231272152516,0.0,0.0,0.15463669655399,0.1567997743702942,0.172993528079508,0.2825034785620957,0.1926614732422444,-0.1319055267719029,0.0,0.1401473533366564,0.0,0.0,0.0,0.0,0.1398242234675902,0.0,0.1375334222481768,0.1707765276135139,0.1279706593849546,0.1516042869671125,0.0,0.0,0.0,0.0,0.0,0.1655082998664782,0.1329276908501718,0.0,0.1431605013595205,0.173378557209866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2573517708965894,0.2887988173970442,0.3001206126055066,-0.2509884410804485,0.0,0.1738856287706245,0.0,-0.1452034471334524,-0.1642817976914943,-0.2614434793761062,-0.3265804620259822,-0.2982476692536275,-0.2517131564128745,-0.1907273891093158,-0.1879011343870861,0.0,-0.1363443086013373,-0.1614825469369689,-0.3484334619960404,-0.2388448700178981,-0.3664278897406106,-0.1636909483643752,0.0,-0.1392262301811813,-0.2041180719696002,-0.1603397944173735,-0.2555227035027971,-0.263944977123351,-0.1834715867306063,-0.2670321730171471,-0.3815188070120202,-0.3940568899226803,-0.3586804552819241,-0.354050135796799
send GALECTIN,0.0,0.520598688176942,0.4313924538577128,0.2493362266935795,0.360485752448491,0.360485752448491,0.3322159439905124,0.3712033211434041,0.0,0.440268644817407,0.5668769242623187,0.6232290963351006,0.6615517298290375,0.0,0.4378370739748008,0.4259062122930785,0.3052294375608096,0.3545494189462899,0.3526623169996921,0.0,0.1272672277697825,0.0,0.2995916268097219,0.2261797281512727,0.3510232085121225,0.5066075069384178,0.2063474584814461,0.0,0.0,0.0,0.2427561816303606,0.1882029567489791,0.0,0.0,0.2066845831986172,0.2586412468472635,0.0,0.2845185805453871,0.2113271513500417,0.2359379259330428,0.2287807299755993,0.2554538781689471,0.1715104362210658,0.2312979223016542,0.1784280331619636,0.190435540259753,0.2248185992105433,0.1423873162203115,0.0,0.0,0.0,0.1597007910457371,0.1716560950690562,0.2070338945726443,0.2229091173159556,0.2248945904748211,0.2137464023304759,0.3207094781459289,0.1679280545130818,0.2391007235374366,0.2260081636145281,0.2980385488694285,0.3982082898729015,0.2936243643047412,0.4371303111060546,0.2005005740041463,0.2091281855001258,0.4663262228189974,0.2471460911784781,0.140582010541718,0.3747308270090272,0.2810178572142762,0.3698612008877675,0.4926918278811653,0.1603853977710119,-0.1989165844192117,0.0,0.0,0.0,-0.2433131768563807,-0.1848668571452573,-0.2787409132770176,0.0,-0.1369312928494527,0.0,0.0,-0.1454148782570168,0.0,0.1434568615446196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1549303330234808,0.0,-0.1705170855597685,-0.1522802432288417,-0.1526716364193823,0.2248185992105434,0.3905094060248176,0.1710822923282855,0.1774206964124554,0.302660488365255,-0.2594352586718118,-0.3013416794185732,-0.1586755148625153,0.0,-0.2959109649971291,-0.4392206220064328,-0.4503805979809712,-0.4290647547437103,-0.3873891395417048,-0.2768128425746452,-0.2640737116625947,-0.2776710672951866,-0.3015709905674806,-0.5061393798163807,-0.276266316375341,-0.4311032999818542,-0.1735730215110573,-0.2472324578655854,-0.3039396561595751,-0.2542319482070272,-0.3113786154739874,-0.3688991634324877,-0.4943345249815913,-0.29949561366276,-0.4105653837110098,-0.6166483748612163,-0.5429695417089463,-0.6038928420477625,-0.6608282359392815
receive KIT,0.0,0.5040323685585587,0.3842574780784732,0.289336385184928,0.4260609858131102,0.4260609858131102,0.4388782795654182,0.4178830329773677,0.440268644817407,0.0,0.5277289842240465,0.5826658184597755,0.4916363750331337,0.2185756613896042,0.4014362172707976,0.3974385262626537,0.3288132114183387,0.3897433559842927,0.3873089839585705,0.0,0.2684952349193079,0.0,0.2392921409103618,0.1528152390434461,0.1971514429956651,0.3306459957110366,0.0,0.1865421305255589,0.2691034827584798,0.2691034827584798,0.201191387038588,0.2577395662104441,0.202017364259931,0.1271463511383212,0.2433913607869499,0.2317556219850281,0.125107611550221,0.2601539995374266,0.2539865722026226,0.3111548209808258,0.3070624740669996,0.2065584464673139,0.1885039610041558,0.1841328271820648,0.2270725865192092,0.1539202473276816,0.2180657855820204,0.2456319317789945,0.0,0.1379416467727684,0.1428802054466865,0.170277202534365,0.2047746144304715,0.2274483036458918,0.0,0.0,0.0,0.4020736580569719,0.3163943994616945,0.3391211528480675,0.2889013594837667,0.368597828691662,0.3744224507281034,0.3605285447282504,0.2808553499493675,0.0,0.1669593938426669,0.3506688509074788,0.3565640096540284,0.3189575227683849,0.3037523806770904,0.2987813336305232,0.3164311815003487,0.3307196197468859,0.201599355893897,-0.2211332091852184,0.0,0.0,0.2079155544626058,-0.282425244502956,-0.2151414018668738,-0.2630724042119032,0.0,-0.2265843640475107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1380981390427348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177666205794679,0.1670329544365875,0.1670329544365875,-0.1728974114247911,-0.2508506980139802,-0.1284279276226529,0.0,0.0,0.1736285056143538,0.3751142873586385,0.2945459401784115,0.1630887642381782,0.0,-0.171288367185932,-0.1812185433284549,0.0,-0.1586654832805365,-0.2209018783068994,-0.3324517303556333,-0.3607303497313784,-0.3000658477526527,-0.1961995668736423,-0.2781002101154487,-0.3672353323480297,-0.2654462226745073,-0.3378886141750866,-0.3653050459325703,-0.2935338878739145,-0.279054252414671,0.0,0.0,-0.1767324715937492,-0.370639738392534,0.0,-0.2536089365465908,-0.2123973988239445,-0.3039718798418489,-0.3856859091569416,-0.4930145198252412,-0.5298296101986,-0.3505895367907246,-0.5621152133411496
